"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Calderdale","0.07","2,364","0.39","372","0.58","25","0.31","4","-0.06","68","0.00","1,883"
"Cambridgeshire","0.13","5,237","0.73","145","0.24","47","0.98","19","0.33","208","0.12","4,680"
"Camden","0.07","1,424","0.11","268","-0.05","343","1.01","5","-0.13","171","0.10","498"
"Central Bedfordshire","-0.13","2,510","0.20","50","0.49","48","1.39","6","-0.29","109","-0.16","2,256"
"Cheshire East","0.01","3,398","0.48","51","0.67","9","1.12","8","-0.13","70","0.00","3,222"
"Cheshire West and Chester","-0.11","3,152","0.54","23","0.81","10","0.70","9","-0.08","55","-0.13","3,034"
"City of London","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Cornwall","-0.09","4,987","0.70","15","0.67","4","0.91","4","-0.05","78","-0.09","4,825"
"County Durham","-0.23","4,545","0.58","25","-0.79","6","1.29","6","0.16","46","-0.21","4,390"
"Coventry","-0.08","3,131","0.54","633","0.13","261","1.67","6","-0.29","180","-0.30","2,010"
"Croydon","0.07","3,077","0.58","413","-0.08","911","1.18","12","0.00","462","0.03","1,144"
"Cumbria","-0.11","4,570","0.67","28","0.07","10","1.64","14","0.11","57","-0.11","4,306"
"Darlington","-0.26","1,050","0.19","27","0.46","5","1.96","2","0.24","28","-0.29","974"
"Derby","-0.19","2,595","0.33","443","0.02","85","0.68","12","-0.59","169","-0.29","1,841"
"Derbyshire","-0.23","6,949","0.31","58","-0.32","26","0.54","10","-0.25","164","-0.23","6,650"
"Devon","-0.13","6,278","0.54","17","0.03","4","0.92","8","-0.08","98","-0.13","5,948"
"Doncaster","-0.22","2,822","0.35","91","0.16","25","0.87","5","-0.20","66","-0.25","2,613"
"Dorset","0.03","3,854","1.08","21","0.64","3","1.65","7","0.33","74","0.01","3,714"
"Dudley","-0.15","3,209","0.19","292","-0.14","70","1.06","3","-0.13","175","-0.20","2,608"
"Ealing","0.53","2,516","0.89","693","0.24","528","1.82","9","0.14","207","0.44","746"
"East Riding of Yorkshire","0.06","3,104","0.64","6","0.12","3","0.77","3","0.66","53","0.05","2,995"
"East Sussex","-0.03","4,486","0.78","73","0.68","18","0.84","12","0.05","168","-0.05","4,141"
"Enfield","0.08","3,118","0.49","286","0.01","787","1.02","15","0.07","312","0.03","1,452"
"Essex","-0.09","13,489","0.83","325","0.37","351","0.88","34","0.04","508","-0.14","12,050"
"Gateshead","-0.25","1,851","0.54","39","0.13","15","0.47","5","-0.03","20","-0.30","1,714"
"Gloucestershire","0.02","5,613","0.82","159","-0.15","60","0.84","12","-0.01","212","-0.01","5,095"
"Greenwich","-0.18","2,051","0.22","176","-0.04","655","0.81","15","-0.21","215","-0.37","933"
"Hackney","0.31","1,908","0.44","250","0.11","714","0.61","9","0.06","161","0.51","647"
"Halton","-0.26","1,313","-0.21","2","N/A","0","1.20","1","-0.09","30","-0.27","1,264"
"Hammersmith and Fulham","0.34","1,174","0.49","102","0.10","293","0.95","9","0.20","115","0.39","517"
"Hampshire","-0.09","12,069","0.54","278","0.23","98","1.11","25","0.06","307","-0.12","11,217"
"Haringey","0.16","1,942","0.35","146","-0.19","517","1.02","5","-0.04","217","0.38","879"
"Harrow","0.45","1,821","0.69","823","0.11","291","0.56","8","0.46","156","0.19","426"
"Hartlepool","-0.47","1,002","0.50","22","0.47","3","1.16","1","-0.31","15","-0.50","959"
"Havering","-0.09","2,663","0.64","132","0.37","330","1.45","5","-0.08","137","-0.22","1,977"
"Herefordshire, County of","-0.03","1,550","0.95","7","0.00","3","1.15","2","-0.09","35","-0.04","1,490"
"Hertfordshire","0.19","11,772","0.67","862","0.31","457","1.28","51","0.23","752","0.12","9,468"
"Hillingdon","0.15","2,832","0.73","651","0.22","303","0.54","4","0.18","315","-0.23","1,347"
"Hounslow","0.43","2,337","0.86","678","0.37","332","0.50","3","0.20","220","0.16","828"
"Isle of Wight","-0.38","1,039","0.49","4","0.81","1","N/A","0","-0.61","14","-0.38","1,014"
"Isles of Scilly","0.85","14","N/A","0","N/A","0","N/A","0","-0.07","1","0.95","12"
"Islington","0.15","1,328","0.64","175","0.04","388","0.83","9","-0.26","171","0.08","457"
"Kensington and Chelsea","0.11","657","0.58","40","-0.01","119","0.02","2","0.12","113","0.15","222"
"Kent","-0.08","14,634","0.70","535","0.45","318","1.24","44","0.15","637","-0.15","12,863"
"Kingston upon Hull, City of","-0.08","2,206","0.74","34","0.62","23","1.60","2","0.31","46","-0.06","1,972"
"Kingston upon Thames","0.53","1,373","1.04","333","0.17","65","1.19","11","0.43","121","0.33","783"
"Kirklees","-0.04","4,359","0.21","1,188","-0.02","71","1.04","12","-0.44","245","-0.12","2,807"
"Knowsley","-0.82","921","0.11","3","0.10","1","-0.30","1","-1.23","12","-0.82","895"
"Lambeth","-0.05","1,917","0.55","89","-0.23","952","0.40","15","-0.27","245","0.17","466"
"Lancashire","-0.09","11,318","0.29","1,257","0.03","32","0.95","33","-0.02","250","-0.14","9,615"
"Leeds","-0.02","7,187","0.27","899","0.48","344","0.98","29","-0.21","349","-0.01","5,207"
"Leicester","-0.04","3,043","0.44","1,393","-0.04","320","0.94","7","-0.50","217","-0.63","1,036"
"Leicestershire","-0.04","6,644","0.76","501","0.34","71","1.86","10","-0.13","242","-0.11","5,768"
"Lewisham","-0.22","1,952","0.09","119","-0.31","833","0.72","23","-0.24","285","-0.14","551"
"Lincolnshire","-0.14","6,928","1.03","73","0.72","26","0.75","16","0.20","154","-0.17","6,590"
"Liverpool","-0.32","4,270","0.74","107","-0.11","159","1.04","38","-0.22","213","-0.39","3,648"
"Luton","-0.04","2,364","0.32","1,105","-0.17","244","1.21","8","-0.24","177","-0.46","791"
"Manchester","-0.13","4,136","0.47","879","0.08","630","0.97","38","-0.19","337","-0.52","1,988"
"Medway","0.02","2,807","0.95","145","0.43","113","1.45","7","0.14","128","-0.07","2,367"
"Merton","0.44","1,229","0.98","193","0.31","236","1.63","8","0.34","139","0.33","597"
"Middlesbrough","-0.24","1,285","0.65","167","0.60","14","1.45","2","0.05","41","-0.36","998"
"Milton Keynes","-0.15","2,604","0.38","221","0.22","321","0.47","9","-0.11","176","-0.30","1,823"
"Newcastle upon Tyne","-0.14","2,310","0.62","248","0.63","67","1.31","15","0.42","72","-0.30","1,850"
"Newham","0.32","3,336","0.57","1,563","0.16","810","1.11","8","-0.13","201","-0.02","521"
"Norfolk","0.00","7,199","0.71","82","0.77","64","1.62","10","0.15","162","-0.03","6,784"
"North East Lincolnshire","-0.03","1,538","0.47","15","0.79","3","0.29","2","-0.06","20","0.02","1,347"
"North Lincolnshire","0.11","1,639","0.48","67","1.09","10","1.14","3","0.44","22","0.09","1,497"
"North Somerset","-0.09","2,027","0.59","28","0.28","15","-0.12","2","0.03","50","-0.11","1,925"
"North Tyneside","-0.20","1,824","0.39","30","-0.45","9","0.95","4","0.45","26","-0.22","1,738"
"North Yorkshire","0.13","5,765","0.52","101","0.45","21","0.78","5","0.37","100","0.12","5,479"
"Northamptonshire","0.00","6,989","0.64","315","0.40","280","1.21","25","0.11","312","-0.06","5,985"
"Northumberland","-0.09","2,991","0.54","38","1.18","4","0.85","2","0.18","36","-0.09","2,883"
"Nottingham","-0.27","2,299","0.27","424","-0.09","220","1.52","10","-0.55","224","-0.45","1,371"
"Nottinghamshire","-0.02","7,316","0.66","196","0.29","79","1.17","20","0.04","264","-0.05","6,671"
"Oldham","-0.30","2,801","0.07","858","0.26","46","1.50","7","-0.58","97","-0.47","1,727"
"Oxfordshire","-0.01","5,499","0.17","261","0.27","108","1.24","15","-0.14","300","-0.02","4,687"
"Peterborough","-0.20","2,119","0.11","333","0.17","67","0.16","5","-0.29","116","-0.28","1,559"
"Plymouth","-0.32","2,395","1.06","18","1.20","11","0.96","9","-0.51","44","-0.35","2,277"
"Poole","0.30","1,253","1.02","35","0.08","4","1.86","2","0.46","49","0.27","1,149"
"Portsmouth","-0.34","1,607","0.79","80","0.26","36","0.17","5","-0.41","57","-0.44","1,394"
"Reading","-0.04","979","0.65","182","0.07","77","1.02","17","-0.39","85","-0.27","576"
"Redbridge","0.47","3,194","0.68","1,694","0.27","473","1.22","23","0.24","216","0.17","706"
"Redcar and Cleveland","-0.45","1,494","0.71","23","0.82","2","0.50","1","-0.06","13","-0.47","1,446"
"Richmond upon Thames","0.14","1,359","0.64","92","-0.19","54","1.18","5","0.01","134","0.13","1,039"
"Rochdale","-0.14","2,140","0.26","582","0.13","52","1.04","8","-0.08","63","-0.33","1,405"
"Rotherham","-0.09","3,070","0.09","260","0.39","22","1.51","7","-0.07","65","-0.12","2,692"
"Rutland","0.43","448","0.84","2","1.24","4","N/A","0","0.86","10","0.41","431"
"Salford","-0.46","1,958","0.64","39","0.32","57","-0.08","4","-0.02","87","-0.56","1,727"
"Sandwell","-0.31","3,441","0.13","983","-0.21","271","0.99","3","-0.46","235","-0.55","1,855"
"Sefton","-0.30","2,780","0.22","26","0.16","11","0.83","6","-0.07","55","-0.28","2,611"
"Sheffield","0.00","4,781","0.35","514","0.16","195","1.18","14","-0.17","280","-0.07","3,588"
"Shropshire","-0.08","2,701","0.15","26","0.38","5","1.06","7","0.03","52","-0.09","2,569"
"Slough","0.30","1,583","0.45","846","0.05","127","0.98","6","0.23","128","0.03","404"
"Solihull","-0.14","2,850","0.23","305","-0.05","84","1.34","6","-0.34","211","-0.18","2,170"
"Somerset","-0.14","4,436","0.46","32","0.78","6","0.68","9","-0.04","74","-0.15","4,289"
"South Gloucestershire","-0.18","2,428","0.62","68","0.03","32","-0.19","4","-0.31","96","-0.21","2,203"
"South Tyneside","-0.26","1,436","0.65","52","0.42","7","1.63","1","-0.06","23","-0.26","1,314"
"Southampton","-0.22","1,775","0.47","190","0.29","38","1.03","5","-0.23","94","-0.33","1,433"
"Southend-on-Sea","0.14","1,921","0.93","179","0.61","118","0.75","11","0.22","78","-0.01","1,512"
"Southwark","0.30","2,191","0.67","128","0.31","990","0.56","25","0.16","246","0.13","604"
"St. Helens","-0.39","1,716","0.77","12","0.34","4","1.15","3","-0.05","29","-0.38","1,624"
"Staffordshire","-0.12","8,089","0.30","262","0.41","38","0.68","19","-0.20","220","-0.14","7,498"
"Stockport","-0.03","2,517","0.59","136","0.22","26","0.81","14","0.04","106","-0.07","2,212"
"Stockton-on-Tees","-0.08","1,898","0.53","109","1.23","14","1.00","5","0.10","40","-0.14","1,719"
"Stoke-on-Trent","-0.26","2,070","0.11","330","0.25","48","0.66","4","-0.17","74","-0.37","1,598"
"Suffolk","0.08","6,520","0.79","112","0.41","38","1.34","4","0.17","247","0.06","6,009"
"Sunderland","-0.37","2,573","0.82","89","0.34","14","0.57","4","-0.35","30","-0.42","2,423"
"Surrey","0.17","9,281","0.59","542","0.08","164","0.92","23","0.26","453","0.13","7,960"
"Sutton","0.39","2,535","1.05","578","0.29","206","1.02","36","0.45","216","0.11","1,444"
"Swindon","-0.14","1,913","0.47","180","0.11","32","0.62","2","-0.39","88","-0.21","1,562"
"Tameside","-0.17","2,426","0.50","277","0.15","29","1.34","7","-0.07","80","-0.28","2,017"
"Telford and Wrekin","-0.13","1,825","0.27","112","0.30","32","1.21","6","-0.10","74","-0.17","1,591"
"Thurrock","-0.19","1,577","0.29","68","0.46","141","1.10","12","0.13","67","-0.31","1,246"
"Torbay","-0.07","1,361","1.13","17","1.16","3","1.76","4","0.51","29","-0.09","1,233"
"Tower Hamlets","0.15","2,534","0.36","1,768","-0.08","288","1.25","4","-0.69","100","-0.55","282"
"Trafford","0.22","2,645","0.61","338","0.32","89","1.10","29","-0.03","170","0.14","1,956"
"Wakefield","-0.19","3,295","0.10","116","0.17","36","1.13","8","-0.03","71","-0.21","3,047"
"Walsall","-0.19","3,119","0.27","677","-0.11","138","1.71","3","-0.32","173","-0.34","2,103"
"Waltham Forest","0.21","2,297","0.48","713","-0.03","511","2.29","12","0.04","226","0.11","741"
"Wandsworth","0.30","1,554","0.59","305","-0.01","445","0.69","5","0.31","212","0.39","505"
"Warrington","-0.14","2,316","0.61","47","-0.46","11","0.97","9","0.12","65","-0.17","2,155"
"Warwickshire","0.06","5,255","0.71","257","0.65","36","1.00","16","0.04","189","0.02","4,667"
"West Berkshire","0.11","1,656","0.40","43","0.17","26","1.21","2","-0.23","63","0.15","1,497"
"West Sussex","0.05","7,227","0.69","298","0.25","88","1.75","16","0.15","263","0.01","6,486"
"Westminster","0.47","1,386","0.59","210","0.29","342","1.27","13","0.34","126","0.55","327"
"Wigan","-0.33","3,169","0.42","23","0.10","24","1.44","8","-0.22","50","-0.35","3,044"
"Wiltshire","0.01","4,422","0.78","47","0.31","32","1.08","11","0.24","113","-0.01","4,070"
"Windsor and Maidenhead","0.26","1,345","0.38","180","0.25","25","1.06","3","0.37","103","0.24","994"
"Wirral","0.03","3,111","1.10","51","-0.81","6","1.13","11","0.31","76","0.01","2,935"
"Wokingham","0.34","1,533","0.64","166","0.37","53","-0.11","9","0.28","87","0.29","1,188"
"Wolverhampton","-0.05","2,423","0.52","512","-0.07","228","-0.05","2","-0.28","258","-0.22","1,398"
"Worcestershire","0.06","5,102","0.61","183","0.18","20","1.46","10","0.04","160","0.04","4,692"
"York","0.11","1,556","0.83","21","0.93","8","1.03","3","0.31","35","0.08","1,479"
