"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value-type","Denominator"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","15","%","83572"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","15","%","76709"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","15","%","73459"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","15","%","3250"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","21","%","714"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","19","%","3652"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","14","%","1548"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","30","%","915"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","25","%","345"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","8","%","310"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","20","%","534"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","23","%","1761"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","18","%","736"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","3","%","83572"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","3","%","76709"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","3","%","73459"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","2","%","3250"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","-","%","714"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","1","%","3652"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","%","1548"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","1","%","915"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","1","%","345"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","-","%","310"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","1","%","534"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","1","%","1761"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","-","%","736"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","1","%","83572"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","1","%","76709"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","1","%","73459"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","1","%","3250"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","1","%","714"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","1","%","3652"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","%","1548"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","2","%","915"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","1","%","345"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","0","%","310"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","1","%","534"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","1","%","1761"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","-","%","736"
"Child Benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","23","%","83572"
"Child Benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","22","%","76709"
"Child Benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","22","%","73459"
"Child Benefit by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","22","%","3250"
"Child Benefit by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","27","%","714"
"Child Benefit by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","28","%","3652"
"Child Benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","25","%","1548"
"Child Benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","36","%","915"
"Child Benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","29","%","345"
"Child Benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","17","%","310"
"Child Benefit by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","28","%","534"
"Child Benefit by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","33","%","1761"
"Child Benefit by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","27","%","736"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","14","%","83572"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","14","%","76709"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","14","%","73459"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","13","%","3250"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","20","%","714"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","18","%","3652"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","13","%","1548"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","28","%","915"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","24","%","345"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","8","%","310"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","19","%","534"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","22","%","1761"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","17","%","736"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","16","%","83572"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","16","%","76709"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","16","%","73459"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","13","%","3250"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","17","%","714"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","14","%","3652"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","8","%","1548"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","20","%","915"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","24","%","345"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","7","%","310"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","17","%","534"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","24","%","1761"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","18","%","736"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","7","%","83572"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","7","%","76709"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","7","%","73459"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","4","%","3250"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","3","%","714"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","5","%","3652"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","5","%","1548"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","6","%","915"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","5","%","345"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","%","310"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","2","%","534"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","5","%","1761"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","4","%","736"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","6","%","83572"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","6","%","76709"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","7","%","73459"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","3","%","3250"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","3","%","714"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","4","%","3652"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","4","%","1548"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","6","%","915"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","2","%","345"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","%","310"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","2","%","534"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","4","%","1761"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","4","%","736"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","1","%","83572"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","1","%","76709"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","1","%","73459"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","1","%","3250"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","1","%","714"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","1","%","3652"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","%","1548"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","1","%","915"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","1","%","345"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","-","%","310"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","-","%","534"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","1","%","1761"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","1","%","736"
"Housing Benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","13","%","83572"
"Housing Benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","13","%","76709"
"Housing Benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","13","%","73459"
"Housing Benefit by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","12","%","3250"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","17","%","714"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","9","%","3652"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","6","%","1548"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","10","%","915"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","16","%","345"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","4","%","310"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","15","%","534"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","23","%","1761"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","17","%","736"
"Income Support by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","4","%","83572"
"Income Support by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","4","%","76709"
"Income Support by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","4","%","73459"
"Income Support by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","3","%","3250"
"Income Support by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","6","%","714"
"Income Support by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","4","%","3652"
"Income Support by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","2","%","1548"
"Income Support by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","7","%","915"
"Income Support by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","6","%","345"
"Income Support by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","%","310"
"Income Support by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","4","%","534"
"Income Support by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","8","%","1761"
"Income Support by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","5","%","736"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","4","%","83572"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","4","%","76709"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","4","%","73459"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","2","%","3250"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","7","%","714"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","4","%","3652"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","4","%","1548"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","5","%","915"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","7","%","345"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","%","310"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","3","%","534"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","8","%","1761"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","5","%","736"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","21","%","83572"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","20","%","76709"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","20","%","73459"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","17","%","3250"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","26","%","714"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","19","%","3652"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","13","%","1548"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","26","%","915"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","30","%","345"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","10","%","310"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","21","%","534"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","31","%","1761"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","23","%","736"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","57","%","83572"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","58","%","76709"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","59","%","73459"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","42","%","3250"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","40","%","714"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","43","%","3652"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","42","%","1548"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","49","%","915"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","44","%","345"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","25","%","310"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","41","%","534"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","49","%","1761"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","45","%","736"
"Pension Credit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","5","%","83572"
"Pension Credit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","6","%","76709"
"Pension Credit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","6","%","73459"
"Pension Credit by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","4","%","3250"
"Pension Credit by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","2","%","714"
"Pension Credit by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","4","%","3652"
"Pension Credit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","3","%","1548"
"Pension Credit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","4","%","915"
"Pension Credit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","5","%","345"
"Pension Credit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","2","%","310"
"Pension Credit by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","4","%","534"
"Pension Credit by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","4","%","1761"
"Pension Credit by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","2","%","736"
"State Pension by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","25","%","83572"
"State Pension by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","27","%","76709"
"State Pension by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","28","%","73459"
"State Pension by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","14","%","3250"
"State Pension by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","5","%","714"
"State Pension by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","9","%","3652"
"State Pension by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","11","%","1548"
"State Pension by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","7","%","915"
"State Pension by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","10","%","345"
"State Pension by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","5","%","310"
"State Pension by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","7","%","534"
"State Pension by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","10","%","1761"
"State Pension by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","12","%","736"
"Universal Credit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","x","%","83572"
"Universal Credit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","x","%","76709"
"Universal Credit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","x","%","73459"
"Universal Credit by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","x","%","3250"
"Universal Credit by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","x","%","714"
"Universal Credit by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","x","%","3652"
"Universal Credit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","x","%","1548"
"Universal Credit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","x","%","915"
"Universal Credit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","x","%","345"
"Universal Credit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","x","%","310"
"Universal Credit by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","x","%","534"
"Universal Credit by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","x","%","1761"
"Universal Credit by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","x","%","736"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","6","%","83572"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","6","%","76709"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","6","%","73459"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","8","%","3250"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","8","%","714"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","10","%","3652"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","6","%","1548"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","17","%","915"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","14","%","345"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","4","%","310"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","10","%","534"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","8","%","1761"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","8","%","736"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","60","%","77803"
