"Ethnicity","Local authority ","%","Pupils"
"All","Suffolk","62","4,939"
"All","Sunderland","67","2,170"
"All","Surrey","70","8,678"
"All","Sutton","73","1,743"
"All","Swindon","62","1,814"
"All","Tameside","63","1,878"
"All","Telford and Wrekin","65","1,485"
"All","Thurrock","70","1,702"
"All","Torbay","66","956"
"All","Tower Hamlets","72","2,404"
"All","Trafford","77","2,328"
"All","Wakefield","64","2,566"
"All","Walsall","61","2,325"
"All","Waltham Forest","72","2,386"
"All","Wandsworth","70","1,691"
"All","Warrington","73","1,892"
"All","Warwickshire","66","4,191"
"All","West Berkshire","64","1,256"
"All","West Sussex","63","5,789"
"All","Westminster","70","1,004"
"All","Wigan","67","2,542"
"All","Wiltshire","64","3,441"
"All","Windsor and Maidenhead","67","1,068"
"All","Wirral","60","2,262"
"All","Wokingham","74","1,582"
"All","Wolverhampton","64","2,154"
"All","Worcestershire","63","3,845"
"All","York","68","1,355"
"Asian","Barking and Dagenham","75","574"
"Asian","Barnet","79","371"
"Asian","Barnsley","92","23"
"Asian","Bath and North East Somerset","86","24"
"Asian","Bedford","51","169"
"Asian","Bexley","83","225"
"Asian","Birmingham","65","3,940"
"Asian","Blackburn with Darwen","68","668"
"Asian","Blackpool","71","25"
"Asian","Bolton","65","630"
"Asian","Bournemouth, Christchurch and Poole","82","108"
"Asian","Bracknell Forest","78","61"
"Asian","Bradford","66","2,215"
"Asian","Brent","73","803"
"Asian","Brighton and Hove","74","63"
"Asian","Bristol, City of","63","243"
"Asian","Bromley","85","181"
"Asian","Buckinghamshire","67","707"
"Asian","Bury","61","222"
"Asian","Calderdale","67","320"
"Asian","Cambridgeshire","70","207"
"Asian","Camden","74","253"
"Asian","Central Bedfordshire","72","53"
"Asian","Cheshire East","70","60"
"Asian","Cheshire West and Chester","75","45"
"Asian","City of London","64","7"
"Asian","Cornwall","60","9"
"Asian","County Durham","79","27"
"Asian","Coventry","65","627"
"Asian","Croydon","76","556"
"Asian","Cumbria","66","29"
"Asian","Darlington","68","21"
"Asian","Derby","64","402"
"Asian","Derbyshire","71","75"
"Asian","Devon","73","45"
"Asian","Doncaster","66","72"
"Asian","Dorset","70","19"
"Asian","Dudley","64","262"
"Asian","Ealing","73","912"
"Asian","East Riding of Yorkshire","82","14"
"Asian","East Sussex","70","81"
"Asian","Enfield","78","300"
"Asian","Essex","83","373"
"Asian","Gateshead","74","34"
"Asian","Gloucestershire","76","156"
"Asian","Greenwich","80","227"
"Asian","Hackney","70","219"
"Asian","Halton","71","5"
"Asian","Hammersmith and Fulham","76","61"
"Asian","Hampshire","78","370"
"Asian","Haringey","74","140"
"Asian","Harrow","77","1,080"
"Asian","Hartlepool","63","15"
"Asian","Havering","80","197"
"Asian","Herefordshire, County of","90","9"
"Asian","Hertfordshire","71","871"
"Asian","Hillingdon","75","811"
"Asian","Hounslow","78","840"
"Asian","Isle of Wight","70","7"
"Asian","Isles of Scilly","N/A","N/A"
"Asian","Islington","70","106"
"Asian","Kensington and Chelsea","71","30"
"Asian","Kent","82","596"
"Asian","Kingston upon Hull, City of","87","46"
"Asian","Kingston upon Thames","76","252"
"Asian","Kirklees","62","939"
"Asian","Knowsley","87","33"
"Asian","Lambeth","82","128"
"Asian","Lancashire","61","983"
"Asian","Leeds","60","665"
"Asian","Leicester","68","1,375"
"Asian","Leicestershire","76","439"
"Asian","Lewisham","77","158"
"Asian","Lincolnshire","86","75"
"Asian","Liverpool","70","165"
"Asian","Luton","61","939"
"Asian","Manchester","61","932"
"Asian","Medway","75","140"
"Asian","Merton","76","372"
"Asian","Middlesbrough","67","132"
"Asian","Milton Keynes","78","377"
"Asian","Newcastle upon Tyne","72","294"
"Asian","Newham","79","1,707"
"Asian","Norfolk","78","111"
"Asian","North East Lincolnshire","67","12"
"Asian","North Lincolnshire","63","48"
"Asian","North Somerset","76","25"
"Asian","North Tyneside","71","41"
"Asian","North Yorkshire","70","59"
"Asian","Northamptonshire","72","322"
"Asian","Northumberland","81","46"
"Asian","Nottingham","71","413"
"Asian","Nottinghamshire","71","204"
"Asian","Oldham","61","711"
"Asian","Oxfordshire","60","280"
"Asian","Peterborough","55","310"
"Asian","Plymouth","78","21"
"Asian","Portsmouth","68","82"
"Asian","Reading","71","268"
"Asian","Redbridge","77","1,679"
"Asian","Redcar and Cleveland","70","7"
"Asian","Richmond upon Thames","78","163"
"Asian","Rochdale","60","472"
"Asian","Rotherham","51","134"
"Asian","Rutland","80","4"
"Asian","Salford","75","77"
"Asian","Sandwell","67","939"
"Asian","Sefton","63","19"
"Asian","Sheffield","65","506"
"Asian","Shropshire","75","18"
"Asian","Slough","79","892"
"Asian","Solihull","76","260"
"Asian","Somerset","71","57"
"Asian","South Gloucestershire","75","78"
"Asian","South Tyneside","72","41"
"Asian","Southampton","66","244"
"Asian","Southend-on-Sea","84","118"
"Asian","Southwark","72","129"
"Asian","St. Helens","85","17"
"Asian","Staffordshire","63","280"
"Asian","Stockport","69","174"
"Asian","Stockton-on-Tees","74","101"
"Asian","Stoke-on-Trent","63","316"
"Asian","Suffolk","71","104"
"Asian","Sunderland","76","100"
"Asian","Surrey","75","655"
"Asian","Sutton","83","353"
"Asian","Swindon","69","238"
"Asian","Tameside","68","213"
"Asian","Telford and Wrekin","66","99"
"Asian","Thurrock","81","110"
"Asian","Torbay","80","20"
"Asian","Tower Hamlets","74","1,605"
"Asian","Trafford","83","371"
"Asian","Wakefield","55","91"
"Asian","Walsall","68","644"
"Asian","Waltham Forest","74","642"
"Asian","Wandsworth","71","315"
"Asian","Warrington","74","65"
"Asian","Warwickshire","77","294"
"Asian","West Berkshire","69","37"
"Asian","West Sussex","68","295"
"Asian","Westminster","69","132"
"Asian","Wigan","72","31"
"Asian","Wiltshire","82","54"
"Asian","Windsor and Maidenhead","63","160"
"Asian","Wirral","79","71"
"Asian","Wokingham","82","252"
"Asian","Wolverhampton","69","535"
"Asian","Worcestershire","63","158"
"Asian","York","73","30"
"Black","Barking and Dagenham","69","754"
"Black","Barnet","66","329"
"Black","Barnsley","73","16"
"Black","Bath and North East Somerset","64","7"
"Black","Bedford","54","67"
"Black","Bexley","75","454"
"Black","Birmingham","60","1,266"
"Black","Blackburn with Darwen","76","25"
"Black","Blackpool","20","1"
"Black","Bolton","52","130"
"Black","Bournemouth, Christchurch and Poole","75","12"
"Black","Bracknell Forest","63","30"
"Black","Bradford","67","88"
"Black","Brent","65","568"
"Black","Brighton and Hove","62","36"
"Black","Bristol, City of","56","305"
"Black","Bromley","71","259"
"Black","Buckinghamshire","57","94"
"Black","Bury","43","25"
"Black","Calderdale","44","11"
"Black","Cambridgeshire","63","54"
"Black","Camden","69","200"
"Black","Central Bedfordshire","66","59"
"Black","Cheshire East","56","9"
"Black","Cheshire West and Chester","47","9"
"Black","City of London","100","2"
"Black","Cornwall","33","1"
"Black","County Durham","78","7"
"Black","Coventry","63","334"
"Black","Croydon","63","833"
"Black","Cumbria","56","5"
"Black","Darlington","71","5"
"Black","Derby","60","78"
"Black","Derbyshire","67","16"
"Black","Devon","73","8"
"Black","Doncaster","65","36"
"Black","Dorset","42","5"
"Black","Dudley","47","44"
"Black","Ealing","65","445"
"Black","East Riding of Yorkshire","57","4"
"Black","East Sussex","61","25"
"Black","Enfield","65","758"
"Black","Essex","75","390"
"Black","Gateshead","68","25"
"Black","Gloucestershire","59","65"
"Black","Greenwich","75","916"
"Black","Hackney","62","585"
"Black","Halton","100","1"
"Black","Hammersmith and Fulham","66","247"
"Black","Hampshire","71","131"
"Black","Haringey","60","478"
"Black","Harrow","67","188"
"Black","Hartlepool","33","1"
"Black","Havering","73","268"
"Black","Herefordshire, County of","71","5"
"Black","Hertfordshire","62","403"
"Black","Hillingdon","64","282"
"Black","Hounslow","60","239"
"Black","Isle of Wight","67","2"
"Black","Isles of Scilly","N/A","N/A"
"Black","Islington","64","312"
"Black","Kensington and Chelsea","75","138"
"Black","Kent","77","403"
"Black","Kingston upon Hull, City of","63","41"
"Black","Kingston upon Thames","69","25"
"Black","Kirklees","51","53"
"Black","Knowsley","67","8"
"Black","Lambeth","67","896"
"Black","Lancashire","65","37"
"Black","Leeds","55","424"
"Black","Leicester","68","325"
"Black","Leicestershire","71","65"
"Black","Lewisham","63","859"
"Black","Lincolnshire","67","28"
"Black","Liverpool","61","152"
"Black","Luton","59","204"
"Black","Manchester","65","787"
"Black","Medway","73","179"
"Black","Merton","60","207"
"Black","Middlesbrough","72","13"
"Black","Milton Keynes","63","337"
"Black","Newcastle upon Tyne","65","124"
"Black","Newham","74","823"
"Black","Norfolk","56","46"
"Black","North East Lincolnshire","43","3"
"Black","North Lincolnshire","58","7"
"Black","North Somerset","67","8"
"Black","North Tyneside","58","11"
"Black","North Yorkshire","39","12"
"Black","Northamptonshire","61","325"
"Black","Northumberland","40","2"
"Black","Nottingham","65","287"
"Black","Nottinghamshire","58","64"
"Black","Oldham","65","85"
"Black","Oxfordshire","56","118"
"Black","Peterborough","58","78"
"Black","Plymouth","71","17"
"Black","Portsmouth","61","46"
"Black","Reading","59","113"
"Black","Redbridge","66","308"
"Black","Redcar and Cleveland","80","4"
"Black","Richmond upon Thames","50","29"
"Black","Rochdale","54","68"
"Black","Rotherham","65","43"
"Black","Rutland","33","2"
"Black","Salford","71","122"
"Black","Sandwell","59","288"
"Black","Sefton","64","9"
"Black","Sheffield","61","233"
"Black","Shropshire","29","2"
"Black","Slough","65","137"
"Black","Solihull","72","41"
"Black","Somerset","69","11"
"Black","South Gloucestershire","64","29"
"Black","South Tyneside","80","8"
"Black","Southampton","73","66"
"Black","Southend-on-Sea","70","45"
"Black","Southwark","65","979"
"Black","St. Helens","50","6"
"Black","Staffordshire","52","40"
"Black","Stockport","64","29"
"Black","Stockton-on-Tees","78","21"
"Black","Stoke-on-Trent","65","84"
"Black","Suffolk","60","52"
"Black","Sunderland","82","23"
"Black","Surrey","63","146"
"Black","Sutton","73","123"
"Black","Swindon","63","57"
"Black","Tameside","64","54"
"Black","Telford and Wrekin","60","52"
"Black","Thurrock","79","314"
"Black","Torbay","100","1"
"Black","Tower Hamlets","68","227"
"Black","Trafford","68","93"
"Black","Wakefield","66","37"
"Black","Walsall","58","113"
"Black","Waltham Forest","67","429"
"Black","Wandsworth","62","344"
"Black","Warrington","70","16"
"Black","Warwickshire","59","47"
"Black","West Berkshire","57","13"
"Black","West Sussex","62","78"
"Black","Westminster","69","176"
"Black","Wigan","54","31"
"Black","Wiltshire","58","52"
"Black","Windsor and Maidenhead","36","8"
"Black","Wirral","56","10"
"Black","Wokingham","87","54"
"Black","Wolverhampton","66","259"
"Black","Worcestershire","76","22"
"Black","York","86","6"
"Chinese","Barking and Dagenham","90","9"
"Chinese","Barnet","84","46"
"Chinese","Barnsley","100","2"
"Chinese","Bath and North East Somerset","60","3"
"Chinese","Bedford","67","4"
"Chinese","Bexley","96","54"
"Chinese","Birmingham","72","63"
"Chinese","Blackburn with Darwen","60","3"
"Chinese","Blackpool","50","2"
"Chinese","Bolton","100","6"
"Chinese","Bournemouth, Christchurch and Poole","86","12"
"Chinese","Bracknell Forest","80","8"
"Chinese","Bradford","71","5"
"Chinese","Brent","78","7"
"Chinese","Brighton and Hove","74","14"
"Chinese","Bristol, City of","78","18"
"Chinese","Bromley","96","27"
"Chinese","Buckinghamshire","84","21"
"Chinese","Bury","83","10"
"Chinese","Calderdale","89","8"
"Chinese","Cambridgeshire","87","41"
"Chinese","Camden","88","15"
"Chinese","Central Bedfordshire","100","4"
"Chinese","Cheshire East","50","7"
"Chinese","Cheshire West and Chester","71","12"
"Chinese","City of London","N/A","N/A"
"Chinese","Cornwall","78","7"
"Chinese","County Durham","67","12"
"Chinese","Coventry","67","14"
"Chinese","Croydon","81","26"
"Chinese","Cumbria","63","5"
"Chinese","Darlington","0","0"
"Chinese","Derby","100","10"
"Chinese","Derbyshire","85","28"
"Chinese","Devon","74","17"
"Chinese","Doncaster","81","17"
"Chinese","Dorset","67","8"
"Chinese","Dudley","71","10"
"Chinese","Ealing","94","17"
"Chinese","East Riding of Yorkshire","50","1"
"Chinese","East Sussex","79","11"
"Chinese","Enfield","79","23"
"Chinese","Essex","93","50"
"Chinese","Gateshead","89","8"
"Chinese","Gloucestershire","76","13"
"Chinese","Greenwich","81","39"
"Chinese","Hackney","82","9"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","3"
"Chinese","Hampshire","77","41"
"Chinese","Haringey","77","23"
"Chinese","Harrow","100","8"
"Chinese","Hartlepool","89","8"
"Chinese","Havering","67","6"
"Chinese","Herefordshire, County of","67","2"
"Chinese","Hertfordshire","76","52"
"Chinese","Hillingdon","100","6"
"Chinese","Hounslow","89","16"
"Chinese","Isle of Wight","80","4"
"Chinese","Isles of Scilly","N/A","N/A"
"Chinese","Islington","100","10"
"Chinese","Kensington and Chelsea","67","2"
"Chinese","Kent","94","48"
"Chinese","Kingston upon Hull, City of","100","5"
"Chinese","Kingston upon Thames","73","22"
"Chinese","Kirklees","75","12"
"Chinese","Knowsley","50","1"
"Chinese","Lambeth","82","14"
"Chinese","Lancashire","83","34"
"Chinese","Leeds","77","40"
"Chinese","Leicester","71","12"
"Chinese","Leicestershire","79","22"
"Chinese","Lewisham","79","37"
"Chinese","Lincolnshire","76","19"
"Chinese","Liverpool","80","63"
"Chinese","Luton","89","8"
"Chinese","Manchester","80","51"
"Chinese","Medway","71","5"
"Chinese","Merton","93","14"
"Chinese","Middlesbrough","N/A","N/A"
"Chinese","Milton Keynes","88","23"
"Chinese","Newcastle upon Tyne","81","29"
"Chinese","Newham","90","18"
"Chinese","Norfolk","71","27"
"Chinese","North East Lincolnshire","100","1"
"Chinese","North Lincolnshire","100","3"
"Chinese","North Somerset","88","7"
"Chinese","North Tyneside","88","15"
"Chinese","North Yorkshire","90","9"
"Chinese","Northamptonshire","85","28"
"Chinese","Northumberland","100","7"
"Chinese","Nottingham","67","8"
"Chinese","Nottinghamshire","69","18"
"Chinese","Oldham","69","9"
"Chinese","Oxfordshire","75","15"
"Chinese","Peterborough","75","6"
"Chinese","Plymouth","100","10"
"Chinese","Portsmouth","56","5"
"Chinese","Reading","82","9"
"Chinese","Redbridge","100","21"
"Chinese","Redcar and Cleveland","100","1"
"Chinese","Richmond upon Thames","71","17"
"Chinese","Rochdale","83","10"
"Chinese","Rotherham","75","9"
"Chinese","Rutland","N/A","N/A"
"Chinese","Salford","100","1"
"Chinese","Sandwell","75","18"
"Chinese","Sefton","71","5"
"Chinese","Sheffield","87","41"
"Chinese","Shropshire","75","3"
"Chinese","Slough","67","2"
"Chinese","Solihull","97","29"
"Chinese","Somerset","85","11"
"Chinese","South Gloucestershire","82","9"
"Chinese","South Tyneside","67","2"
"Chinese","Southampton","75","12"
"Chinese","Southend-on-Sea","83","19"
"Chinese","Southwark","77","23"
"Chinese","St. Helens","70","7"
"Chinese","Staffordshire","76","28"
"Chinese","Stockport","77","17"
"Chinese","Stockton-on-Tees","57","4"
"Chinese","Stoke-on-Trent","83","10"
"Chinese","Suffolk","75","3"
"Chinese","Sunderland","69","9"
"Chinese","Surrey","86","60"
"Chinese","Sutton","88","36"
"Chinese","Swindon","67","10"
"Chinese","Tameside","92","12"
"Chinese","Telford and Wrekin","85","11"
"Chinese","Thurrock","75","12"
"Chinese","Torbay","75","3"
"Chinese","Tower Hamlets","91","10"
"Chinese","Trafford","85","53"
"Chinese","Wakefield","77","17"
"Chinese","Walsall","71","10"
"Chinese","Waltham Forest","90","26"
"Chinese","Wandsworth","90","9"
"Chinese","Warrington","100","6"
"Chinese","Warwickshire","91","20"
"Chinese","West Berkshire","100","6"
"Chinese","West Sussex","73","16"
"Chinese","Westminster","92","11"
"Chinese","Wigan","50","3"
"Chinese","Wiltshire","88","14"
"Chinese","Windsor and Maidenhead","100","6"
"Chinese","Wirral","75","15"
"Chinese","Wokingham","100","14"
"Chinese","Wolverhampton","88","7"
"Chinese","Worcestershire","80","8"
"Chinese","York","100","4"
"Mixed","Barking and Dagenham","59","183"
"Mixed","Barnet","75","320"
"Mixed","Barnsley","58","41"
"Mixed","Bath and North East Somerset","66","62"
"Mixed","Bedford","46","116"
"Mixed","Bexley","71","167"
"Mixed","Birmingham","61","855"
"Mixed","Blackburn with Darwen","69","50"
"Mixed","Blackpool","62","37"
"Mixed","Bolton","67","105"
"Mixed","Bournemouth, Christchurch and Poole","71","160"
"Mixed","Bracknell Forest","71","72"
"Mixed","Bradford","61","247"
"Mixed","Brent","72","205"
"Mixed","Brighton and Hove","73","205"
"Mixed","Bristol, City of","59","262"
"Mixed","Bromley","76","311"
"Mixed","Buckinghamshire","67","327"
"Mixed","Bury","60","70"
"Mixed","Calderdale","66","73"
"Mixed","Cambridgeshire","66","247"
"Mixed","Camden","74","126"
"Mixed","Central Bedfordshire","61","159"
"Mixed","Cheshire East","70","123"
"Mixed","Cheshire West and Chester","62","66"
"Mixed","City of London","100","4"
"Mixed","Cornwall","62","89"
"Mixed","County Durham","74","74"
"Mixed","Coventry","63","184"
"Mixed","Croydon","62","454"
"Mixed","Cumbria","66","51"
"Mixed","Darlington","70","21"
"Mixed","Derby","61","152"
"Mixed","Derbyshire","65","170"
"Mixed","Devon","64","125"
"Mixed","Doncaster","58","64"
"Mixed","Dorset","60","73"
"Mixed","Dudley","53","138"
"Mixed","Ealing","75","270"
"Mixed","East Riding of Yorkshire","67","52"
"Mixed","East Sussex","67","215"
"Mixed","Enfield","71","344"
"Mixed","Essex","71","644"
"Mixed","Gateshead","76","29"
"Mixed","Gloucestershire","70","236"
"Mixed","Greenwich","76","262"
"Mixed","Hackney","71","190"
"Mixed","Halton","48","16"
"Mixed","Hammersmith and Fulham","65","120"
"Mixed","Hampshire","73","427"
"Mixed","Haringey","68","233"
"Mixed","Harrow","70","179"
"Mixed","Hartlepool","80","12"
"Mixed","Havering","72","152"
"Mixed","Herefordshire, County of","73","44"
"Mixed","Hertfordshire","68","690"
"Mixed","Hillingdon","69","320"
"Mixed","Hounslow","67","195"
"Mixed","Isle of Wight","64","32"
"Mixed","Isles of Scilly","N/A","N/A"
"Mixed","Islington","71","218"
"Mixed","Kensington and Chelsea","81","152"
"Mixed","Kent","70","687"
"Mixed","Kingston upon Hull, City of","71","83"
"Mixed","Kingston upon Thames","72","155"
"Mixed","Kirklees","63","230"
"Mixed","Knowsley","56","22"
"Mixed","Lambeth","74","311"
"Mixed","Lancashire","67","320"
"Mixed","Leeds","60","376"
"Mixed","Leicester","61","203"
"Mixed","Leicestershire","69","261"
"Mixed","Lewisham","70","389"
"Mixed","Lincolnshire","67","166"
"Mixed","Liverpool","60","178"
"Mixed","Luton","65","180"
"Mixed","Manchester","62","355"
"Mixed","Medway","62","141"
"Mixed","Merton","63","146"
"Mixed","Middlesbrough","60","67"
"Mixed","Milton Keynes","68","213"
"Mixed","Newcastle upon Tyne","64","87"
"Mixed","Newham","77","239"
"Mixed","Norfolk","61","196"
"Mixed","North East Lincolnshire","74","43"
"Mixed","North Lincolnshire","62","21"
"Mixed","North Somerset","73","67"
"Mixed","North Tyneside","75","57"
"Mixed","North Yorkshire","63","109"
"Mixed","Northamptonshire","57","298"
"Mixed","Northumberland","70","46"
"Mixed","Nottingham","67","323"
"Mixed","Nottinghamshire","68","285"
"Mixed","Oldham","65","117"
"Mixed","Oxfordshire","63","327"
"Mixed","Peterborough","57","108"
"Mixed","Plymouth","68","61"
"Mixed","Portsmouth","72","86"
"Mixed","Reading","63","135"
"Mixed","Redbridge","72","222"
"Mixed","Redcar and Cleveland","72","36"
"Mixed","Richmond upon Thames","77","176"
"Mixed","Rochdale","57","66"
"Mixed","Rotherham","51","56"
"Mixed","Rutland","83","10"
"Mixed","Salford","68","162"
"Mixed","Sandwell","60","266"
"Mixed","Sefton","70","54"
"Mixed","Sheffield","62","300"
"Mixed","Shropshire","65","60"
"Mixed","Slough","67","142"
"Mixed","Solihull","63","139"
"Mixed","Somerset","62","110"
"Mixed","South Gloucestershire","74","125"
"Mixed","South Tyneside","67","29"
"Mixed","Southampton","66","116"
"Mixed","Southend-on-Sea","67","98"
"Mixed","Southwark","69","259"
"Mixed","St. Helens","60","26"
"Mixed","Staffordshire","60","212"
"Mixed","Stockport","56","102"
"Mixed","Stockton-on-Tees","79","53"
"Mixed","Stoke-on-Trent","65","104"
"Mixed","Suffolk","64","298"
"Mixed","Sunderland","75","41"
"Mixed","Surrey","72","560"
"Mixed","Sutton","73","173"
"Mixed","Swindon","64","115"
"Mixed","Tameside","62","88"
"Mixed","Telford and Wrekin","75","88"
"Mixed","Thurrock","80","114"
"Mixed","Torbay","64","27"
"Mixed","Tower Hamlets","69","147"
"Mixed","Trafford","76","177"
"Mixed","Wakefield","64","79"
"Mixed","Walsall","59","138"
"Mixed","Waltham Forest","75","298"
"Mixed","Wandsworth","67","200"
"Mixed","Warrington","86","65"
"Mixed","Warwickshire","70","222"
"Mixed","West Berkshire","65","68"
"Mixed","West Sussex","65","298"
"Mixed","Westminster","72","107"
"Mixed","Wigan","65","64"
"Mixed","Wiltshire","74","140"
"Mixed","Windsor and Maidenhead","67","93"
"Mixed","Wirral","67","66"
"Mixed","Wokingham","77","129"
"Mixed","Wolverhampton","61","242"
"Mixed","Worcestershire","61","148"
"Mixed","York","61","37"
"White","Barking and Dagenham","58","740"
"White","Barnet","75","1,664"
"White","Barnsley","67","1,771"
"White","Bath and North East Somerset","67","1,109"
"White","Bedford","56","790"
"White","Bexley","66","1,388"
"White","Birmingham","60","3,315"
"White","Blackburn with Darwen","64","685"
"White","Blackpool","67","1,050"
"White","Bolton","66","1,624"
"White","Bournemouth, Christchurch and Poole","66","2,228"
"White","Bracknell Forest","63","739"
"White","Bradford","60","2,311"
"White","Brent","69","635"
"White","Brighton and Hove","66","1,420"
"White","Bristol, City of","67","2,268"
"White","Bromley","74","1,917"
"White","Buckinghamshire","67","2,955"
"White","Bury","67","1,192"
"White","Calderdale","65","1,363"
"White","Cambridgeshire","62","3,759"
"White","Camden","76","461"
"White","Central Bedfordshire","61","1,824"
"White","Cheshire East","66","2,585"
"White","Cheshire West and Chester","64","2,405"
"White","City of London","100","9"
"White","Cornwall","61","3,436"
"White","County Durham","65","3,595"
"White","Coventry","61","1,522"
"White","Croydon","67","1,141"
"White","Cumbria","66","3,300"
"White","Darlington","66","791"
"White","Derby","60","1,309"
"White","Derbyshire","64","5,223"
"White","Devon","63","4,758"
"White","Doncaster","60","2,066"
"White","Dorset","61","2,267"
"White","Dudley","59","1,779"
"White","Ealing","73","962"
"White","East Riding of Yorkshire","64","2,261"
"White","East Sussex","62","3,070"
"White","Enfield","64","1,449"
"White","Essex","65","9,354"
"White","Gateshead","68","1,304"
"White","Gloucestershire","65","3,943"
"White","Greenwich","68","946"
"White","Hackney","65","586"
"White","Halton","60","932"
"White","Hammersmith and Fulham","79","404"
"White","Hampshire","67","8,980"
"White","Haringey","69","1,030"
"White","Harrow","73","599"
"White","Hartlepool","68","758"
"White","Havering","70","1,495"
"White","Herefordshire, County of","69","1,237"
"White","Hertfordshire","67","7,383"
"White","Hillingdon","66","1,010"
"White","Hounslow","65","722"
"White","Isle of Wight","59","710"
"White","Isles of Scilly","44","8"
"White","Islington","72","599"
"White","Kensington and Chelsea","80","276"
"White","Kent","67","10,247"
"White","Kingston upon Hull, City of","68","1,953"
"White","Kingston upon Thames","67","765"
"White","Kirklees","63","2,177"
"White","Knowsley","63","1,074"
"White","Lambeth","74","684"
"White","Lancashire","64","7,559"
"White","Leeds","63","4,135"
"White","Leicester","56","970"
"White","Leicestershire","66","4,278"
"White","Lewisham","72","809"
"White","Lincolnshire","60","4,658"
"White","Liverpool","62","2,562"
"White","Luton","60","604"
