"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Isle of Wight NHS Trust","R1F","White","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts / Ambulance Trusts / Community Trusts / Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","5.60472","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Isle of Wight NHS Trust","R1F","Other","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts / Ambulance Trusts / Community Trusts / Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","13.0137","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Barts Health NHS Trust","R1H","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","9.00149","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Barts Health NHS Trust","R1H","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","18.87846","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","London North West University Healthcare NHS Trust","R1K","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","8.830364","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","London North West University Healthcare NHS Trust","R1K","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","15.78318","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Essex Partnership University NHS Foundation Trust","R1L","White","White & Other","East of England","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","6.595745","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Essex Partnership University NHS Foundation Trust","R1L","Other","White & Other","East of England","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","17.66304","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Surrey County Hospital NHS Foundation Trust","RA2","White","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","5.252791","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Surrey County Hospital NHS Foundation Trust","RA2","Other","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","15.31729","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Yeovil District Hospital NHS Foundation Trust","RA4","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","4.797048","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Yeovil District Hospital NHS Foundation Trust","RA4","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","14.17004","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospitals Bristol and Weston NHS Foundation Trust","RA7","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","5.545436","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospitals Bristol and Weston NHS Foundation Trust","RA7","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","18.26484","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","5.848903","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","15.07937","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","4.982561","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","15.68323","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Mid and South Essex NHS Foundation Trust","RAJ","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","7.326974","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Mid and South Essex NHS Foundation Trust","RAJ","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","20","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","9.179688","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","17.73274","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped Region","Acute Specialist Trusts","7.581967","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped Region","Acute Specialist Trusts","13.83285","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","9.615385","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","19.00749","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","8.866995","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","22.16495","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","5.871725","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","13.48907","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Kingston Hospital NHS Foundation Trust","RAX","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","4.825737","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Kingston Hospital NHS Foundation Trust","RAX","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","18.63839","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Dorset County Hospital NHS Foundation Trust","RBD","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","6.605351","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Dorset County Hospital NHS Foundation Trust","RBD","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","20","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Walsall Healthcare NHS Trust","RBK","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","7.286673","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Walsall Healthcare NHS Trust","RBK","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","23.88535","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Wirral University Teaching Hospital NHS Foundation Trust","RBL","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","5.330396","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","13.42282","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","2.466368","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","16.27907","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","White","White & Other","North West","Grouped Region","Acute Specialist Trusts","3.833866","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Other","White & Other","North West","Grouped Region","Acute Specialist Trusts","6.730769","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Alder Hey Children's NHS Foundation Trust","RBS","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","4.817179","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Alder Hey Children's NHS Foundation Trust","RBS","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","12.39669","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Mid Cheshire Hospitals NHS Foundation Trust","RBT","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","5.236198","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","14.40678","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Christie NHS Foundation Trust","RBV","White","White & Other","North West","Grouped Region","Acute Specialist Trusts","5.680934","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Christie NHS Foundation Trust","RBV","Other","White & Other","North West","Grouped Region","Acute Specialist Trusts","13.77246","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Northern Devon Healthcare NHS Trust","RBZ","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","4.691076","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Northern Devon Healthcare NHS Trust","RBZ","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","17.82178","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Bedfordshire Hospitals NHS Foundation Trust","RC9","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","6.358382","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Bedfordshire Hospitals NHS Foundation Trust","RC9","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","14.06844","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","York Teaching Hospital NHS Foundation Trust","RCB","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","6.25972","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","York Teaching Hospital NHS Foundation Trust","RCB","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","16.03774","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Harrogate and District NHS Foundation Trust","RCD","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","7.09282","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Harrogate and District NHS Foundation Trust","RCD","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","20.61856","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Airedale NHS Foundation Trust","RCF","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","4.884793","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Airedale NHS Foundation Trust","RCF","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","14.56311","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Sheffield Children's NHS Foundation Trust","RCU","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","4.179811","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Sheffield Children's NHS Foundation Trust","RCU","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","12.60504","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","6.604507","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","18.71921","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal United Hospitals Bath NHS Foundation Trust","RD1","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","5.450122","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal United Hospitals Bath NHS Foundation Trust","RD1","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","17.2093","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Poole Hospital NHS Foundation Trust","RD3","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","6.140351","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Poole Hospital NHS Foundation Trust","RD3","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","18.47134","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Milton Keynes University Hospital NHS Foundation Trust","RD8","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","6.388642","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Milton Keynes University Hospital NHS Foundation Trust","RD8","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","12.8266","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","East Suffolk and North Essex NHS Foundation Trust","RDE","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","6.029049","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","East Suffolk and North Essex NHS Foundation Trust","RDE","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","16.76083","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Sussex Community NHS Foundation Trust","RDR","White","White & Other","South East","Grouped Region","Community Trusts","5.537099","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Sussex Community NHS Foundation Trust","RDR","Other","White & Other","South East","Grouped Region","Community Trusts","14.23077","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Frimley Health NHS Foundation Trust","RDU","White","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","5.334151","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Frimley Health NHS Foundation Trust","RDU","Other","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","14.52005","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Dorset HealthCare University NHS Foundation Trust","RDY","White","White & Other","South West","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","4.337493","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Dorset HealthCare University NHS Foundation Trust","RDY","Other","White & Other","South West","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","12.5","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust","RDZ","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","5.540541","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust","RDZ","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","15.10204","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Cornwall Hospitals NHS Trust","REF","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","6.199702","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Cornwall Hospitals NHS Trust","REF","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","17.40891","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Liverpool University Hospitals NHS Foundation Trust","REM","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","5.835604","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Liverpool University Hospitals NHS Foundation Trust","REM","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","17.86492","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","White","White & Other","North West","Grouped Region","Acute Specialist Trusts","4.015056","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Other","White & Other","North West","Grouped Region","Acute Specialist Trusts","5.405405","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North West","Grouped Region","Acute Specialist Trusts","3.571429","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North West","Grouped Region","Acute Specialist Trusts","7.462687","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Walton Centre NHS Foundation Trust","RET","White","White & Other","North West","Grouped Region","Acute Specialist Trusts","3.974895","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Walton Centre NHS Foundation Trust","RET","Other","White & Other","North West","Grouped Region","Acute Specialist Trusts","10.6383","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","10.25324","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","21.37878","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Barnsley Hospital NHS Foundation Trust","RFF","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","4.319907","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Barnsley Hospital NHS Foundation Trust","RFF","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","16.96429","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Rotherham NHS Foundation Trust","RFR","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","4.611529","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Rotherham NHS Foundation Trust","RFR","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","14.72393","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Chesterfield Royal Hospital NHS Foundation Trust","RFS","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","4.64752","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","15.55556","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North East and Yorkshire","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","4.85348","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North East and Yorkshire","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","14.12429","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","East of England","Grouped Region","Acute Specialist Trusts","7.609756","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","East of England","Grouped Region","Acute Specialist Trusts","23.31839","%"
