"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography code","Geography_type","Gender","Age Bracket","Socio-economic classification","Value","Unweighted base"
"Proportion of adults that fear crime","2014/15","Financial year","Gypsy or Irish Traveller","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","-"," 10 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other white background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","18.7"," 1,386 "
"Proportion of adults that fear crime","2014/15","Financial year","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","20.3"," 303 "
"Proportion of adults that fear crime","2014/15","Financial year","Mixed white and black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","21.4"," 97 "
"Proportion of adults that fear crime","2014/15","Financial year","Mixed white and black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","-"," 45 "
"Proportion of adults that fear crime","2014/15","Financial year","Mixed white and asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.8"," 88 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other Mixed/Multiple ethnic background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.8"," 73 "
"Proportion of adults that fear crime","2014/15","Financial year","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","28.2"," 1,578 "
"Proportion of adults that fear crime","2014/15","Financial year","Indian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","29.3"," 642 "
"Proportion of adults that fear crime","2014/15","Financial year","Pakistani","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.5"," 375 "
"Proportion of adults that fear crime","2014/15","Financial year","Bangladeshi","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","29.1"," 119 "
"Proportion of adults that fear crime","2014/15","Financial year","Chinese","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","19.3"," 131 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","30.3"," 311 "
"Proportion of adults that fear crime","2014/15","Financial year","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","23.7"," 875 "
"Proportion of adults that fear crime","2014/15","Financial year","Black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","22.2"," 509 "
"Proportion of adults that fear crime","2014/15","Financial year","Black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.7"," 309 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other black background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.2"," 57 "
"Proportion of adults that fear crime","2014/15","Financial year","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.0"," 223 "
"Proportion of adults that fear crime","2014/15","Financial year","Arab","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.5"," 79 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other ethnic group","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.3"," 144 "
"Proportion of adults that fear crime","2015/16","Financial year","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","18.0","31,352"
"Proportion of adults that fear crime","2015/16","Financial year","White British","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.8","29,458"
"Proportion of adults that fear crime","2015/16","Financial year","White Irish","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","20.4","280"
"Proportion of adults that fear crime","2015/16","Financial year","Gypsy or Irish Traveller","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","-","15"
"Proportion of adults that fear crime","2015/16","Financial year","Any other white background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","20.7","1,599"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","21.1","359"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed white and black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.7","133"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed white and black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","-","43"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed white and asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","21.4","93"
"Proportion of adults that fear crime","2015/16","Financial year","Any other Mixed/Multiple ethnic background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.3","90"
"Proportion of adults that fear crime","2015/16","Financial year","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.1","1,712"
"Proportion of adults that fear crime","2015/16","Financial year","Indian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.5","694"
"Proportion of adults that fear crime","2015/16","Financial year","Pakistani","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","29.8","400"
"Proportion of adults that fear crime","2015/16","Financial year","Bangladeshi","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","31.4","130"
"Proportion of adults that fear crime","2015/16","Financial year","Chinese","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","15.7","166"
"Proportion of adults that fear crime","2015/16","Financial year","Any other asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.7","322"
"Proportion of adults that fear crime","2015/16","Financial year","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.3","854"
"Proportion of adults that fear crime","2015/16","Financial year","Black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.4","504"
"Proportion of adults that fear crime","2015/16","Financial year","Black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.7","292"
"Proportion of adults that fear crime","2015/16","Financial year","Any other black background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","28.1","58"
"Proportion of adults that fear crime","2015/16","Financial year","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.1","235"
"Proportion of adults that fear crime","2015/16","Financial year","Arab","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","29.7","84"
"Proportion of adults that fear crime","2015/16","Financial year","Any other ethnic group","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.5","151"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16-24","All","19.6","2,756"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","25-34","All","22.3","5,186"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","35-44","All","23.7","5,722"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","45-54","All","20.4","5,975"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","55-64","All","19.4","5,578"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","65-74","All","14.8","5,168"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","75+","All","9.8","4,299"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16-24","All","18.3"," 2,382 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","25-34","All","19.7"," 4,697 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","35-44","All","22.5"," 5,348 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","45-54","All","20.5"," 5,558 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","55-64","All","19.3"," 5,231 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","65-74","All","15.8"," 5,246 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","75+","All","8.6"," 4,240 "
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16-24","All","18.4","2,478"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","25-34","All","20.7","4,892"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","35-44","All","22.4","5,459"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","45-54","All","21.6","6,008"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","55-64","All","20.1","5,574"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","65-74","All","15.5","5,728"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","75+","All","9.8","4,427"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","Male","16+","All","18.9","15,928"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","Female","16+","All","19.9","18,756"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","Male","16+","All","18.9"," 14,803 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","Female","16+","All","18.2"," 17,899 "
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","Male","16+","All","18.7","15,765"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","Female","16+","All","19.4","18,801"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","18.5"," 11,620 "
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","19.7"," 8,124 "
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","20.1"," 12,316 "
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","23.4"," 1,276 "
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Full time students","17.0"," 1,190 "
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Not classified","17.1"," 158 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","17.6"," 11,171 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","19.3"," 7,550 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","18.8"," 11,506 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","22.4"," 1,264 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Full time students","17.1"," 1,019 "
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Not classified","15.1"," 192 "
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","17.5"," 12,087 "
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","20.5"," 8,048 "
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","20.0"," 11,955 "
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","20.3"," 1,167 "
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Full time students","17.1"," 1,078 "
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Not classified","24.0"," 231 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","White & other","England and Wales","K04000001","ONS geography code","All","16+","All","17.8"," 92,447 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","All other ethnicities","White & other","England and Wales","K04000001","ONS geography code","All","16+","All","27.3"," 9,381 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","North East","E12000001","ONS geography code","All","16+","All","19.1"," 6,062 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Cleveland","E23000013","ONS geography code","All","16+","All","18.5"," 1,860 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Durham","E23000008","ONS geography code","All","16+","All","19.1"," 1,910 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Northumbria","E23000007","ONS geography code","All","16+","All","19.3"," 2,292 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","North West","E12000002","ONS geography code","All","16+","All","18.1"," 11,318 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Cheshire","E23000006","ONS geography code","All","16+","All","15.4"," 1,867 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Cumbria","E23000002","ONS geography code","All","16+","All","10.8"," 1,796 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Greater Manchester","E23000005","ONS geography code","All","16+","All","19.8"," 3,523 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Lancashire","E23000003","ONS geography code","All","16+","All","17.4"," 2,129 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Merseyside","E23000004","ONS geography code","All","16+","All","21.1"," 2,003 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Yorkshire and the Humber","E12000003","ONS geography code","All","16+","All","17.3"," 8,541 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Humberside","E23000012","ONS geography code","All","16+","All","15.8"," 1,790 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","North Yorkshire","E23000009","ONS geography code","All","16+","All","10.4"," 1,920 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","South Yorkshire","E23000011","ONS geography code","All","16+","All","19.4"," 1,829 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","West Yorkshire","E23000010","ONS geography code","All","16+","All","19.6"," 3,002 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","East Midlands","E12000004","ONS geography code","All","16+","All","19.5"," 8,807 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Derbyshire","E23000018","ONS geography code","All","16+","All","19.2"," 1,874 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Leicestershire","E23000021","ONS geography code","All","16+","All","19.9"," 1,669 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Lincolnshire","E23000020","ONS geography code","All","16+","All","14.8"," 1,845 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Northamptonshire","E23000022","ONS geography code","All","16+","All","18.1"," 1,702 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Nottinghamshire","E23000019","ONS geography code","All","16+","All","23.7"," 1,717 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","West Midlands","E12000005","ONS geography code","All","16+","All","24.2"," 8,586 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Staffordshire","E23000015","ONS geography code","All","16+","All","33.6"," 1,924 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Warwickshire","E23000017","ONS geography code","All","16+","All","16.5"," 1,776 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","West Mercia","E23000016","ONS geography code","All","16+","All","14.3"," 1,868 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","West Midlands","E23000014","ONS geography code","All","16+","All","27.7"," 3,018 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","East","E12000006","ONS geography code","All","16+","All","16.6"," 11,209 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Bedfordshire","E23000026","ONS geography code","All","16+","All","21.5"," 1,730 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Cambridgeshire","E23000023","ONS geography code","All","16+","All","18.2"," 1,734 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Essex","E23000028","ONS geography code","All","16+","All","19.2"," 2,347 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Hertfordshire","E23000027","ONS geography code","All","16+","All","14.6"," 1,719 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Norfolk","E23000024","ONS geography code","All","16+","All","12.8"," 1,897 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Suffolk","E23000025","ONS geography code","All","16+","All","12.7"," 1,782 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","London","E12000007","ONS geography code","All","16+","All","21.9"," 6,871 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","City of London / Metropolitan Police","E12000007","ONS geography code","All","16+","All","21.9"," 6,871 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","South East","E12000008","ONS geography code","All","16+","All","15.1"," 12,192 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Hampshire","E23000030","ONS geography code","All","16+","All","11.4"," 2,796 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Kent","E23000032","ONS geography code","All","16+","All","17.2"," 2,403 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Surrey","E23000031","ONS geography code","All","16+","All","14.2"," 1,687 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Sussex","E23000033","ONS geography code","All","16+","All","17.2"," 2,310 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Thames Valley","E23000029","ONS geography code","All","16+","All","15.7"," 2,996 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","South West","E12000009","ONS geography code","All","16+","All","12.8"," 10,902 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Avon and Somerset","E23000036","ONS geography code","All","16+","All","16.1"," 2,387 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Devon and Cornwall","E23000035","ONS geography code","All","16+","All","10.2"," 2,821 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Dorset","E23000039","ONS geography code","All","16+","All","10.2"," 1,850 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Gloucestershire","E23000037","ONS geography code","All","16+","All","13.0"," 1,977 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Wiltshire","E23000038","ONS geography code","All","16+","All","13.3"," 1,867 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Wales","W92000004","ONS geography code","All","16+","All","15.7"," 7,959 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Dyfed-Powys","W15000004","ONS geography code","All","16+","All","9.5"," 1,932 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Gwent","W15000002","ONS geography code","All","16+","All","21.0"," 1,979 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","North Wales","W15000001","ONS geography code","All","16+","All","13.9"," 2,070 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","South Wales","W15000003","ONS geography code","All","16+","All","17.1"," 1,978 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","North East","E12000001","ONS geography code","All","16+","All","-"," 29 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Cleveland","E23000013","ONS geography code","All","16+","All","-"," 8 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Durham","E23000008","ONS geography code","All","16+","All","-"," 6 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Northumbria","E23000007","ONS geography code","All","16+","All","-"," 15 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","North West","E12000002","ONS geography code","All","16+","All","27.4"," 77 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Cheshire","E23000006","ONS geography code","All","16+","All","-"," 8 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Cumbria","E23000002","ONS geography code","All","16+","All","-"," 5 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Greater Manchester","E23000005","ONS geography code","All","16+","All","-"," 36 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Lancashire","E23000003","ONS geography code","All","16+","All","-"," 11 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Merseyside","E23000004","ONS geography code","All","16+","All","-"," 17 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Yorkshire and the Humber","E12000003","ONS geography code","All","16+","All","31.1"," 52 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Humberside","E23000012","ONS geography code","All","16+","All","-"," 4 "
