"Measure","NHS_trust_type","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust","Value","Value_type","Relative_likelihood_White:Other"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RA2","Other","White & Other","South East","Grouped region","Royal Surrey County Hospital NHS Foundation Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RA4","White","White & Other","South West","Grouped region","Yeovil District Hospital NHS Foundation Trust","28","%","1.38"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RA4","Other","White & Other","South West","Grouped region","Yeovil District Hospital NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RA7","White","White & Other","South West","Grouped region","University Hospitals Bristol and Weston NHS Foundation Trust","22","%","1.64"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RA7","Other","White & Other","South West","Grouped region","University Hospitals Bristol and Weston NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RA9","White","White & Other","South West","Grouped region","Torbay and South Devon NHS Foundation Trust","23","%","1.73"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RA9","Other","White & Other","South West","Grouped region","Torbay and South Devon NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAE","White","White & Other","North East and Yorkshire","Grouped region","Bradford Teaching Hospitals NHS Foundation Trust","34","%","1.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAE","Other","White & Other","North East and Yorkshire","Grouped region","Bradford Teaching Hospitals NHS Foundation Trust","23","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAJ","White","White & Other","East of England","Grouped region","Mid and South Essex NHS Foundation Trust","6","%","1.04"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAJ","Other","White & Other","East of England","Grouped region","Mid and South Essex NHS Foundation Trust","6","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAL","White","White & Other","London","Grouped region","Royal Free London NHS Foundation Trust","43","%","1.32"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAL","Other","White & Other","London","Grouped region","Royal Free London NHS Foundation Trust","33","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RAN","White","White & Other","London","Grouped region","Royal National Orthopaedic Hospital NHS Trust","26","%","1.5"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RAN","Other","White & Other","London","Grouped region","Royal National Orthopaedic Hospital NHS Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAP","White","White & Other","London","Grouped region","North Middlesex University Hospital NHS Trust","3","%","0.92"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAP","Other","White & Other","London","Grouped region","North Middlesex University Hospital NHS Trust","3","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAS","White","White & Other","London","Grouped region","The Hillingdon Hospitals NHS Foundation Trust","21","%","1.58"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAS","Other","White & Other","London","Grouped region","The Hillingdon Hospitals NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RAT","White","White & Other","London","Grouped region","North East London NHS Foundation Trust","20","%","1.44"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RAT","Other","White & Other","London","Grouped region","North East London NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAX","White","White & Other","London","Grouped region","Kingston Hospital NHS Foundation Trust","20","%","1.05"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RAX","Other","White & Other","London","Grouped region","Kingston Hospital NHS Foundation Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBD","White","White & Other","South West","Grouped region","Dorset County Hospital NHS Foundation Trust","53","%","1.12"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBD","Other","White & Other","South West","Grouped region","Dorset County Hospital NHS Foundation Trust","47","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBK","White","White & Other","Midlands","Grouped region","Walsall Healthcare NHS Trust","11","%","1.4"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBK","Other","White & Other","Midlands","Grouped region","Walsall Healthcare NHS Trust","8","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBL","White","White & Other","North West","Grouped region","Wirral University Teaching Hospital NHS Foundation Trust","12","%","3.78"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBL","Other","White & Other","North West","Grouped region","Wirral University Teaching Hospital NHS Foundation Trust","3","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBN","White","White & Other","North West","Grouped region","St Helens and Knowsley Teaching Hospitals NHS Trust","42","%","1.06"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBN","Other","White & Other","North West","Grouped region","St Helens and Knowsley Teaching Hospitals NHS Trust","40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RBQ","White","White & Other","North West","Grouped region","Liverpool Heart and Chest Hospital NHS Foundation Trust","10","%","1.85"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RBQ","Other","White & Other","North West","Grouped region","Liverpool Heart and Chest Hospital NHS Foundation Trust","5","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBS","White","White & Other","North West","Grouped region","Alder Hey Children's NHS Foundation Trust","23","%","1.07"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBS","Other","White & Other","North West","Grouped region","Alder Hey Children's NHS Foundation Trust","22","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBT","White","White & Other","North West","Grouped region","Mid Cheshire Hospitals NHS Foundation Trust","27","%","1.47"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBT","Other","White & Other","North West","Grouped region","Mid Cheshire Hospitals NHS Foundation Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RBV","White","White & Other","North West","Grouped region","The Christie NHS Foundation Trust","30","%","2.17"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RBV","Other","White & Other","North West","Grouped region","The Christie NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBZ","White","White & Other","South West","Grouped region","Northern Devon Healthcare NHS Trust","27","%","1.82"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RBZ","Other","White & Other","South West","Grouped region","Northern Devon Healthcare NHS Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RC9","White","White & Other","East of England","Grouped region","Bedfordshire Hospitals NHS Foundation Trust","7","%","1.25"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RC9","Other","White & Other","East of England","Grouped region","Bedfordshire Hospitals NHS Foundation Trust","5","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCB","White","White & Other","North East and Yorkshire","Grouped region","York Teaching Hospital NHS Foundation Trust","20","%","2.61"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCB","Other","White & Other","North East and Yorkshire","Grouped region","York Teaching Hospital NHS Foundation Trust","8","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCD","White","White & Other","North East and Yorkshire","Grouped region","Harrogate and District NHS Foundation Trust","28","%","1.42"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCD","Other","White & Other","North East and Yorkshire","Grouped region","Harrogate and District NHS Foundation Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCF","White","White & Other","North East and Yorkshire","Grouped region","Airedale NHS Foundation Trust","26","%","2.3"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCF","Other","White & Other","North East and Yorkshire","Grouped region","Airedale NHS Foundation Trust","12","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCU","White","White & Other","North East and Yorkshire","Grouped region","Sheffield Children's NHS Foundation Trust","22","%","1.77"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCU","Other","White & Other","North East and Yorkshire","Grouped region","Sheffield Children's NHS Foundation Trust","12","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCX","White","White & Other","East of England","Grouped region","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","31","%","0.84"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RCX","Other","White & Other","East of England","Grouped region","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","37","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RD1","White","White & Other","South West","Grouped region","Royal United Hospitals Bath NHS Foundation Trust","33","%","1.91"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RD1","Other","White & Other","South West","Grouped region","Royal United Hospitals Bath NHS Foundation Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RD8","White","White & Other","East of England","Grouped region","Milton Keynes University Hospital NHS Foundation Trust","25","%","1.29"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RD8","Other","White & Other","East of England","Grouped region","Milton Keynes University Hospital NHS Foundation Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RDE","White","White & Other","East of England","Grouped region","East Suffolk and North Essex NHS Foundation Trust","53","%","1.16"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RDE","Other","White & Other","East of England","Grouped region","East Suffolk and North Essex NHS Foundation Trust","45","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RDR","White","White & Other","South East","Grouped region","Sussex Community NHS Foundation Trust","26","%","1.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RDR","Other","White & Other","South East","Grouped region","Sussex Community NHS Foundation Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RDU","White","White & Other","South East","Grouped region","Frimley Health NHS Foundation Trust","22","%","1.17"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RDU","Other","White & Other","South East","Grouped region","Frimley Health NHS Foundation Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RDY","White","White & Other","South West","Grouped region","Dorset HealthCare University NHS Foundation Trust","15","%","3.48"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RDY","Other","White & Other","South West","Grouped region","Dorset HealthCare University NHS Foundation Trust","4","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","REF","White","White & Other","South West","Grouped region","Royal Cornwall Hospitals NHS Trust","15","%","0.61"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","REF","Other","White & Other","South West","Grouped region","Royal Cornwall Hospitals NHS Trust","24","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","REM","White","White & Other","North West","Grouped region","Liverpool University Hospitals NHS Foundation Trust","12","%","2.66"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","REM","Other","White & Other","North West","Grouped region","Liverpool University Hospitals NHS Foundation Trust","5","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","REN","White","White & Other","North West","Grouped region","The Clatterbridge Cancer Centre NHS Foundation Trust","32","%","1.31"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","REN","Other","White & Other","North West","Grouped region","The Clatterbridge Cancer Centre NHS Foundation Trust","25","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","REP","White","White & Other","North West","Grouped region","Liverpool Women's NHS Foundation Trust","85","%","1.61"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","REP","Other","White & Other","North West","Grouped region","Liverpool Women's NHS Foundation Trust","53","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RET","White","White & Other","North West","Grouped region","The Walton Centre NHS Foundation Trust","1","%","0.27"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RET","Other","White & Other","North West","Grouped region","The Walton Centre NHS Foundation Trust","2","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RF4","White","White & Other","London","Grouped region","Barking, Havering And Redbridge University Hospitals NHS Trust","28","%","1.31"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RF4","Other","White & Other","London","Grouped region","Barking, Havering And Redbridge University Hospitals NHS Trust","21","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RFF","White","White & Other","North East and Yorkshire","Grouped region","Barnsley Hospital NHS Foundation Trust","25","%","2.27"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RFF","Other","White & Other","North East and Yorkshire","Grouped region","Barnsley Hospital NHS Foundation Trust","11","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RFR","White","White & Other","North East and Yorkshire","Grouped region","The Rotherham NHS Foundation Trust","20","%","0.77"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RFR","Other","White & Other","North East and Yorkshire","Grouped region","The Rotherham NHS Foundation Trust","26","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RFS","White","White & Other","Midlands","Grouped region","Chesterfield Royal Hospital NHS Foundation Trust","8","%","3.99"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RFS","Other","White & Other","Midlands","Grouped region","Chesterfield Royal Hospital NHS Foundation Trust","2","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RGD","White","White & Other","North East and Yorkshire","Grouped region","Leeds and York Partnership NHS Foundation Trust","18","%","1.41"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RGD","Other","White & Other","North East and Yorkshire","Grouped region","Leeds and York Partnership NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RGM","White","White & Other","East of England","Grouped region","Royal Papworth Hospital NHS Foundation Trust","55","%","1.08"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RGM","Other","White & Other","East of England","Grouped region","Royal Papworth Hospital NHS Foundation Trust","51","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RGN","White","White & Other","East of England","Grouped region","North West Anglia NHS Foundation Trust","9","%","2.25"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RGN","Other","White & Other","East of England","Grouped region","North West Anglia NHS Foundation Trust","4","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RGP","White","White & Other","East of England","Grouped region","James Paget University Hospitals NHS Foundation Trust","22","%","0.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RGP","Other","White & Other","East of England","Grouped region","James Paget University Hospitals NHS Foundation Trust","56","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RGR","White","White & Other","East of England","Grouped region","West Suffolk NHS Foundation Trust","13","%","1.3"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RGR","Other","White & Other","East of England","Grouped region","West Suffolk NHS Foundation Trust","10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RGT","White","White & Other","East of England","Grouped region","Cambridge University Hospitals NHS Foundation Trust","30","%","1.48"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RGT","Other","White & Other","East of England","Grouped region","Cambridge University Hospitals NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RH5","White","White & Other","South West","Grouped region","Somerset NHS Foundation Trust","32","%","1.62"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RH5","Other","White & Other","South West","Grouped region","Somerset NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RH8","White","White & Other","South West","Grouped region","Royal Devon and Exeter NHS Foundation Trust","24","%","1.2"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RH8","Other","White & Other","South West","Grouped region","Royal Devon and Exeter NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RHA","White","White & Other","Midlands","Grouped region","Nottinghamshire Healthcare NHS Foundation Trust","11","%","1.67"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RHA","Other","White & Other","Midlands","Grouped region","Nottinghamshire Healthcare NHS Foundation Trust","7","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RHM","White","White & Other","South East","Grouped region","University Hospital Southampton NHS Foundation Trust","5","%","1.17"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RHM","Other","White & Other","South East","Grouped region","University Hospital Southampton NHS Foundation Trust","4","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RHQ","White","White & Other","North East and Yorkshire","Grouped region","Sheffield Teaching Hospitals NHS Foundation Trust","34","%","1.33"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RHQ","Other","White & Other","North East and Yorkshire","Grouped region","Sheffield Teaching Hospitals NHS Foundation Trust","25","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RHU","White","White & Other","South East","Grouped region","Portsmouth Hospitals University NHS Trust","55","%","1.13"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RHU","Other","White & Other","South East","Grouped region","Portsmouth Hospitals University NHS Trust","48","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RHW","White","White & Other","South East","Grouped region","Royal Berkshire NHS Foundation Trust","22","%","1.7"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RHW","Other","White & Other","South East","Grouped region","Royal Berkshire NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJ1","White","White & Other","London","Grouped region","Guy's and St Thomas' NHS Foundation Trust","27","%","1.54"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJ1","Other","White & Other","London","Grouped region","Guy's and St Thomas' NHS Foundation Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJ2","White","White & Other","London","Grouped region","Lewisham and Greenwich NHS Trust","24","%","1.53"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJ2","Other","White & Other","London","Grouped region","Lewisham and Greenwich NHS Trust","16","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJ6","White","White & Other","London","Grouped region","Croydon Health Services NHS Trust","23","%","1.51"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJ6","Other","White & Other","London","Grouped region","Croydon Health Services NHS Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJ7","White","White & Other","London","Grouped region","St George's University Hospitals NHS Foundation Trust","34","%","1.47"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJ7","Other","White & Other","London","Grouped region","St George's University Hospitals NHS Foundation Trust","23","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RJ8","White","White & Other","South West","Grouped region","Cornwall Partnership NHS Foundation Trust","16","%","1.87"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RJ8","Other","White & Other","South West","Grouped region","Cornwall Partnership NHS Foundation Trust","9","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJC","White","White & Other","Midlands","Grouped region","South Warwickshire NHS Foundation Trust","12","%","0.92"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJC","Other","White & Other","Midlands","Grouped region","South Warwickshire NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJE","White","White & Other","Midlands","Grouped region","University Hospitals of North Midlands NHS Trust","13","%","1.38"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJE","Other","White & Other","Midlands","Grouped region","University Hospitals of North Midlands NHS Trust","9","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJL","White","White & Other","North East and Yorkshire","Grouped region","Northern Lincolnshire And Goole NHS Foundation Trust","11","%","6.02"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJL","Other","White & Other","North East and Yorkshire","Grouped region","Northern Lincolnshire And Goole NHS Foundation Trust","2","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJN","White","White & Other","North West","Grouped region","East Cheshire NHS Trust","52","%","1.08"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJN","Other","White & Other","North West","Grouped region","East Cheshire NHS Trust","48","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJR","White","White & Other","North West","Grouped region","Countess of Chester Hospital NHS Foundation Trust","22","%","2.23"
