"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator","Lower 95% C.I.","Upper 95% C.I."
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","Mixed","ONS 2001 6+1","2016","Calendar year","England","Country","E92000001","Persons","All ages","53.9975399753997","%","813","439","50.560809270087","57.396671254205"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","Other ethnicity","ONS 2001 6+1","2016","Calendar year","England","Country","E92000001","Persons","All ages","53.0442400350416","%","2283","1211","50.9936475388735","55.0846050423823"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","Unknown","ONS 2001 6+1","2016","Calendar year","England","Country","E92000001","Persons","All ages","48.2011419137373","%","14537","7007","47.3894561035393","49.0137781832718"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","White","ONS 2001 6+1","2016","Calendar year","England","Country","E92000001","Persons","All ages","52.7683159170948","%","190531","100540","52.5440969462413","52.9924232614184"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","All","All","2017","Calendar year","England","Country","E92000001","Persons","All ages","52.2009549626408","%","218019","113808","51.9912415289797","52.4105908367417"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","Asian","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","Persons","All ages","54.7623903732408","%","4903","2685","53.3660194622026","56.1513045418266"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","Black","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","Persons","All ages","55.3967471660916","%","4058","2248","53.862970824605","56.9203156340242"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","Chinese","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","Persons","All ages","56.4210526315789","%","475","268","51.9279307140461","60.8111500143086"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","Mixed","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","Persons","All ages","52.6315789473684","%","893","470","49.3524692671708","55.8881448388945"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","Other ethnicity","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","Persons","All ages","54.1818181818181","%","2475","1341","52.2139122037697","56.1367630386267"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","Unknown","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","Persons","All ages","49.9518430960511","%","11421","5705","49.0350208706","50.8686977058051"
"Percentage of new cancer diagnoses at stage 1 or 2  (experimental statistics)","White","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","Persons","All ages","52.1641536889686","%","193794","101091","51.9417099398959","52.3865116423771"
