"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Value","Numerator"
"Number of self inflicted deaths per 1000","2001","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2001","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2001","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2001","Year","White","ONS 5+1 2001","All","All/Male/Female","-","66"
"Number of self inflicted deaths per 1000","2002","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","78"
"Number of self inflicted deaths per 1000","2002","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2002","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2002","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2002","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2002","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2002","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2002","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2002","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2002","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2002","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","10"
"Number of self inflicted deaths per 1000","2002","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2002","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2002","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2002","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2002","Year","White","ONS 5+1 2001","All","All/Male/Female","-","85"
"Number of self inflicted deaths per 1000","2003","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","72"
"Number of self inflicted deaths per 1000","2003","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2003","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2003","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2003","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","14"
"Number of self inflicted deaths per 1000","2003","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","9"
"Number of self inflicted deaths per 1000","2003","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2003","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2003","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2003","Year","White","ONS 5+1 2001","All","All/Male/Female","-","86"
"Number of self inflicted deaths per 1000","2004","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","73"
"Number of self inflicted deaths per 1000","2004","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2004","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2004","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2004","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","12"
"Number of self inflicted deaths per 1000","2004","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2004","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2004","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2004","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2004","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2004","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","White","ONS 5+1 2001","All","All/Male/Female","-","85"
"Number of self inflicted deaths per 1000","2005","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","57"
"Number of self inflicted deaths per 1000","2005","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2005","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2005","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2005","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2005","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","17"
"Number of self inflicted deaths per 1000","2005","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2005","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2005","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2005","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","White","ONS 5+1 2001","All","All/Male/Female","-","61"
"Number of self inflicted deaths per 1000","2006","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","54"
"Number of self inflicted deaths per 1000","2006","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2006","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2006","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2006","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2006","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","9"
"Number of self inflicted deaths per 1000","2006","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2006","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2006","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2006","Year","White","ONS 5+1 2001","All","All/Male/Female","-","57"
"Number of self inflicted deaths per 1000","2007","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","65"
"Number of self inflicted deaths per 1000","2007","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","6"
"Number of self inflicted deaths per 1000","2007","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2007","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2007","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2007","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2007","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","19"
"Number of self inflicted deaths per 1000","2007","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","6"
"Number of self inflicted deaths per 1000","2007","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2007","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2007","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2007","Year","White","ONS 5+1 2001","All","All/Male/Female","-","72"
"Number of self inflicted deaths per 1000","2008","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","49"
"Number of self inflicted deaths per 1000","2008","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2008","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2008","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2008","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2008","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2008","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2008","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2008","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2008","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2008","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2008","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2008","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2008","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2008","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2008","Year","White","ONS 5+1 2001","All","All/Male/Female","-","50"
"Number of self inflicted deaths per 1000","2009","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","53"
"Number of self inflicted deaths per 1000","2009","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2009","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2009","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2009","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2009","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2009","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2009","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","White","ONS 5+1 2001","All","All/Male/Female","-","56"
"Number of self inflicted deaths per 1000","2010","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","50"
"Number of self inflicted deaths per 1000","2010","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2010","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2010","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2010","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2010","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2010","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2010","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2010","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2010","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","White","ONS 5+1 2001","All","All/Male/Female","-","51"
"Number of self inflicted deaths per 1000","2011","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","49"
"Number of self inflicted deaths per 1000","2011","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2011","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2011","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2011","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2011","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2011","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.3","7"
"Number of self inflicted deaths per 1000","2011","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.5","3"
"Number of self inflicted deaths per 1000","2011","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.2","2"
"Number of self inflicted deaths per 1000","2011","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.3","1"
"Number of self inflicted deaths per 1000","2011","Year","Other","ONS 5+1 2001","All","All/Male/Female","1","1"
"Number of self inflicted deaths per 1000","2011","Year","White","ONS 5+1 2001","All","All/Male/Female","0.8","51"
"Number of self inflicted deaths per 1000","2012","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","48"
"Number of self inflicted deaths per 1000","2012","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2012","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2012","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2012","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2012","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2012","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2012","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2012","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2012","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2012","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.6","12"
"Number of self inflicted deaths per 1000","2012","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.47","3"
"Number of self inflicted deaths per 1000","2012","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.36","4"
"Number of self inflicted deaths per 1000","2012","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","1.57","5"
"Number of self inflicted deaths per 1000","2012","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
"Number of self inflicted deaths per 1000","2012","Year","White","ONS 5+1 2001","All","All/Male/Female","0.79","49"
"Number of self inflicted deaths per 1000","2013","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","58"
"Number of self inflicted deaths per 1000","2013","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","6"
"Number of self inflicted deaths per 1000","2013","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","8"
"Number of self inflicted deaths per 1000","2013","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2013","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2013","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.7","16"
"Number of self inflicted deaths per 1000","2013","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.93","6"
"Number of self inflicted deaths per 1000","2013","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.74","8"
"Number of self inflicted deaths per 1000","2013","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.62","2"
"Number of self inflicted deaths per 1000","2013","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
"Number of self inflicted deaths per 1000","2013","Year","White","ONS 5+1 2001","All","All/Male/Female","0.98","60"
"Number of self inflicted deaths per 1000","2014","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","77"
"Number of self inflicted deaths per 1000","2014","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2014","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2014","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2014","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2014","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.4","9"
"Number of self inflicted deaths per 1000","2014","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.45","3"
"Number of self inflicted deaths per 1000","2014","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.37","4"
"Number of self inflicted deaths per 1000","2014","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.58","2"
"Number of self inflicted deaths per 1000","2014","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
"Number of self inflicted deaths per 1000","2014","Year","White","ONS 5+1 2001","All","All/Male/Female","1.28","80"
"Number of self inflicted deaths per 1000","2015","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","74"
"Number of self inflicted deaths per 1000","2015","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2015","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","3"
