"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Weston Area Health NHS Trust","RA3","White","White & Other","South","Grouped region","Acute","7","%","38","545",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Yeovil District Hospital NHS Foundation Trust","RA4","Other","White & Other","South","Grouped region","Acute","13","%","24","186",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Yeovil District Hospital NHS Foundation Trust","RA4","White","White & Other","South","Grouped region","Acute","4","%","43","1084",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals Bristol NHS Foundation Trust","RA7","Other","White & Other","South","Grouped region","Acute","14","%","78","559",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals Bristol NHS Foundation Trust","RA7","White","White & Other","South","Grouped region","Acute","6","%","234","3906",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South","Grouped region","Acute","17","%","18","106",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South","Grouped region","Acute","7","%","159","2272",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North","Grouped region","Acute","14","%","65","461",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North","Grouped region","Acute","6","%","90","1500",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Southend University Hospital NHS Foundation Trust","RAJ","Other","White & Other","Midlands","Grouped region","Acute","13","%","48","373",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Southend University Hospital NHS Foundation Trust","RAJ","White","White & Other","Midlands","Grouped region","Acute","6","%","98","1641",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped region","Acute","16","%","200","1252",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped region","Acute","8","%","142","1769",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped region","Acute","14","%","43","310",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped region","Acute","7","%","34","486",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped region","Acute","10","%","51","511",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped region","Acute","19","%","113","593",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped region","Acute","14","%","79","564",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped region","Acute","9","%","79","880",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped region","Mental Health","10","%","120","1201",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped region","Mental Health","5","%","106","2112",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Kingston Hospital NHS Foundation Trust","RAX","Other","White & Other","London","Grouped region","Acute","16","%","84","523",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Kingston Hospital NHS Foundation Trust","RAX","White","White & Other","London","Grouped region","Acute","7","%","77","1096",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Taunton and Somerset NHS Foundation Trust","RBA","Other","White & Other","South","Grouped region","Acute","11","%","11","102",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Taunton and Somerset NHS Foundation Trust","RBA","White","White & Other","South","Grouped region","Acute","6","%","89","1490",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Dorset County Hospital NHS Foundation Trust","RBD","Other","White & Other","South","Grouped region","Acute","10","%","7","70",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Dorset County Hospital NHS Foundation Trust","RBD","White","White & Other","South","Grouped region","Acute","6","%","73","1216",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Walsall Healthcare NHS Trust","RBK","Other","White & Other","Midlands","Grouped region","Acute","13","%","40","304",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Walsall Healthcare NHS Trust","RBK","White","White & Other","Midlands","Grouped region","Acute","6","%","77","1291",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Other","White & Other","North","Grouped region","Acute","14","%","23","165",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Wirral University Teaching Hospital NHS Foundation Trust","RBL","White","White & Other","North","Grouped region","Acute","6","%","141","2350",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","Other","White & Other","North","Grouped region","Acute","15","%","6","41",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","White","White & Other","North","Grouped region","Acute","3","%","17","567",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Other","White & Other","North","Grouped region","Acute","14","%","12","85",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","White","White & Other","North","Grouped region","Acute","6","%","47","775",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Alder Hey Children's NHS Foundation Trust","RBS","Other","White & Other","North","Grouped region","Acute","11","%","12","106",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Alder Hey Children's NHS Foundation Trust","RBS","White","White & Other","North","Grouped region","Acute","5","%","90","1800",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Other","White & Other","North","Grouped region","Acute","10","%","3","29",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Mid Cheshire Hospitals NHS Foundation Trust","RBT","White","White & Other","North","Grouped region","Acute","5","%","30","596",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Christie NHS Foundation Trust","RBV","Other","White & Other","North","Grouped region","Acute","11","%","15","137",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Christie NHS Foundation Trust","RBV","White","White & Other","North","Grouped region","Acute","5","%","54","1082",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northern Devon Healthcare NHS Trust","RBZ","Other","White & Other","South","Grouped region","Acute","11","%","5","44",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northern Devon Healthcare NHS Trust","RBZ","White","White & Other","South","Grouped region","Acute","5","%","52","1037",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Bedford Hospital NHS Trust","RC1","Other","White & Other","Midlands","Grouped region","Acute","12","%","32","264",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Bedford Hospital NHS Trust","RC1","White","White & Other","Midlands","Grouped region","Acute","7","%","60","859",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","Other","White & Other","Midlands","Grouped region","Acute","11","%","26","234",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","White","White & Other","Midlands","Grouped region","Acute","5","%","18","362",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","York Teaching Hospital NHS Foundation Trust","RCB","Other","White & Other","North","Grouped region","Acute","13","%","28","214",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","York Teaching Hospital NHS Foundation Trust","RCB","White","White & Other","North","Grouped region","Acute","5","%","168","3369",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Harrogate and District NHS Foundation Trust","RCD","Other","White & Other","North","Grouped region","Acute","17","%","18","106",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Harrogate and District NHS Foundation Trust","RCD","White","White & Other","North","Grouped region","Acute","5","%","70","1406",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Airedale NHS Foundation Trust","RCF","Other","White & Other","North","Grouped region","Acute","11","%","11","96",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Airedale NHS Foundation Trust","RCF","White","White & Other","North","Grouped region","Acute","4","%","41","1029",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Sheffield Children's NHS Foundation Trust","RCU","Other","White & Other","North","Grouped region","Acute","12","%","17","144",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Sheffield Children's NHS Foundation Trust","RCU","White","White & Other","North","Grouped region","Acute","4","%","60","1501",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","Other","White & Other","Midlands","Grouped region","Acute","17","%","24","143",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","White","White & Other","Midlands","Grouped region","Acute","9","%","105","1163",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal United Hospitals Bath NHS Foundation Trust","RD1","Other","White & Other","South","Grouped region","Acute","20","%","37","184",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal United Hospitals Bath NHS Foundation Trust","RD1","White","White & Other","South","Grouped region","Acute","6","%","122","2041",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Poole Hospital NHS Foundation Trust","RD3","Other","White & Other","South","Grouped region","Acute","18","%","29","159",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Poole Hospital NHS Foundation Trust","RD3","White","White & Other","South","Grouped region","Acute","5","%","82","1645",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Milton Keynes University Hospital NHS Foundation Trust","RD8","Other","White & Other","Midlands","Grouped region","Acute","15","%","51","338",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Milton Keynes University Hospital NHS Foundation Trust","RD8","White","White & Other","Midlands","Grouped region","Acute","7","%","75","1074",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Other","White & Other","Midlands","Grouped region","Acute","13","%","57","439",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","White","White & Other","Midlands","Grouped region","Acute","6","%","85","1411",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East Suffolk and North Essex NHS Foundation Trust","RDE","Other","White & Other","Midlands","Grouped region","Acute","16","%","58","360",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East Suffolk and North Essex NHS Foundation Trust","RDE","White","White & Other","Midlands","Grouped region","Acute","7","%","205","2932",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Sussex Community NHS Foundation Trust","RDR","Other","White & Other","South","Grouped region","Community Provider Trust","14","%","31","221",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Sussex Community NHS Foundation Trust","RDR","White","White & Other","South","Grouped region","Community Provider Trust","5","%","115","2295",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Frimley Health NHS Foundation Trust","RDU","Other","White & Other","South","Grouped region","Acute","12","%","117","979",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Frimley Health NHS Foundation Trust","RDU","White","White & Other","South","Grouped region","Acute","6","%","152","2526",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Dorset Healthcare University NHS Foundation Trust","RDY","Other","White & Other","South","Grouped region","Mental Health","15","%","18","122",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Dorset Healthcare University NHS Foundation Trust","RDY","White","White & Other","South","Grouped region","Mental Health","4","%","106","2639",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","Other","White & Other","South","Grouped region","Acute","16","%","42","262",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","White","White & Other","South","Grouped region","Acute","5","%","98","1956",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South Tyneside NHS Foundation Trust","RE9","Other","White & Other","North","Grouped region","Acute","12","%","6","50",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South Tyneside NHS Foundation Trust","RE9","White","White & Other","North","Grouped region","Acute","6","%","78","1300",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Cornwall Hospitals NHS Trust","REF","Other","White & Other","South","Grouped region","Acute","12","%","9","74",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Cornwall Hospitals NHS Trust","REF","White","White & Other","South","Grouped region","Acute","7","%","124","1766",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Aintree University Hospital NHS Foundation Trust","REM","Other","White & Other","North","Grouped region","Acute","8","%","11","132",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Aintree University Hospital NHS Foundation Trust","REM","White","White & Other","North","Grouped region","Acute","5","%","82","1642",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Other","White & Other","North","Grouped region","Acute","12","%","3","25",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","White","White & Other","North","Grouped region","Acute","6","%","42","708",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North","Grouped region","Acute","8","%","5","60",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North","Grouped region","Acute","4","%","31","780",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Walton Centre NHS Foundation Trust","RET","Other","White & Other","North","Grouped region","Acute","11","%","6","56",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Walton Centre NHS Foundation Trust","RET","White","White & Other","North","Grouped region","Acute","4","%","27","668",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped region","Acute","19","%","184","970",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped region","Acute","11","%","170","1544",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Barnsley Hospital NHS Foundation Trust","RFF","Other","White & Other","North","Grouped region","Acute","13","%","10","79",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Barnsley Hospital NHS Foundation Trust","RFF","White","White & Other","North","Grouped region","Acute","6","%","79","1315",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Rotherham NHS Foundation Trust","RFR","Other","White & Other","North","Grouped region","Acute","12","%","11","93",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Rotherham NHS Foundation Trust","RFR","White","White & Other","North","Grouped region","Acute","6","%","86","1432",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Other","White & Other","Midlands","Grouped region","Acute","7","%","9","127",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Chesterfield Royal Hospital NHS Foundation Trust","RFS","White","White & Other","Midlands","Grouped region","Acute","4","%","99","2468",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North","Grouped region","Mental Health","9","%","15","162",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North","Grouped region","Mental Health","5","%","59","1174",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","Midlands","Grouped region","Acute","20","%","27","136",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","Midlands","Grouped region","Acute","7","%","55","787",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","Midlands","Grouped region","Acute","17","%","59","346",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North West Anglia NHS Foundation Trust","RGN","White","White & Other","Midlands","Grouped region","Acute","5","%","86","1719",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","Midlands","Grouped region","Acute","17","%","6","36",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","Midlands","Grouped region","Acute","6","%","26","438",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","West Suffolk NHS Foundation Trust","RGR","Other","White & Other","Midlands","Grouped region","Acute","11","%","5","44",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","West Suffolk NHS Foundation Trust","RGR","White","White & Other","Midlands","Grouped region","Acute","7","%","36","516",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","Midlands","Grouped region","Acute","17","%","179","1052",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","Midlands","Grouped region","Acute","8","%","296","3700",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Somerset Partnership NHS Foundation Trust","RH5","Other","White & Other","South","Grouped region","Mental Health","7","%","3","45",""
