"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Lower bound","Upper bound"," Sample size ","Note"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","Other","5+1","England","56.6","43","69.3","79","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","All","5+1","England","72.8","71.1","74.5","7715","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","White","White & other","England","71.9","71.2","72.6","24038","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","Other","White & other","England","50.7","48.8","52.5","4047","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","All","White & other","England","69.9","69.2","70.5","28117","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2006/07","Year","White","White & other","England","71.6","70.8","72.4","21317","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2006/07","Year","Other","White & other","England","48.3","45.8","50.7","2829","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2006/07","Year","All","White & other","England","69.3","68.5","70.1","24174","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2007/08","Year","White","White & other","England","73","72.2","73.9","22794","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2007/08","Year","Other","White & other","England","54.1","51.4","56.7","2880","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2007/08","Year","All","White & other","England","71.1","70.3","71.9","25720","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2008/09","Year","White","White & other","England","70.5","69.3","71.7","12979","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2008/09","Year","Other","White & other","England","50.2","46.6","53.7","1451","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2008/09","Year","All","White & other","England","68.5","67.5","69.5","14452","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2009/10","Year","White","White & other","England","71.5","69.1","73.8","5455","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2009/10","Year","Other","White & other","England","50.5","43","58","630","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2009/10","Year","All","White & other","England","70.4","68","72.8","6097","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","White","White & other","England","72.7","71.6","73.8","12617","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","Other","White & other","England","54.3","51","57.5","1457","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","All","White & other","England","70.7","69.7","71.6","14102","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2011/12","Year","White","White & other","England","75.9","74.7","77.1","8301","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2011/12","Year","Other","White & other","England","61.4","56.6","66.2","871","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2011/12","Year","All","White & other","England","74.3","73.1","75.4","9188","Taking Part Survey"
