"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Note"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","10","4,457",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","16","321",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","92","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","27","791",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","22","247",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","47","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","8","14,719",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","7","12,335",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","7","11,632",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","7","703",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","12","179",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","12","1,220",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","11","453",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","..","78","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","12","6,326",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","12","5,907",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","12","5,653",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","9","254",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","25","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","14","143",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","94","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","18","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","27,159",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","23,020",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","21,742",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","1,278",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","21","296",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","2,154",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","24","794",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","143",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","23","6,114",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","21","4,778",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","21","4,457",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","20","321",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","92","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","41","791",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","32","247",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","47","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","13","14,719",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","13","12,335",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","13","11,632",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","11","703",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","17","179",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","20","1,220",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","19","453",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","..","78","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","21","6,326",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","22","5,907",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","22","5,653",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","20","254",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","25","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","22","143",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","94","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","18","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","27,159",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","23,020",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","21,742",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","1,278",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","22","296",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","22","2,154",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","794",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","143",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","19","6,114",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","17","4,778",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","17","4,457",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","23","321",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","92","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","33","791",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","31","247",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","47","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","11","14,719",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","10","12,335",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","10","11,632",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","10","703",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","20","179",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","17","1,220",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","21","453",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","..","78","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","11","6,326",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","11","5,907",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","10","5,653",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","15","254",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","25","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","12","143",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","94","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","18","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","20","27,159",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","23,020",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","21,742",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","1,278",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","296",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","2,154",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","794",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","42","143",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","29","6,114",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","27","4,778",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","27","4,457",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","29","321",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","92","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","48","791",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","40","247",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","47","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","17","14,719",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","16","12,335",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","16","11,632",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","15","703",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","24","179",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","28","1,220",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","30","453",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","..","78","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","19","6,326",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","19","5,907",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","19","5,653",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","19","254",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","25","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","18","143",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","94","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","18","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","29,345",""
