"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Upper bound","Lower bound","Number of respondents",""
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","Mixed","ONS 2011 5+1","England","81.4","87.9","72.4","170","15.5"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","Asian","ONS 2011 5+1","England","66.8","72.7","60.3","423","12.4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","Black","ONS 2011 5+1","England","68.7","76.1","60.3","242","15.8"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","Other","ONS 2011 5+1","England","?","?","?","27","#VALUE!"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","All","ONS 2011 5+1","England","77.4","78.8","76","9,352","2.8"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","White","ONS 2011 5+1","England","80.1","81.5","78.7","6854","2.8"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","Mixed","ONS 2011 5+1","England","86.8","91.8","79.4","144","12.4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","Asian","ONS 2011 5+1","England","64.4","70.8","57.4","397","13.4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","Black","ONS 2011 5+1","England","74","80.5","66.2","203","14.3"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","Other","ONS 2011 5+1","England","72.5","82.8","59.1","79","23.7"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","All","ONS 2011 5+1","England","78.9","80.4","77.4","7,715","3"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2005/06","Year","White","White & other","England","77","77.7","76.3","24,038","1.4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2005/06","Year","Other","White & other","England","69.9","71.8","68","4,047","3.8"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2005/06","Year","All","White & other","England","76.3","77","75.6","28,117","1.4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2006/07","Year","White","White & other","England","76.8","77.5","76","21,317","1.5"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2006/07","Year","Other","White & other","England","68.1","70.4","65.8","2,829","4.6"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2006/07","Year","All","White & other","England","75.9","76.7","75.2","24,174","1.5"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2007/08","Year","White","White & other","England","77.4","78.1","76.7","22,794","1.4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2007/08","Year","Other","White & other","England","71.2","73.3","69","2,880","4.3"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2007/08","Year","All","White & other","England","76.8","77.5","76.1","25,720","1.4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2008/09","Year","White","White & other","England","76.6","77.7","75.5","12,979","2.2"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2008/09","Year","Other","White & other","England","67.4","70.7","64.2","1,451","6.5"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2008/09","Year","All","White & other","England","75.7","76.7","74.7","14,452","2"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2009/10","Year","White","White & other","England","77","79","75","5,455","4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2009/10","Year","Other","White & other","England","65.8","72.8","58.8","630","14"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2009/10","Year","All","White & other","England","75.7","77.7","73.7","6,097","4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2010/11","Year","White","White & other","England","77.4","78.3","76.5","12,617","1.8"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2010/11","Year","Other","White & other","England","66.9","69.9","63.9","1,457","6"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2010/11","Year","All","White & other","England","76.2","77.1","75.4","14,102","1.7"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2011/12","Year","White","White & other","England","79.1","80.2","78","8,301","2.2"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2011/12","Year","Other","White & other","England","70.5","75","65.9","871","9.1"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2011/12","Year","All","White & other","England","78.2","79.2","77.1","9,188","2.1"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2018/19","Year","White","ONS 2011 5+1","England","79.3","80.7","77.8","7,239","2.9"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2018/19","Year","Mixed","ONS 2011 5+1","England","88.7","93.1","81.9","121","11.2"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2018/19","Year","Asian","ONS 2011 5+1","England","59.7","65.2","53.9","487","11.3"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2018/19","Year","Black","ONS 2011 5+1","England","68.5","75.9","59.9","226","16"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2018/19","Year","Other","ONS 2011 5+1","England","66.5","80.4","49.1","46","31.3"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2018/19","Year","All","ONS 2011 5+1","England","77.4","78.9","75.8","8,161","3.1"
