"Measure","Measure_type","Ethnicity","Ethnicity_Type","Time","Time_Type","Value","numerator","denominator","supression"
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other","ONS 2011 5+1","DEC17","Quarter","1.1","4500","392200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other than White","White and other","DEC17","Quarter","12.3","48200","392200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Unknown","ONS 2011 5+1","DEC17","Quarter","2","7700","392200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","White","ONS 2011 5+1","DEC17","Quarter","85.8","336400","392200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","All","All","MAR18","Quarter","100","415000","415000",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Asian","ONS 2011 5+1","MAR18","Quarter","3.5","14300","415000",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Black","ONS 2011 5+1","MAR18","Quarter","4.7","19600","415000",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Mixed","ONS 2011 5+1","MAR18","Quarter","2.9","12100","415000",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other","ONS 2011 5+1","MAR18","Quarter","1.2","4900","415000",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other than White","White and other","MAR18","Quarter","12.3","50900","415000",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Unknown","ONS 2011 5+1","MAR18","Quarter","2.2","8900","415000",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","White","ONS 2011 5+1","MAR18","Quarter","85.6","355100","415000",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","All","All","JUN18","Quarter","100","433700","433700",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Asian","ONS 2011 5+1","JUN18","Quarter","3.4","15000","433700",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Black","ONS 2011 5+1","JUN18","Quarter","4.7","20600","433700",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Mixed","ONS 2011 5+1","JUN18","Quarter","2.9","12700","433700",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other","ONS 2011 5+1","JUN18","Quarter","1.2","5200","433700",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other than White","White and other","JUN18","Quarter","12.3","53400","433700",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Unknown","ONS 2011 5+1","JUN18","Quarter","1.9","8200","433700",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","White","ONS 2011 5+1","JUN18","Quarter","85.8","372100","433700",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","All","All","SEP18","Quarter","100","451200","451200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Asian","ONS 2011 5+1","SEP18","Quarter","3.4","15500","451200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Black","ONS 2011 5+1","SEP18","Quarter","4.8","21400","451200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Mixed","ONS 2011 5+1","SEP18","Quarter","2.9","13300","451200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other","ONS 2011 5+1","SEP18","Quarter","1.2","5500","451200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other than White","White and other","SEP18","Quarter","12.4","55800","451200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Unknown","ONS 2011 5+1","SEP18","Quarter","1.9","8400","451200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","White","ONS 2011 5+1","SEP18","Quarter","85.8","387000","451200",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","All","All","DEC18","Quarter","100","463300","463300",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Asian","ONS 2011 5+1","DEC18","Quarter","3.4","16000","463300",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Black","ONS 2011 5+1","DEC18","Quarter","4.8","22200","463300",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Mixed","ONS 2011 5+1","DEC18","Quarter","3","13700","463300",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other","ONS 2011 5+1","DEC18","Quarter","1.3","5800","463300",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Other than White","White and other","DEC18","Quarter","12.5","57700","463300",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","Unknown","ONS 2011 5+1","DEC18","Quarter","1.9","8800","463300",""
"CMS caseload by receiving parent ethnicity","Percentage of receiving parents","White","ONS 2011 5+1","DEC18","Quarter","85.6","396800","463300",""
