"Ethnicity","Local authority","Score","Pupils"
"All","Manchester","43.4","4,574"
"All","Medway","45.7","2,910"
"All","Merton","50.2","1,420"
"All","Middlesbrough","43.2","1,386"
"All","Milton Keynes","44.9","2,841"
"All","Newcastle upon Tyne","43.3","2,362"
"All","Newham","48.4","3,523"
"All","Norfolk","45.0","7,864"
"All","North East Lincolnshire","43.8","1,592"
"All","North Lincolnshire","44.8","1,749"
"All","North Somerset","46.0","2,086"
"All","North Tyneside","47.0","1,959"
"All","North Yorkshire","49.6","5,904"
"All","Northamptonshire","44.7","7,287"
"All","Northumberland","44.7","3,145"
"All","Nottingham","40.3","2,505"
"All","Nottinghamshire","47.8","7,511"
"All","Oldham","43.6","2,918"
"All","Oxfordshire","47.6","5,945"
"All","Peterborough","42.1","2,237"
"All","Plymouth","44.5","2,515"
"All","Poole","51.5","1,341"
"All","Portsmouth","42.3","1,627"
"All","Reading","49.6","1,134"
"All","Redbridge","51.2","3,458"
"All","Redcar and Cleveland","44.0","1,584"
"All","Richmond upon Thames","52.7","1,374"
"All","Rochdale","42.5","2,238"
"All","Rotherham","45.0","3,028"
"All","Rutland","52.2","473"
"All","Salford","41.7","2,057"
"All","Sandwell","42.4","3,564"
"All","Sefton","44.9","3,013"
"All","Sheffield","44.6","5,090"
"All","Shropshire","46.4","2,777"
"All","Slough","52.2","1,648"
"All","Solihull","47.1","2,917"
"All","Somerset","45.7","4,837"
"All","South Gloucestershire","43.7","2,586"
"All","South Tyneside","43.0","1,500"
"All","Southampton","44.2","1,845"
"All","Southend-on-Sea","50.4","2,103"
"All","Southwark","50.5","2,328"
"All","St. Helens","43.8","1,693"
"All","Staffordshire","44.9","8,414"
"All","Stockport","48.2","2,649"
"All","Stockton-on-Tees","45.6","1,913"
"All","Stoke-on-Trent","43.3","2,198"
"All","Suffolk","44.7","6,718"
"All","Sunderland","43.8","2,769"
"All","Surrey","50.0","10,067"
"All","Sutton","56.2","2,759"
"All","Swindon","42.9","2,038"
"All","Tameside","44.8","2,407"
"All","Telford and Wrekin","46.4","1,835"
"All","Thurrock","44.4","1,633"
"All","Torbay","49.3","1,316"
"All","Tower Hamlets","47.2","2,623"
"All","Trafford","55.6","2,715"
"All","Wakefield","45.5","3,402"
"All","Walsall","43.2","3,169"
"All","Waltham Forest","45.5","2,486"
"All","Wandsworth","49.5","1,695"
"All","Warrington","47.0","2,277"
"All","Warwickshire","49.0","5,489"
"All","West Berkshire","47.4","1,790"
"All","West Sussex","46.8","7,782"
"All","Westminster","52.6","1,535"
"All","Wigan","46.2","3,337"
"All","Wiltshire","46.6","4,732"
"All","Windsor and Maidenhead","49.4","1,547"
"All","Wirral","48.1","3,349"
"All","Wokingham","51.7","1,642"
"All","Wolverhampton","45.0","2,505"
"All","Worcestershire","46.4","5,348"
"All","York","49.3","1,608"
"Asian","Barking and Dagenham","53.0","428"
"Asian","Barnet","64.3","539"
"Asian","Barnsley","!","!"
"Asian","Bath and North East Somerset","56.3","33"
"Asian","Bedford","45.4","266"
"Asian","Bexley","60.4","203"
"Asian","Birmingham","47.2","4,710"
"Asian","Blackburn with Darwen","50.3","764"
"Asian","Blackpool","53.6","21"
"Asian","Bolton","48.6","659"
"Asian","Bournemouth","55.7","35"
"Asian","Bracknell Forest","51.1","52"
"Asian","Bradford","43.0","2,598"
"Asian","Brent","51.9","894"
"Asian","Brighton and Hove","49.2","60"
"Asian","Bristol, City of","46.8","229"
"Asian","Bromley","60.8","182"
"Asian","Buckinghamshire","53.7","979"
"Asian","Bury","46.9","262"
"Asian","Calderdale","49.1","359"
"Asian","Cambridgeshire","50.7","169"
"Asian","Camden","46.4","277"
"Asian","Central Bedfordshire","53.7","54"
"Asian","Cheshire East","53.9","56"
"Asian","Cheshire West and Chester","43.9","41"
"Asian","City of London","N/A","N/A"
"Asian","Cornwall","45.4","21"
"Asian","County Durham","51.1","28"
"Asian","Coventry","48.6","635"
"Asian","Croydon","51.5","462"
"Asian","Cumbria","52.2","21"
"Asian","Darlington","!","23"
"Asian","Derby","46.6","479"
"Asian","Derbyshire","44.0","54"
"Asian","Devon","55.8","32"
"Asian","Doncaster","51.0","86"
"Asian","Dorset","49.1","30"
"Asian","Dudley","43.2","318"
"Asian","Ealing","50.9","808"
"Asian","East Riding of Yorkshire","!","12"
"Asian","East Sussex","52.5","82"
"Asian","Enfield","56.5","277"
"Asian","Essex","61.2","348"
"Asian","Gateshead","52.1","45"
"Asian","Gloucestershire","56.0","162"
"Asian","Greenwich","50.5","188"
"Asian","Hackney","50.1","270"
"Asian","Halton","59.8","3"
"Asian","Hammersmith and Fulham","52.4","102"
"Asian","Hampshire","52.3","332"
"Asian","Haringey","49.0","139"
"Asian","Harrow","54.1","898"
"Asian","Hartlepool","!","23"
"Asian","Havering","52.4","106"
"Asian","Herefordshire, County of","62.1","7"
"Asian","Hertfordshire","55.6","851"
"Asian","Hillingdon","53.1","659"
"Asian","Hounslow","54.2","746"
"Asian","Isle of Wight","54.5","5"
"Asian","Isles of Scilly","N/A","0"
"Asian","Islington","49.2","163"
"Asian","Kensington and Chelsea","55.4","18"
"Asian","Kent","57.6","566"
"Asian","Kingston upon Hull, City of","56.0","43"
"Asian","Kingston upon Thames","62.0","333"
"Asian","Kirklees","45.0","1,233"
"Asian","Knowsley","38.4","5"
"Asian","Lambeth","48.8","76"
"Asian","Lancashire","46.8","1,238"
"Asian","Leeds","43.9","921"
"Asian","Leicester","47.3","1,526"
"Asian","Leicestershire","54.9","497"
"Asian","Lewisham","44.2","132"
"Asian","Lincolnshire","61.4","93"
"Asian","Liverpool","53.9","131"
"Asian","Luton","46.5","1,040"
"Asian","Manchester","48.4","1,056"
"Asian","Medway","57.0","134"
"Asian","Merton","52.7","230"
"Asian","Middlesbrough","52.7","182"
"Asian","Milton Keynes","49.5","248"
"Asian","Newcastle upon Tyne","49.1","238"
"Asian","Newham","52.4","1,618"
"Asian","Norfolk","54.3","72"
"Asian","North East Lincolnshire","!","!"
"Asian","North Lincolnshire","48.9","66"
"Asian","North Somerset","54.9","21"
"Asian","North Tyneside","49.6","34"
"Asian","North Yorkshire","58.5","94"
"Asian","Northamptonshire","50.5","304"
"Asian","Northumberland","46.8","39"
"Asian","Nottingham","46.4","436"
"Asian","Nottinghamshire","55.7","166"
"Asian","Oldham","44.3","869"
"Asian","Oxfordshire","46.3","310"
"Asian","Peterborough","44.1","388"
"Asian","Plymouth","52.6","22"
"Asian","Poole","60.2","31"
"Asian","Portsmouth","56.2","82"
"Asian","Reading","56.5","222"
"Asian","Redbridge","55.3","1,792"
"Asian","Redcar and Cleveland","52.3","17"
"Asian","Richmond upon Thames","51.8","90"
"Asian","Rochdale","44.0","563"
"Asian","Rotherham","44.7","213"
"Asian","Rutland","62.1","4"
"Asian","Salford","!","!"
"Asian","Sandwell","44.8","993"
"Asian","Sefton","54.2","26"
"Asian","Sheffield","46.9","501"
"Asian","Shropshire","49.6","34"
"Asian","Slough","55.3","839"
"Asian","Solihull","52.6","331"
"Asian","Somerset","56.3","45"
"Asian","South Gloucestershire","49.3","72"
"Asian","South Tyneside","48.2","53"
"Asian","Southampton","50.9","191"
"Asian","Southend-on-Sea","59.9","127"
"Asian","Southwark","54.2","142"
"Asian","St. Helens","!","!"
"Asian","Staffordshire","47.1","265"
"Asian","Stockport","51.1","173"
"Asian","Stockton-on-Tees","48.0","99"
"Asian","Stoke-on-Trent","44.9","322"
"Asian","Suffolk","52.4","93"
"Asian","Sunderland","50.0","121"
"Asian","Surrey","54.0","592"
"Asian","Sutton","68.7","551"
"Asian","Swindon","43.4","201"
"Asian","Tameside","48.9","283"
"Asian","Telford and Wrekin","48.6","100"
"Asian","Thurrock","53.7","49"
"Asian","Torbay","!","13"
"Asian","Tower Hamlets","49.9","1,769"
"Asian","Trafford","60.4","327"
"Asian","Wakefield","49.3","89"
"Asian","Walsall","47.6","649"
"Asian","Waltham Forest","47.9","681"
"Asian","Wandsworth","49.4","353"
"Asian","Warrington","55.6","42"
"Asian","Warwickshire","56.9","278"
"Asian","West Berkshire","53.5","46"
"Asian","West Sussex","49.5","329"
"Asian","Westminster","54.7","186"
"Asian","Wigan","48.8","34"
"Asian","Wiltshire","60.4","68"
"Asian","Windsor and Maidenhead","49.3","212"
"Asian","Wirral","61.1","62"
"Asian","Wokingham","53.8","182"
"Asian","Wolverhampton","52.1","601"
"Asian","Worcestershire","48.0","176"
"Asian","York","57.0","30"
"Black","Barking and Dagenham","47.4","601"
"Black","Barnet","47.6","478"
"Black","Barnsley","49.3","9"
"Black","Bath and North East Somerset","37.0","22"
"Black","Bedford","42.1","88"
"Black","Bexley","54.9","567"
"Black","Birmingham","43.5","1,453"
"Black","Blackburn with Darwen","39.3","20"
"Black","Blackpool","18.8","3"
"Black","Bolton","40.6","145"
"Black","Bournemouth","44.7","19"
"Black","Bracknell Forest","!","!"
"Black","Bradford","43.7","79"
"Black","Brent","42.4","698"
"Black","Brighton and Hove","45.5","43"
"Black","Bristol, City of","39.4","326"
"Black","Bromley","51.1","296"
"Black","Buckinghamshire","47.9","171"
"Black","Bury","35.8","35"
"Black","Calderdale","46.4","26"
"Black","Cambridgeshire","40.0","54"
"Black","Camden","44.9","318"
"Black","Central Bedfordshire","39.7","53"
"Black","Cheshire East","47.7","12"
"Black","Cheshire West and Chester","48.4","10"
"Black","City of London","N/A","N/A"
"Black","Cornwall","!","!"
"Black","County Durham","45.2","5"
"Black","Coventry","43.8","305"
"Black","Croydon","43.0","1,031"
"Black","Cumbria","49.3","10"
"Black","Darlington","!","!"
"Black","Derby","!","87"
"Black","Derbyshire","!","!"
"Black","Devon","25.2","5"
"Black","Doncaster","50.7","41"
"Black","Dorset","44.3","3"
"Black","Dudley","43.2","90"
"Black","Ealing","44.0","543"
"Black","East Riding of Yorkshire","53.1","8"
"Black","East Sussex","39.3","39"
"Black","Enfield","44.2","854"
"Black","Essex","50.3","398"
"Black","Gateshead","40.1","10"
"Black","Gloucestershire","40.7","77"
"Black","Greenwich","46.2","637"
"Black","Hackney","46.9","750"
"Black","Halton","!","!"
"Black","Hammersmith and Fulham","43.1","341"
"Black","Hampshire","44.1","89"
"Black","Haringey","42.1","581"
"Black","Harrow","41.8","329"
"Black","Hartlepool","45.6","4"
"Black","Havering","50.8","340"
"Black","Herefordshire, County of","38.3","4"
"Black","Hertfordshire","46.6","468"
"Black","Hillingdon","43.9","350"
"Black","Hounslow","46.4","353"
"Black","Isle of Wight","!","!"
"Black","Isles of Scilly","N/A","0"
"Black","Islington","43.6","387"
"Black","Kensington and Chelsea","50.1","126"
"Black","Kent","52.7","345"
"Black","Kingston upon Hull, City of","49.2","32"
"Black","Kingston upon Thames","45.5","40"
"Black","Kirklees","40.9","92"
"Black","Knowsley","!","!"
"Black","Lambeth","41.9","990"
"Black","Lancashire","39.7","29"
"Black","Leeds","45.0","417"
"Black","Leicester","41.0","357"
"Black","Leicestershire","43.9","55"
"Black","Lewisham","42.3","952"
"Black","Lincolnshire","45.4","43"
"Black","Liverpool","43.7","158"
"Black","Luton","42.3","267"
"Black","Manchester","43.2","741"
"Black","Medway","51.5","159"
"Black","Merton","46.8","280"
"Black","Middlesbrough","!","!"
"Black","Milton Keynes","44.6","352"
"Black","Newcastle upon Tyne","40.4","77"
"Black","Newham","45.3","863"
"Black","Norfolk","44.3","72"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","!","!"
"Black","North Somerset","45.5","12"
"Black","North Tyneside","33.9","9"
"Black","North Yorkshire","49.4","16"
"Black","Northamptonshire","45.4","303"
"Black","Northumberland","49.8","4"
"Black","Nottingham","40.6","277"
"Black","Nottinghamshire","45.5","112"
"Black","Oldham","43.2","45"
"Black","Oxfordshire","45.2","114"
"Black","Peterborough","43.6","73"
"Black","Plymouth","40.9","18"
"Black","Poole","49.0","12"
"Black","Portsmouth","48.0","43"
"Black","Reading","41.7","105"
"Black","Redbridge","44.8","463"
"Black","Redcar and Cleveland","!","!"
"Black","Richmond upon Thames","39.2","61"
"Black","Rochdale","40.8","83"
"Black","Rotherham","49.1","43"
"Black","Rutland","!","!"
"Black","Salford","!","97"
"Black","Sandwell","40.2","309"
"Black","Sefton","41.5","17"
"Black","Sheffield","42.9","210"
"Black","Shropshire","55.7","5"
"Black","Slough","!","!"
"Black","Solihull","45.9","63"
"Black","Somerset","39.8","18"
"Black","South Gloucestershire","45.2","36"
"Black","South Tyneside","44.9","4"
"Black","Southampton","43.0","42"
"Black","Southend-on-Sea","60.4","128"
"Black","Southwark","48.6","1,056"
"Black","St. Helens","!","!"
"Black","Staffordshire","41.5","40"
"Black","Stockport","47.1","41"
"Black","Stockton-on-Tees","!","!"
"Black","Stoke-on-Trent","46.0","36"
"Black","Suffolk","38.0","50"
"Black","Sunderland","48.7","11"
"Black","Surrey","48.5","197"
"Black","Sutton","53.5","226"
"Black","Swindon","48.7","39"
"Black","Tameside","41.2","37"
"Black","Telford and Wrekin","47.3","43"
"Black","Thurrock","48.9","180"
"Black","Torbay","!","!"
"Black","Tower Hamlets","46.7","306"
"Black","Trafford","53.7","80"
"Black","Wakefield","41.2","41"
"Black","Walsall","43.6","132"
"Black","Waltham Forest","42.0","567"
"Black","Wandsworth","45.0","464"
"Black","Warrington","40.4","5"
"Black","Warwickshire","46.3","43"
"Black","West Berkshire","40.4","29"
"Black","West Sussex","39.6","97"
"Black","Westminster","49.6","351"
"Black","Wigan","48.3","25"
"Black","Wiltshire","44.0","32"
"Black","Windsor and Maidenhead","49.4","27"
"Black","Wirral","50.4","12"
"Black","Wokingham","46.1","59"
"Black","Wolverhampton","44.5","244"
"Black","Worcestershire","39.9","29"
"Black","York","51.6","8"
"Chinese","Barking and Dagenham","48.0","3"
"Chinese","Barnet","69.1","55"
"Chinese","Barnsley","!","!"
"Chinese","Bath and North East Somerset","55.8","5"
"Chinese","Bedford","71.9","5"
"Chinese","Bexley","60.6","48"
"Chinese","Birmingham","61.6","55"
"Chinese","Blackburn with Darwen","51.6","4"
"Chinese","Blackpool","53.4","4"
"Chinese","Bolton","62.1","6"
"Chinese","Bournemouth","59.1","11"
"Chinese","Bracknell Forest","!","!"
"Chinese","Bradford","57.2","10"
"Chinese","Brent","66.1","4"
"Chinese","Brighton and Hove","69.7","6"
"Chinese","Bristol, City of","52.2","12"
"Chinese","Bromley","69.2","43"
"Chinese","Buckinghamshire","69.9","27"
"Chinese","Bury","57.7","11"
"Chinese","Calderdale","67.8","7"
"Chinese","Cambridgeshire","63.1","32"
"Chinese","Camden","70.9","7"
"Chinese","Central Bedfordshire","60.7","7"
"Chinese","Cheshire East","67.8","12"
"Chinese","Cheshire West and Chester","60.7","8"
"Chinese","City of London","N/A","N/A"
"Chinese","Cornwall","!","!"
"Chinese","County Durham","70.6","12"
"Chinese","Coventry","69.9","9"
"Chinese","Croydon","64.5","10"
"Chinese","Cumbria","63.6","17"
"Chinese","Darlington","!","!"
"Chinese","Derby","!","7"
"Chinese","Derbyshire","!","!"
"Chinese","Devon","51.8","21"
"Chinese","Doncaster","68.1","11"
"Chinese","Dorset","55.0","11"
"Chinese","Dudley","61.4","7"
"Chinese","Ealing","47.9","4"
"Chinese","East Riding of Yorkshire","!","4"
"Chinese","East Sussex","54.9","16"
"Chinese","Enfield","67.6","9"
"Chinese","Essex","65.4","57"
"Chinese","Gateshead","60.9","7"
"Chinese","Gloucestershire","60.7","17"
"Chinese","Greenwich","59.3","19"
"Chinese","Hackney","70.1","9"
"Chinese","Halton","!","!"
"Chinese","Hammersmith and Fulham","70.6","4"
"Chinese","Hampshire","57.3","36"
"Chinese","Haringey","59.8","7"
"Chinese","Harrow","68.5","6"
"Chinese","Hartlepool","N/A","0"
"Chinese","Havering","66.8","7"
"Chinese","Herefordshire, County of","!","!"
"Chinese","Hertfordshire","66.4","68"
"Chinese","Hillingdon","35.4","4"
"Chinese","Hounslow","71.3","7"
"Chinese","Isle of Wight","!","!"
"Chinese","Isles of Scilly","!","!"
"Chinese","Islington","57.2","5"
"Chinese","Kensington and Chelsea","68.3","5"
"Chinese","Kent","68.1","65"
"Chinese","Kingston upon Hull, City of","67.7","5"
"Chinese","Kingston upon Thames","79.6","22"
"Chinese","Kirklees","67.1","8"
"Chinese","Knowsley","!","!"
"Chinese","Lambeth","62.4","23"
"Chinese","Lancashire","64.4","32"
"Chinese","Leeds","61.3","39"
"Chinese","Leicester","!","!"
"Chinese","Leicestershire","61.8","24"
"Chinese","Lewisham","58.4","34"
"Chinese","Lincolnshire","62.8","21"
"Chinese","Liverpool","60.7","48"
"Chinese","Luton","65.4","4"
"Chinese","Manchester","55.4","37"
"Chinese","Medway","63.4","10"
"Chinese","Merton","56.6","7"
"Chinese","Middlesbrough","!","!"
"Chinese","Milton Keynes","63.2","15"
"Chinese","Newcastle upon Tyne","54.4","23"
"Chinese","Newham","63.9","14"
"Chinese","Norfolk","61.8","32"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","!","!"
"Chinese","North Somerset","46.3","5"
"Chinese","North Tyneside","60.7","17"
"Chinese","North Yorkshire","55.0","12"
"Chinese","Northamptonshire","67.8","18"
"Chinese","Northumberland","56.3","6"
"Chinese","Nottingham","57.0","6"
"Chinese","Nottinghamshire","64.7","24"
"Chinese","Oldham","59.7","8"
"Chinese","Oxfordshire","60.3","28"
"Chinese","Peterborough","62.9","8"
"Chinese","Plymouth","64.4","5"
"Chinese","Poole","62.4","4"
"Chinese","Portsmouth","69.7","5"
"Chinese","Reading","80.8","16"
"Chinese","Redbridge","59.7","22"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","Richmond upon Thames","62.3","8"
"Chinese","Rochdale","58.5","3"
"Chinese","Rotherham","44.7","5"
"Chinese","Rutland","!","!"
"Chinese","Salford","!","!"
"Chinese","Sandwell","!","!"
"Chinese","Sefton","58.4","9"
"Chinese","Sheffield","57.1","16"
"Chinese","Shropshire","62.0","6"
"Chinese","Slough","!","!"
"Chinese","Solihull","68.1","10"
"Chinese","Somerset","72.7","9"
"Chinese","South Gloucestershire","62.7","5"
"Chinese","South Tyneside","46.3","3"
"Chinese","Southampton","68.6","5"
"Chinese","Southend-on-Sea","66.1","22"
"Chinese","Southwark","57.3","22"
"Chinese","St. Helens","58.5","5"
"Chinese","Staffordshire","59.0","15"
"Chinese","Stockport","53.8","16"
"Chinese","Stockton-on-Tees","!","!"
"Chinese","Stoke-on-Trent","59.8","8"
"Chinese","Suffolk","63.0","7"
"Chinese","Sunderland","59.8","3"
"Chinese","Surrey","67.1","45"
"Chinese","Sutton","76.4","45"
"Chinese","Swindon","59.8","5"
"Chinese","Tameside","64.8","5"
"Chinese","Telford and Wrekin","64.0","10"
"Chinese","Thurrock","70.9","10"
"Chinese","Torbay","!","!"
"Chinese","Tower Hamlets","51.0","6"
"Chinese","Trafford","69.9","44"
"Chinese","Wakefield","59.1","8"
"Chinese","Walsall","73.0","3"
"Chinese","Waltham Forest","51.1","19"
"Chinese","Wandsworth","65.7","12"
"Chinese","Warrington","51.6","9"
"Chinese","Warwickshire","70.6","11"
"Chinese","West Berkshire","69.9","6"
"Chinese","West Sussex","53.0","18"
"Chinese","Westminster","63.5","18"
"Chinese","Wigan","61.7","9"
"Chinese","Wiltshire","60.2","17"
"Chinese","Windsor and Maidenhead","43.4","9"
"Chinese","Wirral","60.0","22"
"Chinese","Wokingham","69.2","7"
"Chinese","Wolverhampton","46.9","11"
"Chinese","Worcestershire","64.0","11"
"Chinese","York","55.5","7"
"Mixed","Barking and Dagenham","45.6","124"
"Mixed","Barnet","54.9","343"
"Mixed","Barnsley","48.5","30"
"Mixed","Bath and North East Somerset","44.5","72"
"Mixed","Bedford","40.4","144"
"Mixed","Bexley","50.6","185"
"Mixed","Birmingham","45.9","923"
"Mixed","Blackburn with Darwen","44.5","54"
"Mixed","Blackpool","40.0","18"
"Mixed","Bolton","43.3","86"
"Mixed","Bournemouth","48.6","75"
"Mixed","Bracknell Forest","42.9","46"
"Mixed","Bradford","40.3","226"
"Mixed","Brent","45.8","195"
"Mixed","Brighton and Hove","46.3","164"
"Mixed","Bristol, City of","44.8","244"
"Mixed","Bromley","51.4","303"
"Mixed","Buckinghamshire","52.7","305"
"Mixed","Bury","46.2","82"
"Mixed","Calderdale","45.7","69"
"Mixed","Cambridgeshire","50.1","207"
"Mixed","Camden","49.3","191"
"Mixed","Central Bedfordshire","43.0","105"
"Mixed","Cheshire East","48.9","89"
"Mixed","Cheshire West and Chester","50.5","71"
"Mixed","City of London","N/A","N/A"
"Mixed","Cornwall","48.2","98"
"Mixed","County Durham","50.0","46"
"Mixed","Coventry","39.7","171"
"Mixed","Croydon","47.2","503"
"Mixed","Cumbria","53.7","62"
"Mixed","Darlington","!","22"
"Mixed","Derby","39.1","170"
"Mixed","Derbyshire","48.7","133"
"Mixed","Devon","51.5","96"
"Mixed","Doncaster","43.0","69"
"Mixed","Dorset","46.7","77"
"Mixed","Dudley","43.5","190"
"Mixed","Ealing","48.7","231"
"Mixed","East Riding of Yorkshire","49.8","53"
"Mixed","East Sussex","46.8","184"
"Mixed","Enfield","47.7","315"
"Mixed","Essex","48.7","556"
"Mixed","Gateshead","58.7","26"
"Mixed","Gloucestershire","48.4","215"
"Mixed","Greenwich","45.7","216"
"Mixed","Hackney","48.2","153"
"Mixed","Halton","48.0","31"
"Mixed","Hammersmith and Fulham","46.2","137"
"Mixed","Hampshire","48.2","363"
"Mixed","Haringey","47.0","211"
"Mixed","Harrow","49.0","147"
"Mixed","Hartlepool","!","8"
"Mixed","Havering","48.2","132"
"Mixed","Herefordshire, County of","!","!"
"Mixed","Hertfordshire","50.5","736"
"Mixed","Hillingdon","48.6","324"
"Mixed","Hounslow","48.3","184"
"Mixed","Isle of Wight","45.7","30"
"Mixed","Isles of Scilly","!","!"
"Mixed","Islington","44.8","155"
"Mixed","Kensington and Chelsea","54.5","112"
"Mixed","Kent","51.1","615"
"Mixed","Kingston upon Hull, City of","45.5","41"
"Mixed","Kingston upon Thames","54.9","128"
"Mixed","Kirklees","39.3","221"
"Mixed","Knowsley","40.5","17"
"Mixed","Lambeth","43.0","244"
"Mixed","Lancashire","47.2","273"
"Mixed","Leeds","43.9","362"
"Mixed","Leicester","!","!"
"Mixed","Leicestershire","44.2","236"
"Mixed","Lewisham","45.8","285"
"Mixed","Lincolnshire","50.7","165"
"Mixed","Liverpool","46.3","192"
"Mixed","Luton","39.6","150"
"Mixed","Manchester","42.8","328"
"Mixed","Medway","48.4","139"
"Mixed","Merton","51.7","177"
"Mixed","Middlesbrough","!","49"
"Mixed","Milton Keynes","44.3","167"
"Mixed","Newcastle upon Tyne","47.4","60"
"Mixed","Newham","44.6","213"
"Mixed","Norfolk","48.5","167"
"Mixed","North East Lincolnshire","47.5","21"
"Mixed","North Lincolnshire","52.4","29"
"Mixed","North Somerset","50.8","41"
"Mixed","North Tyneside","53.3","33"
"Mixed","North Yorkshire","51.8","99"
"Mixed","Northamptonshire","44.5","349"
"Mixed","Northumberland","50.6","40"
"Mixed","Nottingham","39.1","249"
"Mixed","Nottinghamshire","49.2","277"
"Mixed","Oldham","41.7","115"
"Mixed","Oxfordshire","46.2","320"
"Mixed","Peterborough","41.0","115"
"Mixed","Plymouth","44.6","40"
"Mixed","Poole","55.8","49"
"Mixed","Portsmouth","46.8","49"
"Mixed","Reading","46.6","105"
"Mixed","Redbridge","48.8","243"
"Mixed","Redcar and Cleveland","50.2","22"
"Mixed","Richmond upon Thames","54.0","147"
"Mixed","Rochdale","38.5","77"
"Mixed","Rotherham","47.8","65"
"Mixed","Rutland","!","!"
"Mixed","Salford","44.6","94"
"Mixed","Sandwell","!","!"
"Mixed","Sefton","45.8","43"
"Mixed","Sheffield","41.7","272"
"Mixed","Shropshire","46.9","45"
"Mixed","Slough","50.1","122"
"Mixed","Solihull","45.3","163"
"Mixed","Somerset","47.8","90"
"Mixed","South Gloucestershire","42.8","107"
"Mixed","South Tyneside","47.2","20"
"Mixed","Southampton","47.3","99"
"Mixed","Southend-on-Sea","53.1","87"
"Mixed","Southwark","48.8","264"
"Mixed","St. Helens","47.1","34"
"Mixed","Staffordshire","43.3","186"
"Mixed","Stockport","48.1","105"
"Mixed","Stockton-on-Tees","!","29"
"Mixed","Stoke-on-Trent","42.9","84"
"Mixed","Suffolk","43.6","251"
"Mixed","Sunderland","41.0","26"
"Mixed","Surrey","51.8","467"
"Mixed","Sutton","58.7","228"
"Mixed","Swindon","44.8","79"
"Mixed","Tameside","45.7","68"
"Mixed","Telford and Wrekin","47.6","74"
"Mixed","Thurrock","45.9","83"
"Mixed","Torbay","!","!"
"Mixed","Tower Hamlets","44.5","113"
"Mixed","Trafford","54.9","157"
"Mixed","Wakefield","45.1","61"
"Mixed","Walsall","42.2","159"
"Mixed","Waltham Forest","44.2","235"
"Mixed","Wandsworth","51.3","191"
"Mixed","Warrington","47.5","44"
"Mixed","Warwickshire","50.3","180"
