"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_Type","Geography","Geography_type","ONS_Geography_code","Gender","FSM","Value","Denominator"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","51.1","950"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","49.1","488"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","53.2","462"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","49.2","203"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","44.7","102"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","53.7","101"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","60.3","55"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","56.8","28"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","63.9","27"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","49.8","423"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","46.2","203"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","53.1","220"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","44.7","22747"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","42.2","11619"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","47.3","11128"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","42.3","1016"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Hartlepool","Local authority","E06000001","Boys","All Pupils","38","509"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Hartlepool","Local authority","E06000001","Girls","All Pupils","46.5","507"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","52.1","25"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Boys","All Pupils","48.5","13"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","56","12"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","38.6","4"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","38.6","4"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","45.5","1"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","45.5","1"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","45.6","17"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Boys","All Pupils","38.4","9"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","53.8","8"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","42","966"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Boys","All Pupils","37.8","485"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","46.3","481"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","42.4","1337"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Middlesbrough","Local authority","E06000002","Boys","All Pupils","40","678"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Middlesbrough","Local authority","E06000002","Girls","All Pupils","44.8","659"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","49.5","177"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","48.4","83"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","50.4","94"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","47.4","18"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","36.6","8"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","56.1","10"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","75.3","2"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","75.3","2"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","47.4","44"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","44.5","16"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","49","28"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","41.7","1021"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","39.5","536"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","44.3","485"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","43.6","1517"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","41.2","784"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","46.2","733"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","53","26"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","54.8","16"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","50.1","10"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","68.3","2"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","68.3","2"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","64","3"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","64","3"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","50.5","16"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","49.2","9"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","52.3","7"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","43.3","1459"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","40.6","747"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","46.1","712"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","46.8","1929"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","45.1","1025"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","48.8","904"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","49.7","117"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","49.2","66"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","50.5","51"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","57.9","15"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","52.2","5"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","60.8","10"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","63.3","5"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","56.8","2"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","67.7","3"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","51.1","41"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","45.4","23"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","58.4","18"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","46.4","1739"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","44.7","921"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","48.3","818"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Darlington","Local authority","E06000005","All Pupils","All Pupils","45.8","1097"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Darlington","Local authority","E06000005","Boys","All Pupils","43.4","574"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Darlington","Local authority","E06000005","Girls","All Pupils","48.6","523"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","49.3","32"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","47.7","11"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","50.2","21"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","50.6","5"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","37.3","2"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","59.5","3"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","52.5","4"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","44.5","1"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","55.2","3"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","50.9","32"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","51","13"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","50.7","19"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","45.5","1008"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","43","538"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","48.4","470"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","County Durham","Local authority","E06000047","All Pupils","All Pupils","45","4614"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","County Durham","Local authority","E06000047","Boys","All Pupils","42.2","2361"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","County Durham","Local authority","E06000047","Girls","All Pupils","47.9","2253"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","53.6","32"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","52.8","23"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","55.6","9"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","54.4","11"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","52.7","8"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","58.8","3"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","70.1","6"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","76.8","4"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","56.8","2"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","50.7","49"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","50.7","21"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","50.6","28"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","45.2","4434"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","42.4","2257"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","48.1","2177"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Northumberland","Local authority","E06000057","All Pupils","All Pupils","46.1","3056"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Northumberland","Local authority","E06000057","Boys","All Pupils","43.3","1559"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Northumberland","Local authority","E06000057","Girls","All Pupils","49","1497"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","56","41"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","53.7","20"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Girls","All Pupils","58.2","21"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","42","6"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","30.6","4"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Girls","All Pupils","64.8","2"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","55.5","3"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","55.5","3"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","50.3","39"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","46.1","25"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Girls","All Pupils","57.8","14"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","46.2","2933"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","43.4","1491"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Girls","All Pupils","49.1","1442"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Newcastle upon Tyne","Local authority","E08000021","All Pupils","All Pupils","45.1","2438"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Newcastle upon Tyne","Local authority","E08000021","Boys","All Pupils","43.3","1270"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","Newcastle upon Tyne","Local authority","E08000021","Girls","All Pupils","47","1168"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Newcastle upon Tyne","Local authority","E08000021","All Pupils","All Pupils","49.8","268"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Newcastle upon Tyne","Local authority","E08000021","Boys","All Pupils","45.8","134"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Newcastle upon Tyne","Local authority","E08000021","Girls","All Pupils","53.7","134"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Newcastle upon Tyne","Local authority","E08000021","All Pupils","All Pupils","48.9","91"
