"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Numerator","Denominator","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","63","%","14180","22541","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","45","%","300","667","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","53","%","2606","4881","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","43","%","26830","62613","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","67","%","266855","396294","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","43","%","25154","58370","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","68","%","243388","357757","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","15","%","114","757","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","19","%","268","1403","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","40","%","101","254","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","75","%","1080","1436","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","20","%","64","325","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","29","%","42","147","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","48","%","1397","2907","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","62","%","22077","35551","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","64","%","398904","619350","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","61","%","191756","316583","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","68","%","207148","302767","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","68","%","46328","67860","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","65","%","22609","34819","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","72","%","23719","33041","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","72","%","8174","11375","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","69","%","4036","5888","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","75","%","4138","5487","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","69","%","7556","10962","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","66","%","3684","5623","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","73","%","3872","5339","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","63","%","23597","37360","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","58","%","10976","18773","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","68","%","12621","18587","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","66","%","16585","25205","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","62","%","7772","12602","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","70","%","8813","12603","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","55","%","3987","7216","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","49","%","1801","3647","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","61","%","2186","3569","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","61","%","3025","4939","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","56","%","1403","2524","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","67","%","1622","2415","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","81","%","2067","2543","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","78","%","983","1264","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","85","%","1084","1279","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","76","%","13883","18165","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","73","%","6849","9376","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","80","%","7034","8789","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","66","%","23272","35485","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","62","%","11161","18057","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","69","%","12111","17428","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","68","%","8716","12820","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","65","%","4260","6600","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","72","%","4456","6220","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","72","%","5988","8307","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","69","%","2899","4208","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","75","%","3089","4099","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","65","%","3134","4794","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","61","%","1517","2475","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","70","%","1617","2319","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","57","%","5434","9564","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","52","%","2485","4774","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","62","%","2949","4790","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","61","%","7049","11647","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","57","%","3422","5985","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","64","%","3627","5662","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","61","%","16715","27358","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","58","%","8040","13932","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","65","%","8675","13426","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","52","%","2906","5548","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","49","%","1376","2833","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","56","%","1530","2715","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","64","%","293685","458907","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","60","%","141229","234852","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","68","%","152456","224055","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","65","%","268542","416127","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","61","%","129143","212969","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","69","%","139399","203158","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","18","%","382","2160","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","15","%","163","1071","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","20","%","219","1089","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","70","%","1181","1690","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","65","%","554","852","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","75","%","627","838","",""
