"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Numerator","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cheshire West and Chester","Country","E06000050","All","10-11","64","%","2422","3808"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","City of London","Country","E09000001","All","10-11","72","%","21","29"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cornwall","Country","E06000052","All","10-11","61","%","3524","5779"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","County Durham","Country","E06000047","All","10-11","68","%","3766","5559"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Coventry","Country","E08000026","All","10-11","62","%","2583","4179"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Croydon","Country","E09000008","All","10-11","67","%","3006","4460"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cumbria","Country","E10000006","All","10-11","65","%","3318","5122"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Darlington","Country","E06000005","All","10-11","65","%","800","1231"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Derby","Country","E06000015","All","10-11","60","%","1942","3216"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Derbyshire","Country","E10000007","All","10-11","64","%","5257","8222"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Devon","Country","E10000008","All","10-11","64","%","4999","7789"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Doncaster","Country","E08000017","All","10-11","60","%","2114","3506"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Dorset","Country","E10000009","All","10-11","60","%","2586","4323"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Dudley","Country","E08000027","All","10-11","58","%","2108","3659"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Ealing","Country","E09000009","All","10-11","68","%","2789","4098"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","East Riding of Yorkshire","Country","E06000011","All","10-11","64","%","2280","3549"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","East Sussex","Country","E10000011","All","10-11","64","%","3411","5326"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Enfield","Country","E09000010","All","10-11","65","%","2864","4436"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Essex","Country","E10000012","All","10-11","66","%","10557","16111"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Gateshead","Country","E08000037","All","10-11","71","%","1479","2085"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Gloucestershire","Country","E10000013","All","10-11","63","%","4100","6460"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Greenwich","Country","E09000011","All","10-11","70","%","2282","3247"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hackney","Country","E09000012","All","10-11","71","%","1782","2516"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Halton","Country","E06000006","All","10-11","63","%","927","1467"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hammersmith and Fulham","Country","E09000013","All","10-11","74","%","995","1340"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hampshire","Country","E10000014","All","10-11","68","%","9850","14458"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Haringey","Country","E09000014","All","10-11","66","%","2035","3071"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Harrow","Country","E09000015","All","10-11","73","%","2012","2753"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hartlepool","Country","E06000001","All","10-11","67","%","754","1133"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Havering","Country","E09000016","All","10-11","70","%","2080","2961"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Herefordshire, County of","Country","E06000019","All","10-11","68","%","1279","1881"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hertfordshire","Country","E10000015","All","10-11","67","%","9084","13616"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hillingdon","Country","E09000017","All","10-11","66","%","2434","3665"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hounslow","Country","E09000018","All","10-11","70","%","2065","2957"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Isle of Wight","Country","E06000046","All","10-11","54","%","717","1318"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Isles of Scilly","Country","E06000053","All","10-11","56","%","19","34"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Islington","Country","E09000019","All","10-11","69","%","1280","1862"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kensington and Chelsea","Country","E09000020","All","10-11","76","%","728","960"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kent","Country","E10000016","All","10-11","67","%","11557","17319"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kingston upon Hull, City of","Country","E06000010","All","10-11","67","%","2093","3119"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kingston upon Thames","Country","E09000021","All","10-11","71","%","1265","1789"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kirklees","Country","E08000034","All","10-11","62","%","3251","5281"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Knowsley","Country","E08000011","All","10-11","62","%","1058","1720"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Lambeth","Country","E09000022","All","10-11","70","%","2075","2962"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Lancashire","Country","E10000017","All","10-11","65","%","8830","13624"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Leeds","Country","E08000035","All","10-11","61","%","5457","8917"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Leicester","Country","E06000016","All","10-11","62","%","2788","4479"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Leicestershire","Country","E10000018","All","10-11","66","%","4940","7535"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Lewisham","Country","E09000023","All","10-11","69","%","2317","3372"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Lincolnshire","Country","E10000019","All","10-11","60","%","4620","7698"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Liverpool","Country","E08000012","All","10-11","62","%","3038","4916"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Luton","Country","E06000032","All","10-11","59","%","1830","3090"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Manchester","Country","E08000003","All","10-11","62","%","4097","6583"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Medway","Country","E06000035","All","10-11","63","%","2042","3246"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Merton","Country","E09000024","All","10-11","69","%","1595","2308"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Middlesbrough","Country","E06000002","All","10-11","64","%","1147","1794"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Milton Keynes","Country","E06000042","All","10-11","65","%","2281","3526"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Newcastle upon Tyne","Country","E08000021","All","10-11","70","%","1932","2777"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Newham","Country","E09000025","All","10-11","76","%","3483","4594"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Norfolk","Country","E10000020","All","10-11","59","%","5222","8787"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North East Lincolnshire","Country","E06000012","All","10-11","65","%","1241","1896"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North Lincolnshire","Country","E06000013","All","10-11","65","%","1278","1953"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North Somerset","Country","E06000024","All","10-11","64","%","1529","2384"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North Tyneside","Country","E08000022","All","10-11","68","%","1520","2228"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North Yorkshire","Country","E10000023","All","10-11","62","%","3634","5849"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Northamptonshire","Country","E10000021","All","10-11","61","%","5488","9000"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Northumberland","Country","E06000057","All","10-11","65","%","2162","3347"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Nottingham","Country","E06000018","All","10-11","62","%","2141","3455"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Nottinghamshire","Country","E10000024","All","10-11","65","%","5889","9096"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Oldham","Country","E08000004","All","10-11","63","%","2103","3350"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Oxfordshire","Country","E10000025","All","10-11","63","%","4472","7062"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Peterborough","Country","E06000031","All","10-11","54","%","1497","2771"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Plymouth","Country","E06000026","All","10-11","63","%","1801","2879"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Poole","Country","E06000029","All","10-11","61","%","860","1407"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Portsmouth","Country","E06000044","All","10-11","57","%","1209","2132"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Reading","Country","E06000038","All","10-11","60","%","984","1637"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Redbridge","Country","E09000026","All","10-11","71","%","2774","3896"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Redcar and Cleveland","Country","E06000003","All","10-11","71","%","1123","1589"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Richmond upon Thames","Country","E09000027","All","10-11","81","%","1717","2130"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Rochdale","Country","E08000005","All","10-11","60","%","1753","2901"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Rotherham","Country","E08000018","All","10-11","62","%","2005","3244"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Rutland","Country","E06000017","All","10-11","66","%","260","395"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Salford","Country","E08000006","All","10-11","65","%","1858","2847"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sandwell","Country","E08000028","All","10-11","61","%","2624","4318"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sefton","Country","E08000014","All","10-11","67","%","1943","2908"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sheffield","Country","E08000019","All","10-11","62","%","3797","6090"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Shropshire","Country","E06000051","All","10-11","63","%","1864","2941"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Slough","Country","E06000039","All","10-11","69","%","1557","2271"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Solihull","Country","E08000029","All","10-11","66","%","1753","2661"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Somerset","Country","E10000027","All","10-11","62","%","3452","5589"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","South Gloucestershire","Country","E06000025","All","10-11","63","%","1981","3120"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","South Tyneside","Country","E08000023","All","10-11","68","%","1094","1616"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Southampton","Country","E06000045","All","10-11","66","%","1707","2586"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Southend-on-Sea","Country","E06000033","All","10-11","69","%","1440","2097"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Southwark","Country","E09000028","All","10-11","69","%","2168","3153"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","St. Helens","Country","E08000013","All","10-11","63","%","1281","2046"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Staffordshire","Country","E10000028","All","10-11","65","%","6098","9425"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Stockport","Country","E08000007","All","10-11","67","%","2227","3333"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Stockton-on-Tees","Country","E06000004","All","10-11","71","%","1694","2401"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Stoke-on-Trent","Country","E06000021","All","10-11","58","%","1802","3083"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Suffolk","Country","E10000029","All","10-11","61","%","4685","7719"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sunderland","Country","E08000024","All","10-11","68","%","2176","3185"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Surrey","Country","E10000030","All","10-11","70","%","8440","12119"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sutton","Country","E09000029","All","10-11","74","%","1699","2286"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Swindon","Country","E06000030","All","10-11","63","%","1763","2784"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Tameside","Country","E08000008","All","10-11","64","%","1778","2799"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Telford and Wrekin","Country","E06000020","All","10-11","67","%","1491","2232"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Thurrock","Country","E06000034","All","10-11","66","%","1554","2354"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Torbay","Country","E06000027","All","10-11","63","%","869","1386"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Tower Hamlets","Country","E09000030","All","10-11","72","%","2324","3241"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Trafford","Country","E08000009","All","10-11","76","%","2213","2925"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Wakefield","Country","E08000036","All","10-11","60","%","2315","3851"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Walsall","Country","E08000030","All","10-11","61","%","2200","3580"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Waltham Forest","Country","E09000031","All","10-11","70","%","2264","3223"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Wandsworth","Country","E09000032","All","10-11","71","%","1719","2428"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Warrington","Country","E06000007","All","10-11","71","%","1792","2515"
