"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Essex","76","12,234","91","404","82","438","95","69","76","591","75","10,477"
"Gateshead","81","1,688","76","29","82","28","77","10","61","20","81","1,546"
"Gloucestershire","74","4,792","84","168","73","66","85","11","69","223","74","4,253"
"Greenwich","80","2,598","90","219","82","962","90","38","80","268","76","1,027"
"Hackney","79","1,991","84","260","76","697","95","19","79","202","80","671"
"Halton","74","1,090","100","3","75","3","N/A","N/A","80","32","74","1,041"
"Hammersmith and Fulham","85","1,137","91","82","82","289","100","2","86","152","86","461"
"Hampshire","78","11,305","86","363","72","128","94","47","78","445","78","10,204"
"Haringey","77","2,363","85","152","71","586","92","36","81","262","78","1,156"
"Harrow","86","2,357","90","1,217","74","219","100","14","84","173","83","612"
"Hartlepool","78","883","89","24","100","2","100","4","92","11","77","840"
"Havering","82","2,415","90","183","81","286","100","17","84","148","80","1,742"
"Herefordshire, County of","78","1,464","100","7","33","1","67","2","67","29","78","1,413"
"Hertfordshire","77","10,497","87","910","73","437","88","59","77","769","76","8,156"
"Hillingdon","78","2,877","83","842","74","295","80","8","80","363","76","1,122"
"Hounslow","81","2,396","88","807","77","286","100","17","79","199","77","788"
"Isle of Wight","66","875","89","16","0","0","100","4","79","30","66","822"
"Isles of Scilly","82","28","N/A","N/A","N/A","N/A","N/A","N/A","100","1","82","27"
"Islington","77","1,440","80","120","73","318","100","10","78","226","78","658"
"Kensington and Chelsea","85","820","92","34","79","127","100","4","86","152","87","319"
"Kent","75","13,075","89","570","81","349","96","46","77","711","74","11,174"
"Kingston upon Hull, City of","78","2,442","91","42","76","47","83","5","79","103","78","2,177"
"Kingston upon Thames","81","1,453","87","265","59","34","96","24","81","134","80","853"
"Kirklees","73","3,880","75","1,068","67","76","92","11","64","221","74","2,454"
"Knowsley","75","1,287","93","41","100","16","100","5","80","32","74","1,188"
"Lambeth","81","2,389","86","120","76","980","93","14","81","342","85","781"
"Lancashire","76","10,378","77","1,233","70","50","100","33","76","343","76","8,644"
"Leeds","73","6,486","74","796","68","456","96","53","69","362","74","4,675"
"Leicester","74","3,335","81","1,547","69","336","100","13","72","226","68","1,092"
"Leicestershire","77","5,792","85","492","78","62","97","31","71","244","76","4,909"
"Lewisham","79","2,675","88","223","76","1,000","96","43","79","372","80","883"
"Lincolnshire","71","5,501","91","64","66","23","100","16","69","162","71","5,179"
"Liverpool","74","3,619","87","153","75","185","88","63","76","190","73","2,888"
"Luton","73","2,246","75","1,079","68","231","100","4","70","176","72","716"
"Manchester","75","4,960","74","1,135","78","953","92","49","74","410","74","2,043"
"Medway","73","2,383","86","127","86","176","100","9","79","177","71","1,855"
"Merton","83","1,913","92","504","74","253","100","19","81","191","82","887"
"Middlesbrough","75","1,353","84","147","69","22","100","2","81","71","75","1,085"
"Milton Keynes","75","2,632","88","388","75","432","95","20","77","212","71","1,523"
"Newcastle upon Tyne","80","2,228","80","326","85","120","96","23","85","99","80","1,601"
"Newham","87","3,984","90","1,888","85","938","100","14","85","247","83","632"
"Norfolk","71","6,221","79","92","67","58","83","25","72","187","71","5,767"
"North East Lincolnshire","77","1,468","79","11","100","5","100","2","81","46","77","1,387"
"North Lincolnshire","76","1,487","83","63","43","3","N/A","N/A","71","35","76","1,365"
"North Somerset","74","1,772","81","21","63","5","75","3","76","58","74","1,671"
"North Tyneside","78","1,743","78","47","78","21","100","7","81","50","78","1,611"
"North Yorkshire","72","4,223","83","71","52","11","92","11","74","109","72","3,981"
"Northamptonshire","72","6,466","79","332","73","345","96","27","71","360","71","5,342"
"Northumberland","75","2,504","80","43","100","6","100","2","81","44","75","2,397"
"Nottingham","74","2,567","81","479","74","278","100","17","70","315","73","1,388"
"Nottinghamshire","77","6,960","84","229","72","65","90","35","73","313","76","6,250"
"Oldham","76","2,559","76","869","82","89","100","7","76","111","77","1,449"
"Oxfordshire","74","5,257","77","315","70","120","88","22","72","318","75","4,369"
"Peterborough","68","1,894","71","359","67","74","83","5","63","105","68","1,298"
"Plymouth","73","2,107","84","27","64","18","94","15","71","62","73","1,945"
"Poole","73","1,030","92","34","78","7","N/A","N/A","77","51","73","927"
"Portsmouth","68","1,460","82","122","76","52","90","9","61","59","67","1,183"
"Reading","71","1,161","78","254","70","117","100","5","63","109","70","646"
"Redbridge","82","3,191","86","1,779","73","324","95","18","77","265","79","728"
"Redcar and Cleveland","83","1,313","78","7","100","3","N/A","N/A","78","25","83","1,269"
"Richmond upon Thames","89","1,893","86","144","83","54","100","16","90","197","90","1,418"
"Rochdale","74","2,137","72","520","74","90","80","4","71","104","75","1,391"
"Rotherham","74","2,398","81","211","70","37","75","3","67","62","73","2,056"
"Rutland","77","306","80","4","67","2","100","1","93","13","77","283"
"Salford","78","2,210","88","79","82","124","100","7","79","171","77","1,726"
"Sandwell","73","3,158","80","1,030","74","324","100","13","69","253","69","1,446"
"Sefton","79","2,293","91","32","82","9","100","3","83","50","79","2,174"
"Sheffield","74","4,494","81","609","72","276","96","27","72","325","73","3,085"
"Shropshire","75","2,201","92","23","40","2","83","5","69","53","75","2,085"
"Slough","79","1,785","86","941","74","143","100","1","71","150","70","460"
"Solihull","77","2,041","81","236","78","42","100","6","76","176","76","1,546"
"Somerset","73","4,070","82","53","71","15","84","16","73","105","73","3,853"
"South Gloucestershire","73","2,280","87","97","69","35","100","12","75","121","72","1,986"
"South Tyneside","79","1,271","82","49","80","8","100","2","76","25","79","1,169"
"Southampton","79","2,044","81","262","74","68","92","11","79","138","79","1,533"
"Southend-on-Sea","79","1,661","88","128","82","75","83","10","75","97","79","1,311"
"Southwark","80","2,522","89","154","76","1,065","90","35","79","272","84","761"
"St. Helens","74","1,512","76","19","55","6","100","5","62","26","74","1,448"
"Staffordshire","75","7,109","77","299","78","57","92","22","73","222","75","6,461"
"Stockport","77","2,571","85","196","59","27","89","16","77","149","77","2,138"
"Stockton-on-Tees","80","1,932","83","99","79","27","100","11","80","44","80","1,737"
"Stoke-on-Trent","71","2,187","71","348","75","76","94","16","66","101","71","1,619"
"Suffolk","71","5,495","86","125","62","38","100","9","72","323","71","4,893"
"Sunderland","79","2,514","83","119","85","23","85","11","78","39","79","2,313"
"Surrey","80","9,675","84","730","74","142","95","53","79","566","79","8,005"
"Sutton","83","1,902","95","407","82","146","96","27","84","185","80","1,090"
"Swindon","75","2,085","86","258","83","74","89","8","70","109","74","1,614"
"Tameside","76","2,122","75","253","77","48","83","10","77","95","76","1,685"
"Telford and Wrekin","76","1,700","80","101","73","61","100","7","80","100","76","1,425"
"Thurrock","78","1,840","88","107","86","318","100","16","75","104","75","1,238"
"Torbay","74","1,032","81","13","67","2","100","5","80","35","74","969"
"Tower Hamlets","82","2,665","83","1,722","78","277","95","18","76","155","82","380"
"Trafford","83","2,433","87","369","78","97","97","37","83","172","82","1,665"
"Wakefield","72","2,772","71","120","79","37","82","9","78","100","72","2,483"
"Walsall","74","2,662","81","698","72","134","95","18","77","173","72","1,604"
"Waltham Forest","81","2,617","84","739","76","488","95","35","82","287","81","977"
"Wandsworth","81","1,961","86","375","73","435","100","11","79","247","84","817"
"Warrington","81","2,028","90","64","64","9","92","11","79","54","80","1,870"
"Warwickshire","77","4,657","88","300","70","59","100","18","76","211","76","4,011"
"West Berkshire","73","1,292","87","58","65","13","75","6","79","72","72","1,126"
"West Sussex","73","6,410","84","356","62","87","90","19","79","326","72","5,512"
"Westminster","84","1,199","84","190","82","198","100","26","85","133","85","307"
"Wigan","81","2,893","91","50","68","25","92","11","79","64","81","2,713"
"Wiltshire","73","3,788","86","68","66","39","100","9","73","131","73","3,450"
"Windsor and Maidenhead","79","1,193","78","182","71","10","100","7","78","98","79","867"
"Wirral","71","2,674","83","95","82","14","100","17","72","84","71","2,445"
"Wokingham","81","1,608","92","253","74","48","100","20","76","95","80","1,174"
"Wolverhampton","76","2,451","84","629","72","298","100","7","70","265","73","1,213"
"Worcestershire","72","4,482","71","171","62","16","100","10","72","162","72","4,076"
"York","77","1,461","85","34","75","9","100","9","69","36","77","1,353"
