"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography ","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type"," Denominator "," Numerator ","Value"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 851,500 ","5500","0.7"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 851,500 ","758400","90.0"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 871,800 ","37000","4.3"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 871,800 ","29500","3.4"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 871,800 ","18300","2.1"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 871,800 ","7600","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 871,800 ","5900","0.7"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 871,800 ","773400","89.5"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 899,400 ","38400","4.3"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 899,400 ","31500","3.6"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 899,400 ","19100","2.2"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 899,400 ","12500","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 899,400 ","6200","0.7"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 899,400 ","791700","89.3"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 908,700 ","39,300","4.4"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 908,700 ","33,000","3.7"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 908,700 ","19,700","2.2"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 908,700 ","8,600","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 908,700 ","6,900","0.8"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 908,700 ","801,200","89.0"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 814,800 ","36,200","4.5"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 814,800 ","29,000","3.6"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 814,800 ","18,400","2.3"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 814,800 ","10,700","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 814,800 ","6,600","0.8"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 814,800 ","714,000","88.8"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 742,400 ","36,700","5.0"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 742,400 ","25,300","3.5"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 742,400 ","18,600","2.5"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 742,400 ","10,500","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 742,400 ","5,600","0.8"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 742,400 ","645,700","88.2"
