"Measure","Apprenticeship_level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Denominator"," Numerator ","Value"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","2,660","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","1,430","0.5"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","254,780","92"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","19,270","4.3"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","14,610","3.2"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","8,290","1.8"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","4,550","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","3,440","0.8"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","407,050","89.9"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","20,720","4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","17,350","3.4"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","9,850","1.9"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","4,270","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","3,430","0.7"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","464,960","90.1"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","19,690","3.9"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","16,590","3.3"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","10,110","2"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","5,010","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","3,380","0.7"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","455,440","90.1"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","18,600","4.3"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","13,650","3.1"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","9,470","2.2"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","4,110","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","3,110","0.7"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","391,480","89.7"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","21,510","4.3"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","17,250","3.5"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","10,930","2.2"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","4,380","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","3,500","0.7"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","442,340","89.3"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","21,380","4.3"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","17,500","3.5"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","11,100","2.2"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","7,060","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","3,500","0.7"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","448,830","89.4"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","22,010","4.5"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","18,080","3.7"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","11,020","2.3"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","5,360","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","4,200","0.9"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","434,220","88.7"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","17,430","4.7"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","12,340","3.3"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","9,390","2.5"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","5,820","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","3,070","0.8"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","327,720","88.6"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","3150","0.8"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","4360","1.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","8900","2.3"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","1400","0.4"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","1500","0.4"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","2470","0.6"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","4610","1.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","650","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","1650","0.4"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","1890","0.5"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","4290","1.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","750","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","1440","0.4"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","3780","1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","5940","1.5"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","730","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","690","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","2440","0.6"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","3380","0.9"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","250","0.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","750","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","1340","0.3"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","2560","0.7"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","470","0.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","1630","0.4"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","1930","0.5"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","4690","1.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","1130","0.3"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","830","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","1160","0.3"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","2450","0.6"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","460","0.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","790","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","770","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","2230","0.6"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","670","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","620","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","1790","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","2780","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","370","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","360","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","1090","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","1580","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","140","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","260","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","700","n/a"
