"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Peterborough","42.2","2,330","43.4","388","46.0","62","68.1","7","40.0","145","41.9","1,667"
"Plymouth","43.7","2,546","59.7","24","49.3","13","62.2","10","51.1","68","43.1","2,371"
"Portsmouth","40.8","1,647","53.6","96","45.4","48","60.1","10","40.1","68","39.4","1,337"
"Reading","50.5","1,141","58.7","283","42.0","90","77.9","13","44.2","108","48.4","612"
"Redbridge","54.0","3,687","57.0","1,961","47.6","486","68.4","18","53.7","266","50.7","866"
"Redcar and Cleveland","43.8","1,539","52.0","21","46.2","3","NA","NA","47.2","36","43.5","1,465"
"Richmond upon Thames","54.1","1,586","50.8","112","44.6","63","68.5","6","53.7","158","55.2","1,184"
"Rochdale","42.6","2,350","43.0","605","47.9","82","72.1","4","44.8","98","41.9","1,533"
"Rotherham","44.4","3,140","45.6","290","46.3","47","58.0","6","46.2","65","44.3","2,706"
"Rutland","51.3","506","43.5","2","20.5","2","NA","NA","50.9","14","51.6","482"
"Salford","39.3","2,100","50.0","57","45.1","101","40.0","1","45.8","121","38.2","1,752"
"Sandwell","42.2","3,657","45.6","1,052","40.2","319","50.9","6","40.7","268","41.0","1,888"
"Sefton","44.2","2,935","57.4","20","33.1","11","56.5","10","44.8","56","44.7","2,745"
"Sheffield","44.9","5,224","45.1","581","44.3","316","66.6","19","42.9","334","45.2","3,754"
"Shropshire","46.2","2,925","47.1","25","34.0","5","60.2","10","49.8","70","46.1","2,768"
"Slough","53.4","1,856","56.9","957","50.5","164","76.5","2","55.4","173","46.1","459"
"Solihull","47.6","2,943","50.7","374","46.0","92","48.2","7","46.6","230","47.3","2,170"
"Somerset","44.9","4,935","54.8","46","43.4","14","55.9","6","49.5","102","44.7","4,713"
"South East","48.0","85,952","54.9","6,176","47.9","2,330","62.8","325","49.7","4,358","47.3","70,927"
"South Gloucestershire","44.8","2,575","49.3","85","41.7","48","68.7","6","42.3","113","44.9","2,290"
"South Tyneside","42.6","1,568","50.9","65","58.0","2","NA","NA","48.6","23","43.9","1,397"
"South West","46.7","51,455","53.0","1,174","41.6","741","64.6","140","48.0","1,667","46.7","46,342"
"Southampton","44.1","1,958","51.1","212","50.3","53","51.8","12","46.3","117","42.6","1,535"
"Southend-on-Sea","53.0","2,059","68.0","189","63.0","162","67.6","14","53.6","99","50.4","1,544"
"Southwark","49.5","2,509","57.0","144","47.7","1,146","63.0","31","46.9","273","51.5","666"
"St. Helens","44.5","1,757","60.5","20","45.0","12","59.0","2","48.3","33","44.6","1,642"
"Staffordshire","44.5","8,444","46.9","279","40.3","79","68.1","12","42.3","227","44.5","7,757"
"Stockport","47.4","2,657","52.9","180","39.0","30","58.6","13","47.2","134","47.0","2,240"
"Stockton-on-Tees","46.4","2,027","47.3","105","55.7","16","69.0","4","49.3","41","46.1","1,853"
"Stoke-on-Trent","42.8","2,376","45.0","370","45.3","73","69.8","7","44.5","106","42.0","1,784"
"Suffolk","44.9","6,972","51.3","109","41.2","69","59.0","9","48.1","306","44.6","6,322"
"Sunderland","42.9","2,788","52.4","95","47.4","19","65.1","4","48.6","19","42.4","2,638"
"Surrey","50.3","10,388","51.4","647","46.4","179","64.7","48","50.9","596","50.3","8,642"
"Sutton","58.6","2,796","71.9","636","57.3","234","75.4","52","60.7","229","52.3","1,556"
"Swindon","45.3","2,101","46.5","221","43.6","54","72.0","6","48.4","99","44.8","1,672"
"Tameside","44.2","2,486","48.8","263","49.7","60","69.8","8","50.8","109","43.0","2,023"
"Telford and Wrekin","46.2","1,947","52.2","134","48.3","56","66.7","10","48.7","97","45.3","1,641"
"Thurrock","43.6","1,748","54.6","91","47.6","193","54.6","9","46.9","87","41.9","1,294"
"Torbay","46.2","1,488","75.5","12","36.4","3","67.0","6","51.3","32","47.5","1,308"
"Tower Hamlets","48.4","2,808","50.5","1,962","45.2","346","63.7","15","39.2","113","42.8","270"
"Trafford","56.1","2,925","64.2","407","53.3","94","73.6","41","52.6","175","54.7","2,126"
"Wakefield","45.3","3,463","45.4","142","49.8","42","56.1","4","45.1","89","45.2","3,166"
"Walsall","44.0","3,304","50.4","754","44.2","160","65.6","10","42.8","191","41.7","2,130"
"Waltham Forest","46.2","2,605","49.4","766","41.8","571","55.5","15","45.6","262","46.4","895"
"Wandsworth","49.4","1,785","52.6","354","44.4","452","58.5","11","48.5","234","51.8","616"
"Warrington","48.8","2,297","48.5","46","45.5","24","70.6","9","48.8","55","49.0","2,111"
"Warwickshire","49.8","5,623","57.8","327","48.0","58","59.9","9","52.4","234","49.3","4,911"
"West Berkshire","47.7","1,851","50.2","44","48.5","41","61.8","6","48.3","91","48.3","1,613"
"West Midlands","45.6","60,984","48.8","10,314","43.1","3,355","64.0","144","44.7","3,387","45.2","42,175"
"West Sussex","46.9","8,002","51.0","333","40.2","128","55.0","20","48.1","335","46.7","7,066"
"Westminster","53.4","1,655","56.9","217","48.6","396","66.2","25","51.6","172","56.9","416"
"Wigan","45.4","3,352","52.9","34","43.2","30","60.7","9","48.1","51","45.3","3,190"
"Wiltshire","48.7","4,806","56.1","71","45.9","53","66.7","12","51.0","134","48.7","4,373"
"Windsor and Maidenhead","50.2","1,494","49.3","208","48.3","28","66.5","6","52.1","109","50.2","1,104"
"Wirral","48.4","3,388","63.0","85","57.8","13","64.2","22","53.8","82","47.7","3,150"
"Wokingham","50.9","1,744","53.8","231","48.5","77","59.2","5","46.2","109","51.0","1,289"
"Wolverhampton","45.1","2,770","51.6","619","45.0","312","59.5","6","41.9","279","43.0","1,520"
"Worcestershire","46.6","5,439","48.7","176","45.3","28","67.5","11","46.7","189","46.5","4,993"
"York","51.4","1,699","58.2","34","64.1","4","69.1","4","59.7","44","51.0","1,591"
"Yorkshire and The Humber","45.4","54,441","45.6","6,768","43.8","1,245","65.4","113","44.6","1,987","45.7","42,932"
