"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","SEN_type","SEN_grouping","Admission_type","school_characteristic","Religious_denomination","Value","Denominator","Numerator"
"Average Attainment 8 score","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","55.5","3014","167137.14"
"Average Attainment 8 score","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","50.6","1645","83179.76"
"Average Attainment 8 score","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","44.4","3875","172012.51"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","50.3","4624","232535.76"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","43.2","3755","162278.38"
"Average Attainment 8 score","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","49.5","13734","679886.71"
"Average Attainment 8 score","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","21.4","628","13441.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","48.9","199328","9737824.23"
"Average Attainment 8 score","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","43","3875","166456.89"
"Average Attainment 8 score","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","47.3","19807","937847.3"
"Average Attainment 8 score","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","39.4","7493","295387.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","44.9","31175","1399691.44"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","64.3","2006","129011.96"
"Average Attainment 8 score","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","46.8","28214","1320057.02"
"Average Attainment 8 score","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","19.1","1243","23708.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","46.1","406708","18765995.45"
"Average Attainment 8 score","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","26.6","151","4021.75"
"Average Attainment 8 score","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","46.2","375412","17330270.18"
"Average Attainment 8 score","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","52.1","1688","87938.25"
"Average Attainment 8 score","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","41.2","635","26133.63"
"Average Attainment 8 score","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","52.6","4286","225521.4"
"Average Attainment 8 score","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","43.6","1248","54357"
"Average Attainment 8 score","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","49.8","3694","184007"
"Average Attainment 8 score","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","45.1","568","25602.25"
"Average Attainment 8 score","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","55.7","7514","418202.86"
"Average Attainment 8 score","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","38.4","2416","92811.75"
"Average Attainment 8 score","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","44.9","9647","432746.64"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","40.9","4867","198904.63"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","50.1","25141","1260477.9"
"Average Attainment 8 score","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","32.9","478","15707"
"Average Attainment 8 score","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","40.6","1463","59402.25"
"Average Attainment 8 score","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","38.6","2183","84331.75"
"Average Attainment 8 score","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","45.1","7619","343525.51"
"Average Attainment 8 score","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","30.2","964","29077"
"Average Attainment 8 score","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","37.6","2812","105750.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","35.6","3625","129115.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","42.8","11894","508678.01"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","53.2","64","3403"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","63.3","938","59421.79"
"Average Attainment 8 score","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","36.3","979","35575.5"
"Average Attainment 8 score","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","49.2","4203","206736.65"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","33.5","2699","90381.02"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","32","38920","1244555.33"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","46","237718","10933892.35"
"Average Attainment 8 score","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","45.7","167177","7632816.77"
"Average Attainment 8 score","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","33","107","3530"
"Average Attainment 8 score","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","52","771","40099.5"
"Average Attainment 8 score","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","49.5","535","26492.13"
"Average Attainment 8 score","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","59.5","3847","228821.01"
"Average Attainment 8 score","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","49.3","1256","61862.25"
"Average Attainment 8 score","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","54.2","3679","199558.01"
"Average Attainment 8 score","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","26.8","38","1017.25"
"Average Attainment 8 score","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","38","29","1101"
"Average Attainment 8 score","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","34.7","23212","804966.27"
"Average Attainment 8 score","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","50.9","160877","8193102.5"
"Average Attainment 8 score","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","41","107","4384.5"
"Average Attainment 8 score","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","56.8","703","39924.25"
"Average Attainment 8 score","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","45","1170","52625.76"
"Average Attainment 8 score","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","55.9","8133","454342.41"
"Average Attainment 8 score","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","46.4","2504","116219.25"
"Average Attainment 8 score","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","52","7373","383565.01"
"Average Attainment 8 score","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","48.2","1070","51566.03"
"Average Attainment 8 score","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","58","14359","832996.47"
"Average Attainment 8 score","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","41","4650","190755.51"
"Average Attainment 8 score","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","47.4","18852","894065.69"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","43.8","9394","411166.55"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","52.7","48717","2564969.58"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","34.9","76237","2660549.59"
"Average Attainment 8 score","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","39.3","1886","74091.75"
"Average Attainment 8 score","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","51.5","8222","423466.57"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","36.8","5406","199201.78"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","50.3","21612","1087207.36"
"Average Attainment 8 score","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","38.9","847","32952.76"
"Average Attainment 8 score","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","55.5","5297","293775.02"
"Average Attainment 8 score","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","40.2","699","28122.89"
"Average Attainment 8 score","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","49.4","2563","126489.89"
"Average Attainment 8 score","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","32.4","1974","64034.38"
"Average Attainment 8 score","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","44","5530","243475.88"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","42.4","2388","101221.55"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","48.9","7219","353241.15"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","48.6","466331","22672950.49"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","47.7","10859","518452.54"
"Average Attainment 8 score","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","36.5","429","15638.38"
"Average Attainment 8 score","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","53.3","2701","143952.26"
"Average Attainment 8 score","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","36.8","342","12591.89"
"Average Attainment 8 score","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","46.1","1275","58841.13"
"Average Attainment 8 score","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","28","949","26575.25"
"Average Attainment 8 score","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","40.6","2680","108922.5"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","39.1","1214","47504.78"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","46.3","3769","174422.16"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","50.2","12150","609778.8"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","62.6","66","4130"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","66.2","938","62057.17"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","31.7","584","18514.75"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","39.1","3604","141000.13"
"Average Attainment 8 score","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","36.9","1355","50019.76"
"Average Attainment 8 score","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","45","13125","590150.55"
"Average Attainment 8 score","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","13.8","212","2923.25"
"Average Attainment 8 score","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","18.2","403","7343.25"
