"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Value","Value_type"
"Percentage of NHS trust board members","Solent NHS Trust","R1C","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Other","White & Other","9.3","%"
"Percentage of NHS trust board members","Solent NHS Trust","R1C","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Unknown","White & Other","1.2","%"
"Percentage of NHS trust board members","Shropshire Community Health NHS Trust","R1D","Community Trusts","Midlands","White","White & Other","93.6","%"
"Percentage of NHS trust board members","Shropshire Community Health NHS Trust","R1D","Community Trusts","Midlands","Other","White & Other","3.8","%"
"Percentage of NHS trust board members","Shropshire Community Health NHS Trust","R1D","Community Trusts","Midlands","Unknown","White & Other","2.6","%"
"Percentage of NHS trust board members","Isle of Wight NHS Trust","R1F","Acute and Acute & Community Trusts / Ambulance Trusts / Community Trusts / Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","White","White & Other","83.9","%"
"Percentage of NHS trust board members","Isle of Wight NHS Trust","R1F","Acute and Acute & Community Trusts / Ambulance Trusts / Community Trusts / Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Other","White & Other","13.4","%"
"Percentage of NHS trust board members","Isle of Wight NHS Trust","R1F","Acute and Acute & Community Trusts / Ambulance Trusts / Community Trusts / Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Unknown","White & Other","2.7","%"
"Percentage of NHS trust board members","Barts Health NHS Trust","R1H","Acute and Acute & Community Trusts","London","White","White & Other","36","%"
"Percentage of NHS trust board members","Barts Health NHS Trust","R1H","Acute and Acute & Community Trusts","London","Other","White & Other","56.4","%"
"Percentage of NHS trust board members","Barts Health NHS Trust","R1H","Acute and Acute & Community Trusts","London","Unknown","White & Other","7.7","%"
"Percentage of NHS trust board members","London North West University Healthcare NHS Trust","R1K","Acute and Acute & Community Trusts","London","White","White & Other","27.8","%"
"Percentage of NHS trust board members","London North West University Healthcare NHS Trust","R1K","Acute and Acute & Community Trusts","London","Other","White & Other","66.9","%"
"Percentage of NHS trust board members","London North West University Healthcare NHS Trust","R1K","Acute and Acute & Community Trusts","London","Unknown","White & Other","5.3","%"
"Percentage of NHS trust board members","Essex Partnership University NHS Foundation Trust","R1L","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","White","White & Other","72.1","%"
"Percentage of NHS trust board members","Essex Partnership University NHS Foundation Trust","R1L","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","Other","White & Other","24.7","%"
"Percentage of NHS trust board members","Essex Partnership University NHS Foundation Trust","R1L","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","Unknown","White & Other","3.2","%"
"Percentage of NHS trust board members","Royal Surrey County Hospital NHS Foundation Trust","RA2","Acute and Acute & Community Trusts","South East","White","White & Other","64.8","%"
"Percentage of NHS trust board members","Royal Surrey County Hospital NHS Foundation Trust","RA2","Acute and Acute & Community Trusts","South East","Other","White & Other","30.9","%"
"Percentage of NHS trust board members","Royal Surrey County Hospital NHS Foundation Trust","RA2","Acute and Acute & Community Trusts","South East","Unknown","White & Other","4.3","%"
"Percentage of NHS trust board members","Yeovil District Hospital NHS Foundation Trust","RA4","Acute and Acute & Community Trusts","South West","White","White & Other","74.8","%"
"Percentage of NHS trust board members","Yeovil District Hospital NHS Foundation Trust","RA4","Acute and Acute & Community Trusts","South West","Other","White & Other","21.3","%"
"Percentage of NHS trust board members","Yeovil District Hospital NHS Foundation Trust","RA4","Acute and Acute & Community Trusts","South West","Unknown","White & Other","3.9","%"
"Percentage of NHS trust board members","University Hospitals Bristol and Weston NHS Foundation Trust","RA7","Acute and Acute & Community Trusts","South West","White","White & Other","81.4","%"
"Percentage of NHS trust board members","University Hospitals Bristol and Weston NHS Foundation Trust","RA7","Acute and Acute & Community Trusts","South West","Other","White & Other","15","%"
"Percentage of NHS trust board members","University Hospitals Bristol and Weston NHS Foundation Trust","RA7","Acute and Acute & Community Trusts","South West","Unknown","White & Other","3.5","%"
"Percentage of NHS trust board members","Torbay and South Devon NHS Foundation Trust","RA9","Acute and Acute & Community Trusts","South West","White","White & Other","90","%"
"Percentage of NHS trust board members","Torbay and South Devon NHS Foundation Trust","RA9","Acute and Acute & Community Trusts","South West","Other","White & Other","7","%"
"Percentage of NHS trust board members","Torbay and South Devon NHS Foundation Trust","RA9","Acute and Acute & Community Trusts","South West","Unknown","White & Other","2.9","%"
"Percentage of NHS trust board members","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","65.6","%"
"Percentage of NHS trust board members","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","32.5","%"
"Percentage of NHS trust board members","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","1.9","%"
"Percentage of NHS trust board members","Mid and South Essex NHS Foundation Trust","RAJ","Acute and Acute & Community Trusts","East of England","White","White & Other","67.4","%"
"Percentage of NHS trust board members","Mid and South Essex NHS Foundation Trust","RAJ","Acute and Acute & Community Trusts","East of England","Other","White & Other","28.4","%"
"Percentage of NHS trust board members","Mid and South Essex NHS Foundation Trust","RAJ","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","4.1","%"
"Percentage of NHS trust board members","Royal Free London NHS Foundation Trust","RAL","Acute and Acute & Community Trusts","London","White","White & Other","45.8","%"
"Percentage of NHS trust board members","Royal Free London NHS Foundation Trust","RAL","Acute and Acute & Community Trusts","London","Other","White & Other","52.4","%"
"Percentage of NHS trust board members","Royal Free London NHS Foundation Trust","RAL","Acute and Acute & Community Trusts","London","Unknown","White & Other","1.8","%"
"Percentage of NHS trust board members","Royal National Orthopaedic Hospital NHS Trust","RAN","Acute Specialist Trusts","London","White","White & Other","50.5","%"
"Percentage of NHS trust board members","Royal National Orthopaedic Hospital NHS Trust","RAN","Acute Specialist Trusts","London","Other","White & Other","47.8","%"
"Percentage of NHS trust board members","Royal National Orthopaedic Hospital NHS Trust","RAN","Acute Specialist Trusts","London","Unknown","White & Other","1.7","%"
"Percentage of NHS trust board members","North Middlesex University Hospital NHS Trust","RAP","Acute and Acute & Community Trusts","London","White","White & Other","29.6","%"
"Percentage of NHS trust board members","North Middlesex University Hospital NHS Trust","RAP","Acute and Acute & Community Trusts","London","Other","White & Other","62.9","%"
"Percentage of NHS trust board members","North Middlesex University Hospital NHS Trust","RAP","Acute and Acute & Community Trusts","London","Unknown","White & Other","7.5","%"
"Percentage of NHS trust board members","The Hillingdon Hospitals NHS Foundation Trust","RAS","Acute and Acute & Community Trusts","London","White","White & Other","46.5","%"
"Percentage of NHS trust board members","The Hillingdon Hospitals NHS Foundation Trust","RAS","Acute and Acute & Community Trusts","London","Other","White & Other","50.7","%"
"Percentage of NHS trust board members","The Hillingdon Hospitals NHS Foundation Trust","RAS","Acute and Acute & Community Trusts","London","Unknown","White & Other","2.8","%"
"Percentage of NHS trust board members","North East London NHS Foundation Trust","RAT","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","55.5","%"
"Percentage of NHS trust board members","North East London NHS Foundation Trust","RAT","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","42.3","%"
"Percentage of NHS trust board members","North East London NHS Foundation Trust","RAT","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","2.3","%"
"Percentage of NHS trust board members","Kingston Hospital NHS Foundation Trust","RAX","Acute and Acute & Community Trusts","London","White","White & Other","57.2","%"
"Percentage of NHS trust board members","Kingston Hospital NHS Foundation Trust","RAX","Acute and Acute & Community Trusts","London","Other","White & Other","41.2","%"
"Percentage of NHS trust board members","Kingston Hospital NHS Foundation Trust","RAX","Acute and Acute & Community Trusts","London","Unknown","White & Other","1.6","%"
"Percentage of NHS trust board members","Dorset County Hospital NHS Foundation Trust","RBD","Acute and Acute & Community Trusts","South West","White","White & Other","85.8","%"
"Percentage of NHS trust board members","Dorset County Hospital NHS Foundation Trust","RBD","Acute and Acute & Community Trusts","South West","Other","White & Other","9.4","%"
"Percentage of NHS trust board members","Dorset County Hospital NHS Foundation Trust","RBD","Acute and Acute & Community Trusts","South West","Unknown","White & Other","4.8","%"
"Percentage of NHS trust board members","Walsall Healthcare NHS Trust","RBK","Acute and Acute & Community Trusts","Midlands","White","White & Other","70.6","%"
"Percentage of NHS trust board members","Walsall Healthcare NHS Trust","RBK","Acute and Acute & Community Trusts","Midlands","Other","White & Other","28.5","%"
"Percentage of NHS trust board members","Walsall Healthcare NHS Trust","RBK","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","1","%"
"Percentage of NHS trust board members","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Acute and Acute & Community Trusts","North West","White","White & Other","90.6","%"
"Percentage of NHS trust board members","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Acute and Acute & Community Trusts","North West","Other","White & Other","7.6","%"
"Percentage of NHS trust board members","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Acute and Acute & Community Trusts","North West","Unknown","White & Other","1.8","%"
"Percentage of NHS trust board members","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","Acute and Acute & Community Trusts","North West","White","White & Other","88.2","%"
"Percentage of NHS trust board members","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","Acute and Acute & Community Trusts","North West","Other","White & Other","9.9","%"
"Percentage of NHS trust board members","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","Acute and Acute & Community Trusts","North West","Unknown","White & Other","1.9","%"
"Percentage of NHS trust board members","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Acute Specialist Trusts","North West","White","White & Other","85","%"
"Percentage of NHS trust board members","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Acute Specialist Trusts","North West","Other","White & Other","11.4","%"
"Percentage of NHS trust board members","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Acute Specialist Trusts","North West","Unknown","White & Other","3.5","%"
"Percentage of NHS trust board members","Alder Hey Children's NHS Foundation Trust","RBS","Acute and Acute & Community Trusts","North West","White","White & Other","91","%"
"Percentage of NHS trust board members","Alder Hey Children's NHS Foundation Trust","RBS","Acute and Acute & Community Trusts","North West","Other","White & Other","7.8","%"
"Percentage of NHS trust board members","Alder Hey Children's NHS Foundation Trust","RBS","Acute and Acute & Community Trusts","North West","Unknown","White & Other","1.2","%"
"Percentage of NHS trust board members","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Acute and Acute & Community Trusts","North West","White","White & Other","88","%"
"Percentage of NHS trust board members","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Acute and Acute & Community Trusts","North West","Other","White & Other","9.2","%"
"Percentage of NHS trust board members","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Acute and Acute & Community Trusts","North West","Unknown","White & Other","2.8","%"
"Percentage of NHS trust board members","The Christie NHS Foundation Trust","RBV","Acute Specialist Trusts","North West","White","White & Other","83.7","%"
"Percentage of NHS trust board members","The Christie NHS Foundation Trust","RBV","Acute Specialist Trusts","North West","Other","White & Other","15.2","%"
"Percentage of NHS trust board members","The Christie NHS Foundation Trust","RBV","Acute Specialist Trusts","North West","Unknown","White & Other","1.1","%"
"Percentage of NHS trust board members","Northern Devon Healthcare NHS Trust","RBZ","Acute and Acute & Community Trusts","South West","White","White & Other","91.4","%"
"Percentage of NHS trust board members","Northern Devon Healthcare NHS Trust","RBZ","Acute and Acute & Community Trusts","South West","Other","White & Other","7.3","%"
"Percentage of NHS trust board members","Northern Devon Healthcare NHS Trust","RBZ","Acute and Acute & Community Trusts","South West","Unknown","White & Other","1.3","%"
"Percentage of NHS trust board members","Bedfordshire Hospitals NHS Foundation Trust","RC9","Acute and Acute & Community Trusts","East of England","White","White & Other","53.2","%"
"Percentage of NHS trust board members","Bedfordshire Hospitals NHS Foundation Trust","RC9","Acute and Acute & Community Trusts","East of England","Other","White & Other","43.3","%"
"Percentage of NHS trust board members","Bedfordshire Hospitals NHS Foundation Trust","RC9","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","3.6","%"
"Percentage of NHS trust board members","York Teaching Hospital NHS Foundation Trust","RCB","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","85.2","%"
"Percentage of NHS trust board members","York Teaching Hospital NHS Foundation Trust","RCB","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","11.5","%"
"Percentage of NHS trust board members","York Teaching Hospital NHS Foundation Trust","RCB","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","3.3","%"
"Percentage of NHS trust board members","Harrogate and District NHS Foundation Trust","RCD","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","83.3","%"
"Percentage of NHS trust board members","Harrogate and District NHS Foundation Trust","RCD","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","10.5","%"
"Percentage of NHS trust board members","Harrogate and District NHS Foundation Trust","RCD","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","6.2","%"
"Percentage of NHS trust board members","Airedale NHS Foundation Trust","RCF","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","80","%"
"Percentage of NHS trust board members","Airedale NHS Foundation Trust","RCF","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","18.4","%"
"Percentage of NHS trust board members","Airedale NHS Foundation Trust","RCF","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","1.5","%"
"Percentage of NHS trust board members","Sheffield Children's NHS Foundation Trust","RCU","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","85.6","%"
"Percentage of NHS trust board members","Sheffield Children's NHS Foundation Trust","RCU","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","12.1","%"
"Percentage of NHS trust board members","Sheffield Children's NHS Foundation Trust","RCU","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","2.3","%"
"Percentage of NHS trust board members","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","Acute and Acute & Community Trusts","East of England","White","White & Other","74.4","%"
"Percentage of NHS trust board members","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","Acute and Acute & Community Trusts","East of England","Other","White & Other","24.8","%"
"Percentage of NHS trust board members","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","0.8","%"
"Percentage of NHS trust board members","Royal United Hospitals Bath NHS Foundation Trust","RD1","Acute and Acute & Community Trusts","South West","White","White & Other","85.3","%"
"Percentage of NHS trust board members","Royal United Hospitals Bath NHS Foundation Trust","RD1","Acute and Acute & Community Trusts","South West","Other","White & Other","13.6","%"
"Percentage of NHS trust board members","Royal United Hospitals Bath NHS Foundation Trust","RD1","Acute and Acute & Community Trusts","South West","Unknown","White & Other","1.1","%"
"Percentage of NHS trust board members","Milton Keynes University Hospital NHS Foundation Trust","RD8","Acute and Acute & Community Trusts","East of England","White","White & Other","61","%"
"Percentage of NHS trust board members","Milton Keynes University Hospital NHS Foundation Trust","RD8","Acute and Acute & Community Trusts","East of England","Other","White & Other","34","%"
"Percentage of NHS trust board members","Milton Keynes University Hospital NHS Foundation Trust","RD8","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","5.1","%"
"Percentage of NHS trust board members","East Suffolk and North Essex NHS Foundation Trust","RDE","Acute and Acute & Community Trusts","East of England","White","White & Other","78.4","%"
"Percentage of NHS trust board members","East Suffolk and North Essex NHS Foundation Trust","RDE","Acute and Acute & Community Trusts","East of England","Other","White & Other","20.2","%"
"Percentage of NHS trust board members","East Suffolk and North Essex NHS Foundation Trust","RDE","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","1.4","%"
"Percentage of NHS trust board members","Sussex Community NHS Foundation Trust","RDR","Community Trusts","South East","White","White & Other","84","%"
"Percentage of NHS trust board members","Sussex Community NHS Foundation Trust","RDR","Community Trusts","South East","Other","White & Other","9.2","%"
"Percentage of NHS trust board members","Sussex Community NHS Foundation Trust","RDR","Community Trusts","South East","Unknown","White & Other","6.9","%"
"Percentage of NHS trust board members","Frimley Health NHS Foundation Trust","RDU","Acute and Acute & Community Trusts","South East","White","White & Other","58.7","%"
"Percentage of NHS trust board members","Frimley Health NHS Foundation Trust","RDU","Acute and Acute & Community Trusts","South East","Other","White & Other","37.8","%"
"Percentage of NHS trust board members","Frimley Health NHS Foundation Trust","RDU","Acute and Acute & Community Trusts","South East","Unknown","White & Other","3.5","%"
"Percentage of NHS trust board members","Dorset HealthCare University NHS Foundation Trust","RDY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","White","White & Other","91.7","%"
"Percentage of NHS trust board members","Dorset HealthCare University NHS Foundation Trust","RDY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Other","White & Other","6.1","%"
"Percentage of NHS trust board members","Dorset HealthCare University NHS Foundation Trust","RDY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Unknown","White & Other","2.2","%"
"Percentage of NHS trust board members","Royal Cornwall Hospitals NHS Trust","REF","Acute and Acute & Community Trusts","South West","White","White & Other","83.7","%"
"Percentage of NHS trust board members","Royal Cornwall Hospitals NHS Trust","REF","Acute and Acute & Community Trusts","South West","Other","White & Other","4.8","%"
"Percentage of NHS trust board members","Royal Cornwall Hospitals NHS Trust","REF","Acute and Acute & Community Trusts","South West","Unknown","White & Other","11.5","%"
"Percentage of NHS trust board members","Liverpool University Hospitals NHS Foundation Trust","REM","Acute and Acute & Community Trusts","North West","White","White & Other","83.4","%"
"Percentage of NHS trust board members","Liverpool University Hospitals NHS Foundation Trust","REM","Acute and Acute & Community Trusts","North West","Other","White & Other","10.9","%"
"Percentage of NHS trust board members","Liverpool University Hospitals NHS Foundation Trust","REM","Acute and Acute & Community Trusts","North West","Unknown","White & Other","5.7","%"
"Percentage of NHS trust board members","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Acute Specialist Trusts","North West","White","White & Other","92.2","%"
"Percentage of NHS trust board members","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Acute Specialist Trusts","North West","Other","White & Other","6","%"
"Percentage of NHS trust board members","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Acute Specialist Trusts","North West","Unknown","White & Other","1.7","%"
"Percentage of NHS trust board members","Liverpool Women's NHS Foundation Trust","REP","Acute Specialist Trusts","North West","White","White & Other","89.4","%"
"Percentage of NHS trust board members","Liverpool Women's NHS Foundation Trust","REP","Acute Specialist Trusts","North West","Other","White & Other","8.4","%"
"Percentage of NHS trust board members","Liverpool Women's NHS Foundation Trust","REP","Acute Specialist Trusts","North West","Unknown","White & Other","2.2","%"
"Percentage of NHS trust board members","The Walton Centre NHS Foundation Trust","RET","Acute Specialist Trusts","North West","White","White & Other","89.4","%"
"Percentage of NHS trust board members","The Walton Centre NHS Foundation Trust","RET","Acute Specialist Trusts","North West","Other","White & Other","9.9","%"
"Percentage of NHS trust board members","The Walton Centre NHS Foundation Trust","RET","Acute Specialist Trusts","North West","Unknown","White & Other","0.7","%"
"Percentage of NHS trust board members","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","Acute and Acute & Community Trusts","London","White","White & Other","46.2","%"
"Percentage of NHS trust board members","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","Acute and Acute & Community Trusts","London","Other","White & Other","51.9","%"
"Percentage of NHS trust board members","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","Acute and Acute & Community Trusts","London","Unknown","White & Other","1.9","%"
"Percentage of NHS trust board members","Barnsley Hospital NHS Foundation Trust","RFF","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","90.6","%"
"Percentage of NHS trust board members","Barnsley Hospital NHS Foundation Trust","RFF","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","8.4","%"
"Percentage of NHS trust board members","Barnsley Hospital NHS Foundation Trust","RFF","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","1","%"
"Percentage of NHS trust board members","The Rotherham NHS Foundation Trust","RFR","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","88.9","%"
"Percentage of NHS trust board members","The Rotherham NHS Foundation Trust","RFR","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","9.8","%"
"Percentage of NHS trust board members","The Rotherham NHS Foundation Trust","RFR","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","1.2","%"
"Percentage of NHS trust board members","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Acute and Acute & Community Trusts","Midlands","White","White & Other","90.1","%"
"Percentage of NHS trust board members","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Acute and Acute & Community Trusts","Midlands","Other","White & Other","7.9","%"
"Percentage of NHS trust board members","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","2","%"
"Percentage of NHS trust board members","Leeds and York Partnership NHS Foundation Trust","RGD","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","White","White & Other","79.7","%"
"Percentage of NHS trust board members","Leeds and York Partnership NHS Foundation Trust","RGD","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Other","White & Other","17.5","%"
"Percentage of NHS trust board members","Leeds and York Partnership NHS Foundation Trust","RGD","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Unknown","White & Other","2.9","%"
"Percentage of NHS trust board members","Royal Papworth Hospital NHS Foundation Trust","RGM","Acute Specialist Trusts","East of England","White","White & Other","73.4","%"
"Percentage of NHS trust board members","Royal Papworth Hospital NHS Foundation Trust","RGM","Acute Specialist Trusts","East of England","Other","White & Other","25.3","%"
"Percentage of NHS trust board members","Royal Papworth Hospital NHS Foundation Trust","RGM","Acute Specialist Trusts","East of England","Unknown","White & Other","1.4","%"
"Percentage of NHS trust board members","North West Anglia NHS Foundation Trust","RGN","Acute and Acute & Community Trusts","East of England","White","White & Other","71.1","%"
"Percentage of NHS trust board members","North West Anglia NHS Foundation Trust","RGN","Acute and Acute & Community Trusts","East of England","Other","White & Other","25.6","%"
"Percentage of NHS trust board members","North West Anglia NHS Foundation Trust","RGN","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","3.3","%"
"Percentage of NHS trust board members","James Paget University Hospitals NHS Foundation Trust","RGP","Acute and Acute & Community Trusts","East of England","White","White & Other","83.1","%"
"Percentage of NHS trust board members","James Paget University Hospitals NHS Foundation Trust","RGP","Acute and Acute & Community Trusts","East of England","Other","White & Other","15.5","%"
"Percentage of NHS trust board members","James Paget University Hospitals NHS Foundation Trust","RGP","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","1.4","%"
"Percentage of NHS trust board members","West Suffolk NHS Foundation Trust","RGR","Acute and Acute & Community Trusts","East of England","White","White & Other","80","%"
"Percentage of NHS trust board members","West Suffolk NHS Foundation Trust","RGR","Acute and Acute & Community Trusts","East of England","Other","White & Other","12.9","%"
"Percentage of NHS trust board members","West Suffolk NHS Foundation Trust","RGR","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","7.1","%"
"Percentage of NHS trust board members","Cambridge University Hospitals NHS Foundation Trust","RGT","Acute and Acute & Community Trusts","East of England","White","White & Other","69.4","%"
"Percentage of NHS trust board members","Cambridge University Hospitals NHS Foundation Trust","RGT","Acute and Acute & Community Trusts","East of England","Other","White & Other","25.9","%"
"Percentage of NHS trust board members","Cambridge University Hospitals NHS Foundation Trust","RGT","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","4.7","%"
"Percentage of NHS trust board members","Somerset NHS Foundation Trust","RH5","Acute and Acute & Community Trusts","South West","White","White & Other","85.2","%"
"Percentage of NHS trust board members","Somerset NHS Foundation Trust","RH5","Acute and Acute & Community Trusts","South West","Other","White & Other","10.3","%"
"Percentage of NHS trust board members","Somerset NHS Foundation Trust","RH5","Acute and Acute & Community Trusts","South West","Unknown","White & Other","4.5","%"
"Percentage of NHS trust board members","Royal Devon and Exeter NHS Foundation Trust","RH8","Acute and Acute & Community Trusts","South West","White","White & Other","87.1","%"
"Percentage of NHS trust board members","Royal Devon and Exeter NHS Foundation Trust","RH8","Acute and Acute & Community Trusts","South West","Other","White & Other","8.3","%"
"Percentage of NHS trust board members","Royal Devon and Exeter NHS Foundation Trust","RH8","Acute and Acute & Community Trusts","South West","Unknown","White & Other","4.6","%"
"Percentage of NHS trust board members","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","82.4","%"
"Percentage of NHS trust board members","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","15.6","%"
"Percentage of NHS trust board members","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","2.1","%"
"Percentage of NHS trust board members","University Hospital Southampton NHS Foundation Trust","RHM","Acute and Acute & Community Trusts","South East","White","White & Other","76.9","%"
"Percentage of NHS trust board members","University Hospital Southampton NHS Foundation Trust","RHM","Acute and Acute & Community Trusts","South East","Other","White & Other","21","%"
