"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Involvement Type","Rate per 1,000 people","Numerator"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Asian","ONS 5+1 2001","Victim","N/A","439"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Black","ONS 5+1 2001","Victim","N/A","810"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Mixed","ONS 5+1 2001","Victim","N/A","267"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Other","ONS 5+1 2001","Victim","N/A","69"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","32"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","White","ONS 5+1 2001","Assailant","N/A","4491"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Asian","ONS 5+1 2001","Assailant","N/A","411"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Black","ONS 5+1 2001","Assailant","N/A","1696"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Mixed","ONS 5+1 2001","Assailant","N/A","470"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Other","ONS 5+1 2001","Assailant","N/A","56"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","47"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","White","ONS 5+1 2001","Fighter","N/A","7479"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Asian","ONS 5+1 2001","Fighter","N/A","662"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Black","ONS 5+1 2001","Fighter","N/A","2538"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Mixed","ONS 5+1 2001","Fighter","N/A","831"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Other","ONS 5+1 2001","Fighter","N/A","94"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","23"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","White","ONS 5+1 2001","Victim","N/A","4543"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Asian","ONS 5+1 2001","Victim","N/A","480"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Black","ONS 5+1 2001","Victim","N/A","965"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Mixed","ONS 5+1 2001","Victim","N/A","334"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Other","ONS 5+1 2001","Victim","N/A","81"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","21"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","White","ONS 5+1 2001","Assailant","N/A","4325"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Asian","ONS 5+1 2001","Assailant","N/A","354"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Black","ONS 5+1 2001","Assailant","N/A","1636"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Mixed","ONS 5+1 2001","Assailant","N/A","434"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Other","ONS 5+1 2001","Assailant","N/A","68"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","74"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","White","ONS 5+1 2001","Fighter","N/A","7544"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Asian","ONS 5+1 2001","Fighter","N/A","654"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Black","ONS 5+1 2001","Fighter","N/A","2192"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Mixed","ONS 5+1 2001","Fighter","N/A","690"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Other","ONS 5+1 2001","Fighter","N/A","97"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","40"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","White","ONS 5+1 2001","Victim","N/A","4136"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Asian","ONS 5+1 2001","Victim","N/A","462"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Black","ONS 5+1 2001","Victim","N/A","875"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Mixed","ONS 5+1 2001","Victim","N/A","310"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Other","ONS 5+1 2001","Victim","N/A","94"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","19"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","White","ONS 5+1 2001","Assailant","N/A","4106"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Asian","ONS 5+1 2001","Assailant","N/A","403"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Black","ONS 5+1 2001","Assailant","N/A","1930"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Mixed","ONS 5+1 2001","Assailant","N/A","493"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Other","ONS 5+1 2001","Assailant","N/A","62"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","183"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","White","ONS 5+1 2001","Fighter","N/A","6649"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Asian","ONS 5+1 2001","Fighter","N/A","722"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Black","ONS 5+1 2001","Fighter","N/A","2534"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Mixed","ONS 5+1 2001","Fighter","N/A","751"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Other","ONS 5+1 2001","Fighter","N/A","95"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","272"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","White","ONS 5+1 2001","Victim","N/A","4023"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Asian","ONS 5+1 2001","Victim","N/A","437"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Black","ONS 5+1 2001","Victim","N/A","926"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Mixed","ONS 5+1 2001","Victim","N/A","264"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Other","ONS 5+1 2001","Victim","N/A","70"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","140"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","White","ONS 5+1 2001","Assailant","71","4401"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Asian","ONS 5+1 2001","Assailant","73","453"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Black","ONS 5+1 2001","Assailant","182","2073"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Mixed","ONS 5+1 2001","Assailant","173","539"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Other","ONS 5+1 2001","Assailant","67","65"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","241"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","White","ONS 5+1 2001","Fighter","110","6825"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Asian","ONS 5+1 2001","Fighter","130","826"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Black","ONS 5+1 2001","Fighter","256","2916"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Mixed","ONS 5+1 2001","Fighter","302","953"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Other","ONS 5+1 2001","Fighter","114","116"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","267"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","White","ONS 5+1 2001","Victim","66","4104"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Asian","ONS 5+1 2001","Victim","80","501"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Black","ONS 5+1 2001","Victim","87","985"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Mixed","ONS 5+1 2001","Victim","110","347"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Other","ONS 5+1 2001","Victim","59","57"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","165"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","White","ONS 5+1 2001","Assailant","72","4458"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Asian","ONS 5+1 2001","Assailant","71","454"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Black","ONS 5+1 2001","Assailant","180","2009"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Mixed","ONS 5+1 2001","Assailant","182","579"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Other","ONS 5+1 2001","Assailant","95","94"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","211"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","White","ONS 5+1 2001","Fighter","106","6593"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Asian","ONS 5+1 2001","Fighter","104","680"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Black","ONS 5+1 2001","Fighter","230","2569"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Mixed","ONS 5+1 2001","Fighter","271","862"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Other","ONS 5+1 2001","Fighter","106","129"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","350"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","White","ONS 5+1 2001","Victim","67","4169"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Asian","ONS 5+1 2001","Victim","72","470"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Black","ONS 5+1 2001","Victim","80","892"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Mixed","ONS 5+1 2001","Victim","109","345"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Other","ONS 5+1 2001","Victim","58","75"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","168"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","White","ONS 5+1 2001","Assailant","78","4787"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Asian","ONS 5+1 2001","Assailant","96","619"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Black","ONS 5+1 2001","Assailant","188","2031"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Mixed","ONS 5+1 2001","Assailant","217","703"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Other","ONS 5+1 2001","Assailant","111","111"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","145"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","White","ONS 5+1 2001","Fighter","94","5800"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Asian","ONS 5+1 2001","Fighter","112","730"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Black","ONS 5+1 2001","Fighter","226","2444"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Mixed","ONS 5+1 2001","Fighter","248","805"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Other","ONS 5+1 2001","Fighter","118","119"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","194"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","White","ONS 5+1 2001","Victim","70","4302"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Asian","ONS 5+1 2001","Victim","80","521"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Black","ONS 5+1 2001","Victim","87","943"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Mixed","ONS 5+1 2001","Victim","110","358"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Other","ONS 5+1 2001","Victim","71","71"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","129"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","White","ONS 5+1 2001","Assailant","95","5914"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Asian","ONS 5+1 2001","Assailant","89","592"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Black","ONS 5+1 2001","Assailant","217","2325"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Mixed","ONS 5+1 2001","Assailant","262","905"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Other","ONS 5+1 2001","Assailant","120","123"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","80"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","White","ONS 5+1 2001","Fighter","100","6269"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Asian","ONS 5+1 2001","Fighter","116","767"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Black","ONS 5+1 2001","Fighter","229","2450"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Mixed","ONS 5+1 2001","Fighter","255","880"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Other","ONS 5+1 2001","Fighter","160","164"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","89"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","White","ONS 5+1 2001","Victim","85","5307"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Asian","ONS 5+1 2001","Victim","85","564"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Black","ONS 5+1 2001","Victim","101","1079"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Mixed","ONS 5+1 2001","Victim","120","416"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Other","ONS 5+1 2001","Victim","105","107"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","73"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","White","ONS 5+1 2001","Assailant","127","8026"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Asian","ONS 5+1 2001","Assailant","118","810"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Black","ONS 5+1 2001","Assailant","285","3017"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Mixed","ONS 5+1 2001","Assailant","336","1177"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Other","ONS 5+1 2001","Assailant","163","160"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","60"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","White","ONS 5+1 2001","Fighter","125","7905"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Asian","ONS 5+1 2001","Fighter","125","858"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Black","ONS 5+1 2001","Fighter","266","2817"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Mixed","ONS 5+1 2001","Fighter","279","980"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Other","ONS 5+1 2001","Fighter","195","191"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","50"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","White","ONS 5+1 2001","Victim","107","6761"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Asian","ONS 5+1 2001","Victim","112","769"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Black","ONS 5+1 2001","Victim","126","1335"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Mixed","ONS 5+1 2001","Victim","135","475"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Other","ONS 5+1 2001","Victim","131","128"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","48"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","White","ONS 5+1 2001","Assailant","167","10442"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Asian","ONS 5+1 2001","Assailant","150","1032"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Black","ONS 5+1 2001","Assailant","339","3549"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Mixed","ONS 5+1 2001","Assailant","405","1465"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Other","ONS 5+1 2001","Assailant","221","225"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","69"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","White","ONS 5+1 2001","Fighter","149","9339"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Asian","ONS 5+1 2001","Fighter","146","1002"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Black","ONS 5+1 2001","Fighter","334","3506"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Mixed","ONS 5+1 2001","Fighter","376","1359"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Other","ONS 5+1 2001","Fighter","199","202"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","58"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","White","ONS 5+1 2001","Victim","136","8493"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Asian","ONS 5+1 2001","Victim","132","906"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Black","ONS 5+1 2001","Victim","153","1604"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Mixed","ONS 5+1 2001","Victim","209","757"
