"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","destination","value","value_type","Denominator"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black African","LEO","further study, with or without sustained employment","9.7","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","All","LEO","further study, with or without sustained employment","5.6","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Asian Other","LEO","further study, with or without sustained employment","6.7","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Other","LEO","further study, with or without sustained employment","8.3","%","690"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Mixed Other","LEO","further study, with or without sustained employment","5.9","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Bangladeshi","LEO","further study, with or without sustained employment","4.5","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Caribbean","LEO","further study, with or without sustained employment","7.4","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Chinese","LEO","further study, with or without sustained employment","4.2","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Indian","LEO","further study, with or without sustained employment","4.5","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Not known","LEO","further study, with or without sustained employment","6.5","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Other","LEO","further study, with or without sustained employment","6.8","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Pakistani","LEO","further study, with or without sustained employment","4.5","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White","LEO","further study, with or without sustained employment","5.5","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Asian","LEO","further study, with or without sustained employment","7","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black African","LEO","further study, with or without sustained employment","7.4","%","550"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black Caribbean","LEO","further study, with or without sustained employment","7.6","%","1060"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black African","LEO","no sustained destination","9.5","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","All","LEO","no sustained destination","7.7","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Asian Other","LEO","no sustained destination","8.6","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Other","LEO","no sustained destination","12.4","%","990"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Mixed Other","LEO","no sustained destination","11.1","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Arab","LEO","no sustained destination","11.2","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Bangladeshi","LEO","no sustained destination","9.4","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Caribbean","LEO","no sustained destination","9.8","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Chinese","LEO","no sustained destination","8.7","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Indian","LEO","no sustained destination","8","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Not known","LEO","no sustained destination","9.7","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Other","LEO","no sustained destination","11.7","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Pakistani","LEO","no sustained destination","10.3","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White","LEO","no sustained destination","7","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Asian","LEO","no sustained destination","8.6","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black African","LEO","no sustained destination","10.8","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black Caribbean","LEO","no sustained destination","9.5","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black African","LEO","no sustained destination","9.7","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","All","LEO","no sustained destination","6.8","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Asian Other","LEO","no sustained destination","8.3","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Other","LEO","no sustained destination","11.4","%","870"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Mixed Other","LEO","no sustained destination","9.1","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Arab","LEO","no sustained destination","11.5","%","260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Bangladeshi","LEO","no sustained destination","7.4","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Caribbean","LEO","no sustained destination","9.2","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Chinese","LEO","no sustained destination","6.3","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Indian","LEO","no sustained destination","6.9","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Not known","LEO","no sustained destination","8.5","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Other","LEO","no sustained destination","11","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Pakistani","LEO","no sustained destination","9.1","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White","LEO","no sustained destination","6.2","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Asian","LEO","no sustained destination","7","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black African","LEO","no sustained destination","8.3","","1180"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black Caribbean","LEO","no sustained destination","8.5","","2840"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black African","LEO","no sustained destination","8.7","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","All","LEO","no sustained destination","6","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Asian Other","LEO","no sustained destination","7.2","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Other","LEO","no sustained destination","10.4","%","845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Mixed Other","LEO","no sustained destination","8.8","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Arab","LEO","no sustained destination","?","%","?"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Bangladeshi","LEO","no sustained destination","8.3","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Caribbean","LEO","no sustained destination","8.8","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Chinese","LEO","no sustained destination","5.1","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Indian","LEO","no sustained destination","6.6","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Not known","LEO","no sustained destination","8","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Other","LEO","no sustained destination","8.5","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Pakistani","LEO","no sustained destination","9.1","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White","LEO","no sustained destination","5.4","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Asian","LEO","no sustained destination","6.6","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black African","LEO","no sustained destination","8.5","%","965"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black Caribbean","LEO","no sustained destination","7.6","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black African","LEO","no sustained destination","8.3","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","All","LEO","no sustained destination","4.9","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Asian Other","LEO","no sustained destination","6.3","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Other","LEO","no sustained destination","8.2","%","690"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Mixed Other","LEO","no sustained destination","6.3","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Bangladeshi","LEO","no sustained destination","7.3","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Caribbean","LEO","no sustained destination","7.1","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Chinese","LEO","no sustained destination","4.8","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Indian","LEO","no sustained destination","5.8","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Not known","LEO","no sustained destination","6.6","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Other","LEO","no sustained destination","7.4","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Pakistani","LEO","no sustained destination","7.6","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White","LEO","no sustained destination","4.4","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Asian","LEO","no sustained destination","3.9","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black African","LEO","no sustained destination","8.7","%","550"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black Caribbean","LEO","no sustained destination","6.1","%","1060"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black African","LEO","sustained employment further study or both","85.9","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","All","LEO","sustained employment further study or both","87.7","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Asian Other","LEO","sustained employment further study or both","85.3","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Other","LEO","sustained employment further study or both","81.6","%","990"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Mixed Other","LEO","sustained employment further study or both","81.7","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Arab","LEO","sustained employment further study or both","80.9","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Bangladeshi","LEO","sustained employment further study or both","87","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Caribbean","LEO","sustained employment further study or both","86.6","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Chinese","LEO","sustained employment further study or both","80.4","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Indian","LEO","sustained employment further study or both","87.4","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Not known","LEO","sustained employment further study or both","82.4","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Other","LEO","sustained employment further study or both","81.6","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Pakistani","LEO","sustained employment further study or both","84.1","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White","LEO","sustained employment further study or both","88.6","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Asian","LEO","sustained employment further study or both","84.8","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black African","LEO","sustained employment further study or both","83","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black Caribbean","LEO","sustained employment further study or both","86.7","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black African","LEO","sustained employment further study or both","82.9","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","All","LEO","sustained employment further study or both","85.9","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Asian Other","LEO","sustained employment further study or both","80.5","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Other","LEO","sustained employment further study or both","77.2","%","870"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Mixed Other","LEO","sustained employment further study or both","80.9","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Arab","LEO","sustained employment further study or both","77.1","%","260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Bangladeshi","LEO","sustained employment further study or both","86.3","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Caribbean","LEO","sustained employment further study or both","85.7","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Chinese","LEO","sustained employment further study or both","76.4","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Indian","LEO","sustained employment further study or both","86.5","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Not known","LEO","sustained employment further study or both","81.5","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Other","LEO","sustained employment further study or both","77.7","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Pakistani","LEO","sustained employment further study or both","81.8","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White","LEO","sustained employment further study or both","86.9","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Asian","LEO","sustained employment further study or both","83.9","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black African","LEO","sustained employment further study or both","81.9","","1180"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black Caribbean","LEO","sustained employment further study or both","85.7","","2840"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black African","LEO","sustained employment further study or both","81","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","All","LEO","sustained employment further study or both","84.9","%","274190"
