"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","earnings quartile","value","value_type","Denominator"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Black Other","LEO","earnings median","19000","pounds sterling","540"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Mixed Other","LEO","earnings median","20100","pounds sterling","1780"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Arab","LEO","earnings median","20100","pounds sterling","450"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Bangladeshi","LEO","earnings median","18600","pounds sterling","2285"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Black Caribbean","LEO","earnings median","18600","pounds sterling","2895"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Chinese","LEO","earnings median","22300","pounds sterling","1275"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Indian","LEO","earnings median","22300","pounds sterling","7080"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Not known","LEO","earnings median","21200","pounds sterling","3710"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Other","LEO","earnings median","20100","pounds sterling","1535"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Pakistani","LEO","earnings median","18600","pounds sterling","5090"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White","LEO","earnings median","20400","pounds sterling","133890"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White and Asian","LEO","earnings median","20800","pounds sterling","1930"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White and Black African","LEO","earnings median","19300","pounds sterling","725"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White and Black Caribbean","LEO","earnings median","18200","pounds sterling","1860"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Black African","LEO","earnings UQ","27000","pounds sterling","8405"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","All","LEO","earnings UQ","25900","pounds sterling","176540"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Asian Other","LEO","earnings UQ","28500","pounds sterling","3095"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Black Other","LEO","earnings UQ","24800","pounds sterling","540"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Mixed Other","LEO","earnings UQ","25900","pounds sterling","1780"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Arab","LEO","earnings UQ","27100","pounds sterling","450"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Bangladeshi","LEO","earnings UQ","23700","pounds sterling","2285"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Black Caribbean","LEO","earnings UQ","24100","pounds sterling","2895"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Chinese","LEO","earnings UQ","29900","pounds sterling","1275"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Indian","LEO","earnings UQ","28800","pounds sterling","7080"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Not known","LEO","earnings UQ","28800","pounds sterling","3710"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Other","LEO","earnings UQ","26600","pounds sterling","1535"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Pakistani","LEO","earnings UQ","24100","pounds sterling","5090"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White","LEO","earnings UQ","25900","pounds sterling","133890"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White and Asian","LEO","earnings UQ","26600","pounds sterling","1930"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White and Black African","LEO","earnings UQ","24800","pounds sterling","725"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White and Black Caribbean","LEO","earnings UQ","24100","pounds sterling","1860"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Black African","LEO","earnings LQ","16400","pounds sterling","8045"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","All","LEO","earnings LQ","17900","pounds sterling","207805"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Asian Other","LEO","earnings LQ","18200","pounds sterling","3265"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Black Other","LEO","earnings LQ","15300","pounds sterling","495"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Mixed Other","LEO","earnings LQ","17200","pounds sterling","2055"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Arab","LEO","earnings LQ","12000","pounds sterling","140"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Bangladeshi","LEO","earnings LQ","17200","pounds sterling","2250"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Black Caribbean","LEO","earnings LQ","16400","pounds sterling","3155"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Chinese","LEO","earnings LQ","19000","pounds sterling","1635"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Indian","LEO","earnings LQ","19700","pounds sterling","8495"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Not known","LEO","earnings LQ","16100","pounds sterling","5100"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Other","LEO","earnings LQ","17200","pounds sterling","1805"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Pakistani","LEO","earnings LQ","15300","pounds sterling","5490"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White","LEO","earnings LQ","17900","pounds sterling","160915"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White and Asian","LEO","earnings LQ","18600","pounds sterling","2230"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White and Black African","LEO","earnings LQ","16100","pounds sterling","745"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White and Black Caribbean","LEO","earnings LQ","16400","pounds sterling","1985"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Black African","LEO","earnings median","23400","pounds sterling","8045"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","All","LEO","earnings median","23700","pounds sterling","207805"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Asian Other","LEO","earnings median","25200","pounds sterling","3265"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Black Other","LEO","earnings median","21900","pounds sterling","495"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Mixed Other","LEO","earnings median","23700","pounds sterling","2055"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Arab","LEO","earnings median","21900","pounds sterling","140"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Bangladeshi","LEO","earnings median","22600","pounds sterling","2250"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Black Caribbean","LEO","earnings median","22300","pounds sterling","3155"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Chinese","LEO","earnings median","25600","pounds sterling","1635"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Indian","LEO","earnings median","26300","pounds sterling","8495"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Not known","LEO","earnings median","23400","pounds sterling","5100"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Other","LEO","earnings median","24500","pounds sterling","1805"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Pakistani","LEO","earnings median","21500","pounds sterling","5490"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White","LEO","earnings median","23700","pounds sterling","160915"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White and Asian","LEO","earnings median","24800","pounds sterling","2230"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White and Black African","LEO","earnings median","23000","pounds sterling","745"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White and Black Caribbean","LEO","earnings median","22600","pounds sterling","1985"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Black African","LEO","earnings UQ","30700","pounds sterling","8045"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","All","LEO","earnings UQ","30700","pounds sterling","207805"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Asian Other","LEO","earnings UQ","32500","pounds sterling","3265"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Black Other","LEO","earnings UQ","29200","pounds sterling","495"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Mixed Other","LEO","earnings UQ","30700","pounds sterling","2055"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Arab","LEO","earnings UQ","32800","pounds sterling","140"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Bangladeshi","LEO","earnings UQ","28800","pounds sterling","2250"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Black Caribbean","LEO","earnings UQ","28500","pounds sterling","3155"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Chinese","LEO","earnings UQ","34700","pounds sterling","1635"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Indian","LEO","earnings UQ","35400","pounds sterling","8495"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Not known","LEO","earnings UQ","31000","pounds sterling","5100"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Other","LEO","earnings UQ","32100","pounds sterling","1805"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","Pakistani","LEO","earnings UQ","28500","pounds sterling","5490"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White","LEO","earnings UQ","30300","pounds sterling","160915"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White and Asian","LEO","earnings UQ","32500","pounds sterling","2230"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White and Black African","LEO","earnings UQ","30700","pounds sterling","745"
"Earnings of graduates after higher education","2017/2018","2013/2014","3","White and Black Caribbean","LEO","earnings UQ","29200","pounds sterling","1985"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Black African","LEO","earnings LQ","17200","pounds sterling","7085"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","All","LEO","earnings LQ","19000","pounds sterling","196410"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Asian Other","LEO","earnings LQ","20400","pounds sterling","2660"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Black Other","LEO","earnings LQ","14600","pounds sterling","510"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Mixed Other","LEO","earnings LQ","19000","pounds sterling","1825"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Arab","LEO","earnings LQ","N/A","pounds sterling","?"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Bangladeshi","LEO","earnings LQ","17500","pounds sterling","2160"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Black Caribbean","LEO","earnings LQ","16100","pounds sterling","3030"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Chinese","LEO","earnings LQ","20800","pounds sterling","1570"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Indian","LEO","earnings LQ","21200","pounds sterling","8755"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Not known","LEO","earnings LQ","16800","pounds sterling","4380"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Other","LEO","earnings LQ","17500","pounds sterling","1780"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Pakistani","LEO","earnings LQ","15700","pounds sterling","4940"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White","LEO","earnings LQ","19300","pounds sterling","153525"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White and Asian","LEO","earnings LQ","20800","pounds sterling","1880"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White and Black African","LEO","earnings LQ","17900","pounds sterling","625"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White and Black Caribbean","LEO","earnings LQ","17900","pounds sterling","1685"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Black African","LEO","earnings median","25200","pounds sterling","7085"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","All","LEO","earnings median","26600","pounds sterling","196410"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Asian Other","LEO","earnings median","28800","pounds sterling","2660"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Black Other","LEO","earnings median","23400","pounds sterling","510"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Mixed Other","LEO","earnings median","27400","pounds sterling","1825"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Arab","LEO","earnings median","N/A","pounds sterling","?"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Bangladeshi","LEO","earnings median","24800","pounds sterling","2160"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Black Caribbean","LEO","earnings median","23700","pounds sterling","3030"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Chinese","LEO","earnings median","29600","pounds sterling","1570"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Indian","LEO","earnings median","29600","pounds sterling","8755"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Not known","LEO","earnings median","25200","pounds sterling","4380"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Other","LEO","earnings median","26600","pounds sterling","1780"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Pakistani","LEO","earnings median","23000","pounds sterling","4940"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White","LEO","earnings median","26600","pounds sterling","153525"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White and Asian","LEO","earnings median","28800","pounds sterling","1880"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White and Black African","LEO","earnings median","25600","pounds sterling","625"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White and Black Caribbean","LEO","earnings median","25200","pounds sterling","1685"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Black African","LEO","earnings UQ","33900","pounds sterling","7085"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","All","LEO","earnings UQ","35000","pounds sterling","196410"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Asian Other","LEO","earnings UQ","40500","pounds sterling","2660"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Black Other","LEO","earnings UQ","31400","pounds sterling","510"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Mixed Other","LEO","earnings UQ","36900","pounds sterling","1825"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Arab","LEO","earnings UQ","N/A","pounds sterling","?"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Bangladeshi","LEO","earnings UQ","32500","pounds sterling","2160"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Black Caribbean","LEO","earnings UQ","31400","pounds sterling","3030"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Chinese","LEO","earnings UQ","42300","pounds sterling","1570"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Indian","LEO","earnings UQ","41600","pounds sterling","8755"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Not known","LEO","earnings UQ","35000","pounds sterling","4380"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Other","LEO","earnings UQ","36500","pounds sterling","1780"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","Pakistani","LEO","earnings UQ","31800","pounds sterling","4940"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White","LEO","earnings UQ","35000","pounds sterling","153525"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White and Asian","LEO","earnings UQ","39700","pounds sterling","1880"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White and Black African","LEO","earnings UQ","34700","pounds sterling","625"
"Earnings of graduates after higher education","2017/2018","2011/2012","5","White and Black Caribbean","LEO","earnings UQ","32100","pounds sterling","1685"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Black African","LEO","earnings LQ","18200","pounds sterling","3580"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","All","LEO","earnings LQ","19300","pounds sterling","160310"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Asian Other","LEO","earnings LQ","20800","pounds sterling","1770"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Black Other","LEO","earnings LQ","15700","pounds sterling","430"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Mixed Other","LEO","earnings LQ","19700","pounds sterling","1160"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Bangladeshi","LEO","earnings LQ","17200","pounds sterling","1500"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Black Caribbean","LEO","earnings LQ","18600","pounds sterling","2160"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Chinese","LEO","earnings LQ","21900","pounds sterling","1380"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Indian","LEO","earnings LQ","21200","pounds sterling","8085"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Not known","LEO","earnings LQ","16800","pounds sterling","5840"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Other","LEO","earnings LQ","17200","pounds sterling","1175"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Pakistani","LEO","earnings LQ","13900","pounds sterling","3810"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White","LEO","earnings LQ","19700","pounds sterling","127080"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White and Asian","LEO","earnings LQ","21900","pounds sterling","1230"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White and Black African","LEO","earnings LQ","19700","pounds sterling","350"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White and Black Caribbean","LEO","earnings LQ","19300","pounds sterling","755"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Black African","LEO","earnings median","29200","pounds sterling","3580"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","All","LEO","earnings median","31000","pounds sterling","160310"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Asian Other","LEO","earnings median","34700","pounds sterling","1770"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Black Other","LEO","earnings median","27900","pounds sterling","430"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Mixed Other","LEO","earnings median","32100","pounds sterling","1160"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Bangladeshi","LEO","earnings median","28500","pounds sterling","1500"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Black Caribbean","LEO","earnings median","28500","pounds sterling","2160"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Chinese","LEO","earnings median","33600","pounds sterling","1380"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Indian","LEO","earnings median","33900","pounds sterling","8085"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Not known","LEO","earnings median","28100","pounds sterling","5840"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Other","LEO","earnings median","31400","pounds sterling","1175"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Pakistani","LEO","earnings median","25600","pounds sterling","3810"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White","LEO","earnings median","31000","pounds sterling","127080"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White and Asian","LEO","earnings median","34700","pounds sterling","1230"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White and Black African","LEO","earnings median","31400","pounds sterling","350"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White and Black Caribbean","LEO","earnings median","31000","pounds sterling","755"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Black African","LEO","earnings UQ","41200","pounds sterling","3580"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","All","LEO","earnings UQ","43400","pounds sterling","160310"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Asian Other","LEO","earnings UQ","51500","pounds sterling","1770"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Black Other","LEO","earnings UQ","39100","pounds sterling","430"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Mixed Other","LEO","earnings UQ","47400","pounds sterling","1160"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Bangladeshi","LEO","earnings UQ","42300","pounds sterling","1500"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Black Caribbean","LEO","earnings UQ","38000","pounds sterling","2160"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Chinese","LEO","earnings UQ","51500","pounds sterling","1380"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Indian","LEO","earnings UQ","51100","pounds sterling","8085"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Not known","LEO","earnings UQ","39400","pounds sterling","5840"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Other","LEO","earnings UQ","46000","pounds sterling","1175"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","Pakistani","LEO","earnings UQ","38700","pounds sterling","3810"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White","LEO","earnings UQ","43400","pounds sterling","127080"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White and Asian","LEO","earnings UQ","51100","pounds sterling","1230"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White and Black African","LEO","earnings UQ","45600","pounds sterling","350"
"Earnings of graduates after higher education","2017/2018","2006/2007","10","White and Black Caribbean","LEO","earnings UQ","41600","pounds sterling","755"
