"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","259"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","2,923"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","879"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","169"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","107,751"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","89,319"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","84,149"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","5,170"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,212"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","7,857"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","3,515"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","632"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","19,076"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","13,582"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","12,784"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","40","798"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","308"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","3,366"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","1,116"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","216"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","120,628"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","99,277"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","93,443"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","4","5,834"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","1,354"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","9,134"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","4,066"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","727"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","21,975"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","15,523"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","14,573"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","41","950"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","40","345"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","3,868"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","1,372"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","273"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","134,765"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","110,075"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","103,599"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","4","6,476"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,528"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","10,310"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","4,710"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","845"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","25,967"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","18,033"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","16,877"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","41","1,156"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","39","397"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","4,649"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","1,746"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","327"
