"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Note"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","12","504"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","?","86","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","6,608"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","12","6,153"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","12","5,884"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","8","269"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","32","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","12","147"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","14","101"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","19","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","29,344"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","24,681"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","23,364"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","1,317"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","16","316"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","2,356"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","23","897"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","157"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","23","6,840"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","21","5,319"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","22","4,984"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","20","335"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","99","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","43","866"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","29","292"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","52","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","13","15,896"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","13","13,209"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","13","12,496"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","12","713"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","13","185"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","22","1,343"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","19","504"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","?","86","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","22","6,608"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","22","6,153"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","22","5,884"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","21","269"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","32","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","21","147"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","28","101"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","19","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","29,344"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","24,681"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","23,364"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","1,317"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","23","316"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","2,356"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","897"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","157"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","20","6,840"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","18","5,319"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","18","4,984"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","22","335"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","99","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","37","866"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","37","292"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","52","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","15,896"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","13,209"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","12,496"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","713"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","20","185"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","19","1,343"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","23","504"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","?","86","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","6,608"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","6,153"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","5,884"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","269"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","32","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","10","147"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","30","101"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","19","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","20","29,344"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","20","24,681"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","23,364"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","21","1,317"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","316"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","2,356"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","897"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","41","157"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","29","6,840"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","28","5,319"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","28","4,984"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","28","335"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","99","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","48","866"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","45","292"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","52","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","18","15,896"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","17","13,209"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","17","12,496"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","19","713"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","25","185"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","28","1,343"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","30","504"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","?","86","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","19","6,608"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","19","6,153"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","19","5,884"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","18","269"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","32","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","19","147"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","36","101"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","19","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","33,019"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","27,409"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","25,918"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","1,491"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","369"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","2,792"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","1,075"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","193"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","12","8,017"," "
