"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Note"
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","76,252",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","65,713",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","62,168",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","3,545",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","746",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","4,929",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","1,905",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","335",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","16,149",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","11,644",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","10,969",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","675",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","312",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","2,738",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","963",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","182",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","86,481",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","73,219",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","69,201",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","4,018",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","972",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","5,988",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","2,602",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","469",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","15,009",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","10,956",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","10,370",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","586",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","216",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","2,643",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","754",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","133",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","83,194",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","71,201",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","67,376",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","3,825",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","829",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","5,447",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","2,169",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","400",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","18,296",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","12,974",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","12,195",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","779",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","22","359",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","3,184",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","1,187",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","202",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","96,021",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","80,569",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","75,997",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","4,572",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,085",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","6,887",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","3,040",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","551",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","16,685",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","12,045",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","11,385",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","660",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","255",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","2,980",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","892",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","24","173",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","92,032",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","78,093",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","73,764",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","4,329",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","929",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","6,225",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","2,558",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","467",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","20,674",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","14,521",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","13,618",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","903",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","22","411",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","3,642",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","23","1,374",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","21","257",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","107,664",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","89,717",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","84,521",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","5,196",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,232",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","7,821",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","3,577",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","632",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","19,207",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","13,687",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","12,898",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","789",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","295",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","3,490",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","1,070",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","223",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","102,938",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","86,798",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","81,911",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","4,887",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","1,061",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","7,014",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","3,023",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","517",""
