"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","126"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","95,899"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","80,334"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","75,750"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","4,584"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","1,089"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","6,842"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","3,056"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","557"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","16,802"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","12,145"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","11,507"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","638"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","247"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","3,022"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","868"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","24","167"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","107,650"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","89,633"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","84,425"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","5,208"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","1,242"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","7,777"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","3,560"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","642"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","19,219"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","13,651"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","12,887"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","764"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","285"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","3,528"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","1,083"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","213"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","120,629"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","99,719"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","93,876"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","5,843"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","1,368"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","9,052"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","4,125"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","733"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","21,966"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","15,467"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","14,521"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","42","946"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","333"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","4,013"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","1,320"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","40","273"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","134,686"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","110,501"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","104,031"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","6,470"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","1,521"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","10,223"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","4,776"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","849"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","26,025"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","17,979"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","16,813"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","42","1,166"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","406"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","4,791"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","1,690"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","328"
