"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","28"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","14","174"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","16","106"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","19"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","17","32,976"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","16","27,289"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","17","25,797"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","15","1,492"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","20","366"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","28","2,755"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","26","1,075"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","25","190"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","22","7,848"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","21","5,966"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","21","5,579"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","16","387"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","23","119"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","40","1,012"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","33","370"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","?","66"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","13","18,016"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","13","14,734"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","13","13,905"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","12","829"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","18","219"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","22","1,569"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","22","599"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","22","105"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","21","7,112"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","22","6,589"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","22","6,313"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","24","276"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","28"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","24","174"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","29","106"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","19"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","13","32,976"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","12","27,289"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","12","25,797"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","14","1,492"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","26","366"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","26","2,755"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","29","1,075"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","28","190"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","20","7,848"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","18","5,966"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","18","5,579"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","16","387"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","34","119"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","35","1,012"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","36","370"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","?","66"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","12","18,016"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","11","14,734"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","11","13,905"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","14","829"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","24","219"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","21","1,569"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","25","599"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","25","105"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","7,112"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","6,589"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","6,313"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","13","276"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","28"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","17","174"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","31","106"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","19"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","20","32,976"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","19","27,289"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","19","25,797"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","23","1,492"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","29","366"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","36","2,755"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","41","1,075"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","39","190"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","29","7,848"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","27","5,966"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","27","5,579"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","27","387"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","36","119"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","49","1,012"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","50","370"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","?","66"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","18","18,016"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","17","14,734"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","16","13,905"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","21","829"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","27","219"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","31","1,569"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","36","599"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","34","105"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","19","7,112"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","19","6,589"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","19","6,313"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","23","276"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","28"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","23","174"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","39","106"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","19"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","9","36,469"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","8","29,887"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","8","28,214"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","6","1,673"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","9","407"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","16","3,121"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","16","1,268"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","10","230"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","10","8,944"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","9","6,722"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","10","6,288"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","6","434"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","8","137"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","23","1,160"
