"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Age","Age Bracket Type","Employer / non-employer","UK Nation","Sector","Value","Value_type","Value_note","Denominator","Numerator"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","90.2"," %","","611314","551617"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","89.7"," %","","335654","301219"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","86.5"," %","","248554","215115"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","82.7"," %","","308241","254828"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","76.4"," %","","243407","185951"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","80"," %","","253607","202924"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","All","5.1"," %","","4079814","209415"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","England","All","5.7"," %","","3591441","204913"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","Scotland","All","1.5"," %","","245066","3711"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","Wales","All","0"," %","","158319","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","0.9"," %","","83481","710"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","0.3"," %","","121932","367"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","2.6"," %","","187660","4794"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","3.1"," %","","802172","24924"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","5.5"," %","","279639","15467"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","5"," %","","236912","11862"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","3.7"," %","","54404","1997"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","10.5"," %","","265702","28031"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","8"," %","","128255","10240"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","4.4"," %","","611314","27163"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","7"," %","","335654","23652"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","8"," %","","248554","19762"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","5.8"," %","","308241","17748"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","3.9"," %","","243407","9406"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","5.5"," %","","253607","13864"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","All","6.8"," %","","4079814","276632"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","England","All","6.4"," %","","3591441","231560"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","Scotland","All","8.8"," %","","245066","21662"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","Wales","All","4.6"," %","","158319","7251"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","19.2"," %","","83481","16062"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","6.9"," %","","121932","8451"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","5.7"," %","","187660","10756"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","3.2"," %","","802172","25908"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","4.9"," %","","279639","13632"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","4.5"," %","","236912","10742"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","5.6"," %","","54404","3057"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","3.5"," %","","265702","9429"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","13.2"," %","","128255","16980"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","5.3"," %","","611314","32534"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","3.2"," %","","335654","10783"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","5.5"," %","","248554","13677"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","11.6"," %","","308241","35665"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","19.7"," %","","243407","48050"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","14.5"," %","","253607","36820"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","All","80"," %","","1271910","1017958"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","England","All","79.6"," %","","1094894","871735"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","Scotland","All","83.1"," %","","92581","76978"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","Wales","All","79.9"," %","","53199","42489"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","85.4"," %","","32504","27767"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","91.9"," %","","60576","55658"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","86"," %","","86803","74687"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","88.9"," %","","153933","136837"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","83.3"," %","","242005","201506"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","75.6"," %","","37378","28243"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","81.8"," %","","128043","104680"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","73.5"," %","","72865","53546"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","79.9"," %","","60489","48328"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","80.6"," %","","180778","145754"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","82.3"," %","","106416","87609"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","63.4"," %","","18996","12052"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","57.6"," %","","62391","35935"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","58.5"," %","","24958","14606"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","64.7"," %","","69048","44686"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","All","5.3"," %","","1271910","66934"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","England","All","5.9"," %","","1094894","64541"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","Scotland","All","1.5"," %","","92581","1425"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","Wales","All","1"," %","","53199","553"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","1.5"," %","","32504","477"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","0.4"," %","","60576","270"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","3.3"," %","","86803","2888"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","3.5"," %","","153933","5324"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","7.5"," %","","242005","18042"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","6.2"," %","","37378","2316"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","4.3"," %","","128043","5483"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","10.6"," %","","72865","7754"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","7.4"," %","","60489","4463"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","6.1"," %","","180778","11029"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","3.6"," %","","106416","3804"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","5.6"," %","","18996","1063"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","5.4"," %","","62391","3345"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","6"," %","","24958","1495"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","2.1"," %","","69048","1424"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","All","14.7"," %","","1271910","187018"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","England","All","14.5"," %","","1094894","158618"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","Scotland","All","15.3"," %","","92581","14178"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","Wales","All","19.1"," %","","53199","10156"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","13.1"," %","","32504","4261"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","7.7"," %","","60576","4648"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","10.6"," %","","86803","9229"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","7.6"," %","","153933","11772"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","9.3"," %","","242005","22456"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","18.2"," %","","37378","6819"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","14"," %","","128043","17880"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","15.9"," %","","72865","11565"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","12.7"," %","","60489","7697"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","13.3"," %","","180778","23995"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","14.1"," %","","106416","15003"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","31"," %","","18996","5882"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","37"," %","","62391","23111"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","35.5"," %","","24958","8857"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2015","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","33.2"," %","","69048","22938"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","All","90.8"," %","","4172732","3789690"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","England","All","90.1"," %","","3683012","3317268"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","Scotland","All","96.4"," %","","229951","221603"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","Wales","All","98.5"," %","","167745","165184"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","93.1"," %","","90254","84053"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","96.6"," %","","120821","116697"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","96.4"," %","","177777","171364"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","95.1"," %","","816736","777031"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","91.3"," %","","302736","276451"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","90.4"," %","","274314","248101"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","93.6"," %","","56395","52786"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","84.2"," %","","262172","220833"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","88.9"," %","","132654","117941"
