"Ethnicity","Geography","% officers","% population","Number of police officers"
"Other inc Chinese","West Mercia","0.1","0.5","2"
"Other inc Chinese","West Midlands","0.2","2.3","12"
"Other inc Chinese","West Yorkshire","0.3","1.4","13"
"Other inc Chinese","Wiltshire","0.2","0.6","2"
"Unknown","All - excluding BTP","N/A","N/A","3,148"
"Unknown","Avon & Somerset","N/A","N/A","246"
"Unknown","Bedfordshire","N/A","N/A","13"
"Unknown","British Transport Police","N/A","N/A","85"
"Unknown","Cambridgeshire","N/A","N/A","15"
"Unknown","Cheshire","N/A","N/A","75"
"Unknown","Cleveland","N/A","N/A","22"
"Unknown","Cumbria","N/A","N/A","25"
"Unknown","Derbyshire","N/A","N/A","5"
"Unknown","Devon & Cornwall","N/A","N/A","623"
"Unknown","Dorset","N/A","N/A","94"
"Unknown","Durham","N/A","N/A","2"
"Unknown","Dyfed-Powys","N/A","N/A","230"
"Unknown","Essex","N/A","N/A","58"
"Unknown","Gloucestershire","N/A","N/A","35"
"Unknown","Greater Manchester","N/A","N/A","38"
"Unknown","Gwent","N/A","N/A","40"
"Unknown","Hampshire","N/A","N/A","98"
"Unknown","Hertfordshire","N/A","N/A","17"
"Unknown","Humberside","N/A","N/A","12"
"Unknown","Kent","N/A","N/A","54"
"Unknown","Lancashire","N/A","N/A","139"
"Unknown","Leicestershire","N/A","N/A","47"
"Unknown","Lincolnshire","N/A","N/A","9"
"Unknown","London, City of","N/A","N/A","3"
"Unknown","Merseyside","N/A","N/A","44"
"Unknown","Metropolitan Police","N/A","N/A","570"
"Unknown","Norfolk","N/A","N/A","26"
"Unknown","North Wales","N/A","N/A","26"
"Unknown","North Yorkshire","N/A","N/A","16"
"Unknown","Northamptonshire","N/A","N/A","50"
"Unknown","Northumbria","N/A","N/A","94"
"Unknown","Nottinghamshire","N/A","N/A","27"
"Unknown","South Wales","N/A","N/A","20"
"Unknown","South Yorkshire","N/A","N/A","14"
"Unknown","Staffordshire","N/A","N/A","6"
"Unknown","Suffolk","N/A","N/A","17"
"Unknown","Surrey","N/A","N/A","67"
"Unknown","Sussex","N/A","N/A","139"
"Unknown","Thames Valley","N/A","N/A","33"
"Unknown","Warwickshire","N/A","N/A","12"
"Unknown","West Mercia","N/A","N/A","15"
"Unknown","West Midlands","N/A","N/A","54"
"Unknown","West Yorkshire","N/A","N/A","11"
"Unknown","Wiltshire","N/A","N/A","9"
