"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Kensington and Chelsea","89","851","92","34","88","141","100","4","85","150","89","325"
"Kent","76","13,153","90","576","90","386","92","44","79","724","75","11,198"
"Kingston upon Hull, City of","78","2,422","91","42","68","42","100","6","78","102","78","2,164"
"Kingston upon Thames","84","1,505","89","272","67","39","92","23","84","138","82","882"
"Kirklees","76","4,007","79","1,130","75","85","92","11","68","233","76","2,501"
"Knowsley","75","1,290","98","43","94","15","100","5","83","33","74","1,190"
"Lambeth","84","2,479","86","121","81","1,049","87","13","85","359","85","782"
"Lancashire","78","10,679","80","1,287","76","54","97","32","80","360","78","8,871"
"Leeds","75","6,706","79","849","75","504","95","52","75","393","74","4,756"
"Leicester","77","3,432","83","1,579","78","380","92","12","75","236","68","1,097"
"Leicestershire","79","5,965","90","517","85","68","94","30","78","269","78","5,028"
"Lewisham","81","2,733","87","220","80","1,061","89","40","82","385","79","872"
"Lincolnshire","74","5,709","93","65","74","26","100","16","73","172","74","5,372"
"Liverpool","75","3,710","87","153","77","191","88","63","77","193","75","2,970"
"Luton","77","2,393","81","1,171","77","263","100","4","79","201","72","712"
"Manchester","78","5,127","77","1,173","83","1,015","87","46","79","438","77","2,110"
"Medway","72","2,361","87","130","88","180","89","8","78","174","69","1,835"
"Merton","84","1,943","91","500","83","283","89","17","84","198","82","889"
"Middlesbrough","77","1,378","86","150","75","24","100","2","84","74","76","1,100"
"Milton Keynes","79","2,797","90","397","83","477","86","18","83","229","76","1,615"
"Newcastle upon Tyne","81","2,242","85","348","81","115","92","22","84","98","80","1,599"
"Newham","88","4,027","91","1,912","88","975","100","14","90","260","79","603"
"Norfolk","71","6,211","85","99","77","67","73","22","76","197","70","5,728"
"North East Lincolnshire","76","1,441","93","13","100","5","100","2","84","48","76","1,357"
"North Lincolnshire","77","1,501","84","64","43","3","N/A","N/A","76","37","77","1,375"
"North Somerset","74","1,774","85","22","100","8","75","3","76","58","74","1,671"
"North Tyneside","79","1,750","85","51","93","25","100","7","79","49","78","1,611"
"North Yorkshire","74","4,340","92","79","57","12","92","11","74","110","74","4,091"
"Northamptonshire","75","6,743","84","351","80","378","93","26","75","380","74","5,540"
"Northumberland","79","2,636","87","47","100","6","50","1","85","46","79","2,525"
"Nottingham","77","2,653","83","489","80","300","100","17","75","339","74","1,421"
"Nottinghamshire","78","7,059","90","245","86","77","77","30","79","340","77","6,302"
"Oldham","79","2,648","82","937","83","90","100","7","82","120","77","1,457"
"Oxfordshire","77","5,432","81","330","77","133","80","20","76","332","77","4,501"
"Peterborough","71","1,964","77","394","78","87","83","5","69","115","69","1,304"
"Plymouth","75","2,174","88","28","82","23","94","15","76","66","75","2,004"
"Poole","74","1,042","92","34","67","6","N/A","N/A","82","54","73","935"
"Portsmouth","72","1,546","86","127","81","55","90","9","80","77","70","1,237"
"Reading","77","1,254","84","274","82","138","80","4","72","125","74","682"
"Redbridge","84","3,277","87","1,817","80","353","89","17","82","282","79","730"
"Redcar and Cleveland","82","1,296","67","6","100","3","N/A","N/A","84","27","82","1,253"
"Richmond upon Thames","90","1,922","89","149","94","61","100","16","90","199","90","1,428"
"Rochdale","79","2,287","82","591","84","102","80","4","77","113","78","1,445"
"Rotherham","74","2,415","82","215","83","44","75","3","70","64","74","2,064"
"Rutland","82","322","80","4","0","0","100","1","86","12","82","300"
"Salford","80","2,272","93","84","86","131","86","6","83","179","79","1,772"
"Sandwell","78","3,367","84","1,088","83","367","100","13","76","276","74","1,532"
"Sefton","81","2,356","91","32","91","10","100","3","82","49","81","2,237"
"Sheffield","74","4,511","83","625","78","299","93","26","72","323","73","3,075"
"Shropshire","78","2,291","96","24","40","2","100","6","83","64","78","2,162"
"Slough","81","1,834","89","964","81","157","100","1","76","161","69","457"
"Solihull","80","2,119","85","247","83","45","100","6","82","191","78","1,598"
"Somerset","74","4,137","85","55","90","19","84","16","75","108","74","3,907"
"South Gloucestershire","79","2,452","90","100","90","46","100","12","83","134","78","2,130"
"South Tyneside","80","1,297","87","52","90","9","100","2","88","29","80","1,187"
"Southampton","77","1,995","83","266","85","78","83","10","77","135","76","1,473"
"Southend-on-Sea","81","1,693","88","128","89","81","75","9","78","101","80","1,336"
"Southwark","81","2,570","88","154","81","1,146","82","32","79","275","81","742"
"St. Helens","78","1,595","76","19","64","7","100","5","74","31","78","1,524"
"Staffordshire","78","7,375","77","300","86","63","92","22","79","241","78","6,690"
"Stockport","80","2,665","87","200","76","35","89","16","81","158","79","2,209"
"Stockton-on-Tees","80","1,922","87","104","91","31","91","10","82","45","79","1,719"
"Stoke-on-Trent","74","2,274","77","375","85","86","94","16","73","111","73","1,658"
"Suffolk","72","5,581","86","126","77","47","67","6","77","345","72","4,947"
"Sunderland","80","2,541","85","121","89","24","69","9","82","41","79","2,335"
"Surrey","82","9,923","88","764","83","159","95","53","84","601","81","8,167"
"Sutton","86","1,957","95","410","86","154","93","26","86","191","83","1,127"
"Swindon","79","2,196","90","270","87","77","100","9","78","122","77","1,693"
"Tameside","78","2,192","82","274","84","52","75","9","83","103","77","1,722"
"Telford and Wrekin","79","1,766","84","107","76","64","100","7","82","102","79","1,481"
"Thurrock","79","1,860","88","107","90","332","100","16","81","112","75","1,237"
"Torbay","73","1,014","81","13","67","2","100","5","80","35","73","950"
"Tower Hamlets","84","2,719","87","1,795","79","278","95","18","77","158","78","358"
"Trafford","86","2,513","92","390","84","104","97","37","85","175","85","1,714"
"Wakefield","74","2,856","79","132","87","41","91","10","86","111","73","2,539"
"Walsall","77","2,775","85","731","82","152","89","17","81","182","74","1,656"
"Waltham Forest","82","2,644","84","740","80","511","97","36","86","302","80","960"
"Wandsworth","82","1,997","87","377","78","468","100","11","80","249","84","815"
"Warrington","82","2,067","90","64","79","11","67","8","85","58","82","1,907"
"Warwickshire","79","4,807","91","309","75","63","100","18","82","227","78","4,130"
"West Berkshire","76","1,348","90","60","75","15","88","7","82","75","75","1,175"
"West Sussex","76","6,628","87","368","71","100","95","20","83","343","75","5,686"
"Westminster","87","1,236","91","206","88","213","88","23","88","138","86","313"
"Wigan","81","2,908","89","49","81","30","83","10","74","60","82","2,727"
"Wiltshire","76","3,909","90","71","71","42","78","7","80","143","75","3,559"
"Windsor and Maidenhead","81","1,230","85","198","93","13","86","6","81","102","80","880"
"Wirral","76","2,846","85","97","82","14","100","17","79","92","75","2,606"
"Wokingham","83","1,636","95","262","78","51","100","20","81","101","80","1,182"
"Wolverhampton","81","2,622","87","649","83","340","100","7","79","298","78","1,287"
"Worcestershire","74","4,577","79","189","69","18","90","9","73","165","73","4,153"
"York","77","1,466","85","34","92","11","89","8","75","39","77","1,355"
