"Measure","Ethnic group","Year","Household type","Value","value_label","Source","Geography","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Cohab, non-dependent children","0.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Cohab, non-dependent children","0.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Cohab, non-dependent children","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Lone parent, Dependent children","6.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Lone parent, Dependent children","6.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Lone parent, Dependent children","4.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Lone parent, Dependent children","20.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Lone parent, Dependent children","6.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Lone parent, non-dependent children","3.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Lone parent, non-dependent children","3.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Lone parent, non-dependent children","5.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Lone parent, non-dependent children","4.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Lone parent, non-dependent children","2.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Other, with dependent children","2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Other, with dependent children","1.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Other, with dependent children","1.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Other, with dependent children","5.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Other, with dependent children","5.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","All full-time students","0.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","All full-time students","0.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","All full-time students","0.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","All full-time students","0.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","All full-time students","1.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Other, All pensioners","0.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Other, All pensioners","0.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Other, All pensioners","0.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Other, All pensioners","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Any other household type","4.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Any other household type","3.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Any other household type","5.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Any other household type","4.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Any other household type","13.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Single pensioner","4.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Single pensioner","4.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Single pensioner","2.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Single pensioner","4.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Single pensioner","4.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Single non-pensioner","31","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Single non-pensioner","32.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Single non-pensioner","31.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Single non-pensioner","30.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Single non-pensioner","29","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Pensioner couple","1.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Pensioner couple","1.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Pensioner couple","0.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Pensioner couple","2.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Pensioner couple","1.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Married, no children","5.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Married, no children","3.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Married, no children","4.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Married, no children","7.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Married, no children","7.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Married, Dependent children","12","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Married, Dependent children","8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Married, Dependent children","13.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Married, Dependent children","15.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Married, Dependent children","13.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Married, non-dependent children","2.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Married, non-dependent children","1.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Married, non-dependent children","1.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Married, non-dependent children","2.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Married, non-dependent children","2.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Cohab, no children","5.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Cohab, no children","4.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Cohab, no children","5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Cohab, no children","7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Cohab, no children","6.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Cohab, Dependent children","5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Cohab, Dependent children","6.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Cohab, Dependent children","5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Cohab, Dependent children","4.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Cohab, Dependent children","4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Cohab, non-dependent children","0.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Cohab, non-dependent children","0.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Cohab, non-dependent children","0.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Cohab, non-dependent children","0.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Cohab, non-dependent children","0.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Lone parent, Dependent children","16.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Lone parent, Dependent children","22.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Lone parent, Dependent children","17.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Lone parent, Dependent children","9.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Lone parent, Dependent children","12.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Lone parent, non-dependent children","2.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Lone parent, non-dependent children","3.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Lone parent, non-dependent children","3.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Lone parent, non-dependent children","2.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Lone parent, non-dependent children","2.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Other, with dependent children","3.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Other, with dependent children","3.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Other, with dependent children","5.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Other, with dependent children","3.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Other, with dependent children","4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","All full-time students","1.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","All full-time students","0.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","All full-time students","1.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","All full-time students","2.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","All full-time students","1.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Other, All pensioners","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Other, All pensioners","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Other, All pensioners","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Other, All pensioners","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed","2011","Any other household type","7.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black Caribbean","2011","Any other household type","5.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Black African","2011","Any other household type","7.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - White and Asian","2011","Any other household type","8.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Mixed - Other","2011","Any other household type","9.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Single pensioner","2.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Single pensioner","3.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Single pensioner","1.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Single pensioner","1.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Single pensioner","3.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Single pensioner","2.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Single non-pensioner","14.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Single non-pensioner","12.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Single non-pensioner","9.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Single non-pensioner","9.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Single non-pensioner","25","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Single non-pensioner","18.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Pensioner couple","2.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Pensioner couple","3.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Pensioner couple","1.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Pensioner couple","0.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Pensioner couple","1.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Pensioner couple","1.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Married, no children","8.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Married, no children","11.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Married, no children","5.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Married, no children","4.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Married, no children","10.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Married, no children","9.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Married, Dependent children","31.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Married, Dependent children","29.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Married, Dependent children","38.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Married, Dependent children","42.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Married, Dependent children","17.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Married, Dependent children","29.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Married, non-dependent children","6.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Married, non-dependent children","9.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Married, non-dependent children","5.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Married, non-dependent children","4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Married, non-dependent children","5.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Married, non-dependent children","5.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Cohab, no children","1.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Cohab, no children","1.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Cohab, no children","0.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Cohab, no children","0.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Cohab, no children","4.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Cohab, no children","2.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Cohab, Dependent children","1.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Cohab, Dependent children","1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Cohab, Dependent children","1.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Cohab, Dependent children","1.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Cohab, Dependent children","2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Cohab, Dependent children","1.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Cohab, non-dependent children","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Cohab, non-dependent children","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Cohab, non-dependent children","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Cohab, non-dependent children","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Cohab, non-dependent children","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Cohab, non-dependent children","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Lone parent, Dependent children","5.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Lone parent, Dependent children","3.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Lone parent, Dependent children","8.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Lone parent, Dependent children","8.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Lone parent, Dependent children","4.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Lone parent, Dependent children","5.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Lone parent, non-dependent children","3.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Lone parent, non-dependent children","3.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Lone parent, non-dependent children","3.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Lone parent, non-dependent children","3.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Lone parent, non-dependent children","2.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Lone parent, non-dependent children","2.7","Row%","Census","England and Wales","","","","","","","","","",""
