"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Denominator"," Numerator ","Value"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,264,860","349,980","8.4"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,264,860","258,100","6.2"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,264,860","95,430","2.3"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,264,860","81,280","1.9"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,264,860","87,070","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,264,860","3,393,000","81.2"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,216,610","346,860","8.4"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,216,610","267,800","6.5"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,216,610","103,840","2.5"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,216,610","78,230","1.9"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,216,610","77,840","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,216,610","3,342,040","80.7"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,320,270","340,210","8.1"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,320,270","272,870","6.5"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,320,270","111,700","2.6"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,320,270","80,140","1.9"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,320,270","94,920","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,320,270","3,420,430","81.0"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,913,520","306,900","8.0"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,913,520","242,300","6.3"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,913,520","106,660","2.8"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,913,520","74,580","1.9"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,913,520","87,090","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,913,520","3,095,990","80.9"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,576,860","289,230","8.2"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,576,860","228,440","6.5"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,576,860","102,010","2.9"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,576,860","71,980","2.0"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,576,860","63,300","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,576,860","2,821,900","80.3"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,274,890","271,500","8.5"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,274,890","206,750","6.5"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,274,890","95,240","3.0"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,274,890","68,330","2.1"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,274,890","73,290","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,274,890","2,559,790","80.0"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,152,110","271,760","8.8"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,152,110","206,600","6.7"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,152,110","94,650","3.1"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,152,110","72,720","2.4"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,152,110","58,120","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,152,110","2,448,260","79.1"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,062,010","276,510","9.2"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,062,010","202,730","6.8"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,062,010","95,450","3.2"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,062,010","77,630","2.6"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,062,010","59,000","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3,062,010","2,350,680","78.3"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2,924,260","276,260","9.6"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2,924,260","195,620","6.8"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2,924,260","96,650","3.4"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2,924,260","81,600","2.8"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2,924,260","59,910","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2,924,260","2,214,220","77.3"
