"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Age Bracket","Age Bracket Type","Employer / non-employer","UK Nation","Sector","Value","Value_type","Value_note","Denominator","Numerator"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","9.6"," %","","357275","34121"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","7.1"," %","","277270","19761"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","18.1"," %","","299100","54204"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","17.9"," %","","250900","44936"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","18.4"," %","","250175","46103"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","All","84.3"," %","","1359550","1146201"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","England","All","83.6"," %","","1175670","982959"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","Scotland","All","88.1"," %","","94640","83406"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","Wales","All","89.2"," %","","54115","48267"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","89.9"," %","","35135","31577"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","93.8"," %","","60400","56654"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","87.8"," %","","86740","76192"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","95.7"," %","","163445","156347"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","88.2"," %","","241100","212586"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","82.3"," %","","44680","36762"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","84.2"," %","","130300","109701"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","85"," %","","80000","67989"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","81.9"," %","","63945","52359"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","86.9"," %","","193155","167848"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","81.6"," %","","120475","98256"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","65.7"," %","","18915","12435"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","59.8"," %","","62550","37404"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","56.1"," %","","25165","14109"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","69.3"," %","","68685","47567"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","All","4"," %","","1359550","54831"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","England","All","4.4"," %","","1175670","51812"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","Scotland","All","2.6"," %","","94640","2484"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","Wales","All","0.5"," %","","54115","254"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","0.8"," %","","35135","281"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","0"," %","","60400","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","2.3"," %","","86740","1981"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","1.6"," %","","163445","2658"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","4.7"," %","","241100","11428"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","6.1"," %","","44680","2744"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","5.7"," %","","130300","7427"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","6.3"," %","","80000","5068"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","5.8"," %","","63945","3740"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","2.8"," %","","193155","5437"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","6.7"," %","","120475","8130"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","4"," %","","18915","747"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","3.7"," %","","62550","2320"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","5.9"," %","","25165","1477"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","2.4"," %","","68685","1673"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","All","11.7"," %","","1359550","158518"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","England","All","12"," %","","1175670","140899"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","Scotland","All","9.2"," %","","94640","8750"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","Wales","All","10.3"," %","","54115","5593"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","9.3"," %","","35135","3277"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","6.2"," %","","60400","3746"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","9.9"," %","","86740","8567"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","2.7"," %","","163445","4439"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","7.1"," %","","241100","17086"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","11.6"," %","","44680","5174"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","10.1"," %","","130300","13172"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","8.7"," %","","80000","6943"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","12.3"," %","","63945","7846"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","10.3"," %","","193155","19871"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","11.7"," %","","120475","14089"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","30.3"," %","","18915","5733"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","36.5"," %","","62550","22826"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","38.1"," %","","25165","9579"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","28.3"," %","","68685","19445"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","All","89.1"," %","","4278225","3813745"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","England","All","88.7"," %","","3801625","3370649"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","Scotland","All","93.7"," %","","235455","220701"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","Wales","All","94.5"," %","","144070","136080"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","88.9"," %","","97075","86314"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","94.6"," %","","130935","123847"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","88.8"," %","","201330","178767"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","92.9"," %","","821445","762748"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","83.8"," %","","313950","262973"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","95.6"," %","","277715","265385"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","83"," %","","52705","43759"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","88.4"," %","","279115","246802"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","91.6"," %","","136095","124642"
