"Measure","Measure_type","Ethnicity","Ethnicity_type","Time","Time_Type","Region","Age","Age_Type","Sex","Disability","Value","confidence_interval","Numerator","denominator","samp_size"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","Male","All","4.8","0.2","461200","9626500","44458"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","Male","Disabled","12.4","0.8","105000","849500","5996"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","Male","Non-disabled","4","0.2","353400","8731200","38205"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","Male","unknown","6.2","3","2900","45800","257"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","All","All","3.9","0.2","316500","8123600","62914"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","All","Disabled","8.1","0.4","108800","1350600","17263"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","All","Non-disabled","3.1","0.2","205500","6719200","45176"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","All","unknown","4","1.8","2200","53800","475"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","Female","All","3.4","0.2","130700","3789600","32972"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","Female","Disabled","7.4","0.5","50000","676200","9586"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","Female","Non-disabled","2.6","0.2","79600","3083700","23110"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","Female","unknown","3.6","2.2","1100","29700","276"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","Male","All","4.3","0.2","185700","4334000","29942"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","Male","Disabled","8.7","0.6","58800","674400","7677"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","Male","Non-disabled","3.5","0.2","125900","3635500","22066"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","50-64","16+","Male","unknown","4.6","2.9","1100","24100","199"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","All","All","2.2","0.1","24100","1106500","63281"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","All","Disabled","2.9","0.3","5000","170700","15703"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","All","Non-disabled","2.1","0.2","14200","683300","20800"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","All","unknown","1.9","0.2","4900","252500","26778"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","Female","All","1.8","0.1","7900","444600","33447"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","Female","Disabled","1.7","0.3","1200","69400","8423"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","Female","Non-disabled","2","0.3","5500","277100","10716"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","Female","unknown","1.3","0.2","1300","98100","14308"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","Male","All","2.4","0.2","16200","661800","29834"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","Male","Disabled","3.7","0.4","3800","101300","7280"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","Male","Non-disabled","2.2","0.3","8700","406100","10084"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","65+","16+","Male","unknown","2.4","0.3","3700","154400","12470"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","All","All","6.2","0.1","1971400","31639500","250300"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","All","Disabled","11.3","0.3","422400","3750800","50604"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","All","Non-disabled","5.6","0.1","1533100","27476000","171644"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","All","unknown","3.9","0.2","16000","412600","28052"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","Female","All","6","0.1","879900","14751400","131808"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","Female","Disabled","10.2","0.4","199500","1965200","28220"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","Female","Non-disabled","5.4","0.1","674900","12606800","88558"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","Female","unknown","3.1","0.3","5500","179400","15030"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","Male","All","6.5","0.1","1091500","16888100","118492"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","Male","Disabled","12.5","0.4","222900","1785600","22384"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","Male","Non-disabled","5.8","0.2","858100","14869300","83086"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","All","16+","Male","unknown","4.5","0.4","10400","233200","13022"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","East Midlands","All","16+","All","All","5.6","0.4","130900","2340100","12310"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","East Midlands","All","16+","All","Disabled","10.4","1.1","31300","300200","2718"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","East Midlands","All","16+","All","Non-disabled","4.9","0.4","98400","2023400","8967"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","East Midlands","All","16+","All","unknown","7.5","2.1","1200","16400","625"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","East of England","All","16+","All","All","5.2","0.3","160500","3082700","15703"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","East of England","All","16+","All","Disabled","8.7","1","32400","370800","3246"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","East of England","All","16+","All","Non-disabled","4.7","0.4","127000","2686400","11665"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","East of England","All","16+","All","unknown","4.7","1.5","1200","25500","792"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","London","All","16+","All","All","7","0.3","317800","4561000","21913"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","London","All","16+","All","Disabled","12.3","1","57700","470900","3921"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","London","All","16+","All","Non-disabled","6.4","0.4","258300","4027400","16376"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","London","All","16+","All","unknown","2.8","0.8","1800","62700","1616"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","North East","All","16+","All","All","8.5","0.4","108000","1266000","16913"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","North East","All","16+","All","Disabled","15.2","1.2","26200","171800","3702"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","North East","All","16+","All","Non-disabled","7.5","0.5","81300","1077800","10990"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","North East","All","16+","All","unknown","3","0.7","500","16400","2221"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","North West","All","16+","All","All","7.1","0.3","244100","3449200","30485"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","North West","All","16+","All","Disabled","12.3","0.8","52000","422100","6905"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","North West","All","16+","All","Non-disabled","6.3","0.3","188600","2984700","20364"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","North West","All","16+","All","unknown","8.1","0.9","3400","42500","3216"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Scotland","All","16+","All","All","6.2","0.3","169800","2728600","34007"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Scotland","All","16+","All","Disabled","13.3","0.8","40000","300600","6281"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Scotland","All","16+","All","Non-disabled","5.4","0.3","128200","2377200","22560"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Scotland","All","16+","All","unknown","3.1","0.5","1600","50800","5166"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","South East","All","16+","All","All","4.8","0.2","218200","4577300","29849"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","South East","All","16+","All","Disabled","9.4","0.8","49800","531800","5319"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","South East","All","16+","All","Non-disabled","4.2","0.3","165900","3989900","21791"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","South East","All","16+","All","unknown","4.4","0.8","2400","55600","2739"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","South West","All","16+","All","All","5.1","0.3","139600","2756600","20524"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","South West","All","16+","All","Disabled","7.6","0.8","26000","341200","3995"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","South West","All","16+","All","Non-disabled","4.7","0.3","112200","2373600","14179"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","South West","All","16+","All","unknown","3.2","0.7","1400","41800","2350"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Wales","All","16+","All","All","6.8","0.3","100100","1480600","29322"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Wales","All","16+","All","Disabled","12.5","0.8","25000","200100","6204"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Wales","All","16+","All","Non-disabled","6","0.3","74200","1241500","17642"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Wales","All","16+","All","unknown","2.3","0.4","900","39000","5476"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","West Midlands","All","16+","All","All","6.8","0.4","186600","2757600","19343"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","West Midlands","All","16+","All","Disabled","12.4","1","40300","324600","4106"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","West Midlands","All","16+","All","Non-disabled","6.1","0.4","145900","2400400","13258"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","West Midlands","All","16+","All","unknown","1","0.4","300","32600","1979"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Yorkshire and The Humber","All","16+","All","All","7.4","0.4","195900","2639900","19931"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Yorkshire and The Humber","All","16+","All","Disabled","13.1","1","41600","316900","4207"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Yorkshire and The Humber","All","16+","All","Non-disabled","6.7","0.4","153000","2293600","13852"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","Yorkshire and The Humber","All","16+","All","unknown","4.1","0.9","1200","29400","1872"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","All","All","25.3","2.9","59400","234900","2087"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","All","Disabled","19.4","10.2","2700","14000","145"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","All","Non-disabled","25.7","3.1","56700","220600","1932"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","Female","All","22.6","4.1","24700","109100","1011"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","Female","Disabled","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","Female","Non-disabled","23.4","4.3","23300","99500","925"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","Female","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","Male","All","27.6","4.2","34700","125800","1076"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","Male","Disabled","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","Male","Non-disabled","27.6","4.4","33400","121000","1007"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","16-24","16+","Male","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","All","All","6.7","0.9","97000","1452700","7687"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","All","Disabled","11.6","3.2","15700","135500","985"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","All","Non-disabled","6.2","0.9","81000","1310700","6660"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","Female","All","9.3","1.4","53800","581100","4084"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","Female","Disabled","13.1","4.4","7700","59000","568"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","Female","Non-disabled","8.8","1.5","45800","519600","3497"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","Female","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","Male","All","5","1.1","43300","871600","3603"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","Male","Disabled","10.4","4.6","7900","76500","417"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","Male","Non-disabled","4.4","1.1","35200","791100","3163"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","25-49","16+","Male","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","All","All","7","1.7","21100","300500","2143"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","All","Disabled","15.5","4.1","9100","59000","729"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","All","Non-disabled","4.9","1.8","11800","240300","1397"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","Female","All","7.1","2.4","8300","116900","1080"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","Female","Disabled","19.7","6","5000","25300","417"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","Female","Non-disabled","3.6","2.2","3300","91000","653"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","Female","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","Male","All","7","2.4","12800","183600","1063"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","Male","Disabled","12.3","5.8","4100","33600","312"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","Male","Non-disabled","5.7","2.6","8500","149300","744"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","50-64","16+","Male","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","All","All","6.5","2.2","1200","17700","1229"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","All","Disabled","12.3","4.8","300","2400","442"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","All","Non-disabled","4.9","3.6","400","8700","343"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","All","unknown","6.6","3.6","400","6700","444"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","Female","All","8","3.3","400","5100","639"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","Female","Disabled","22.6","8.2","300","1300","251"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","Female","Non-disabled","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","Female","unknown","8.9","5.9","100","1200","224"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","Male","All","5.9","3","800","12700","590"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","Male","Disabled","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","Male","Non-disabled","6.9","5.9","400","6100","179"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","65+","16+","Male","unknown","6.1","5","300","5400","220"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","All","All","8.9","0.8","178700","2005800","13146"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","All","Disabled","13.2","2.2","27800","210900","2301"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","All","Non-disabled","8.4","0.8","149900","1780200","10332"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","All","unknown","6.3","3.3","900","14700","513"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","Female","All","10.7","1.2","87100","812100","6814"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","Female","Disabled","15.2","3.1","14400","95000","1316"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","Female","Non-disabled","10.2","1.3","72400","712700","5239"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","Female","unknown","6.2","4.7","300","4400","259"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","Male","All","7.7","1","91600","1193700","6332"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","Male","Disabled","11.6","3.2","13400","115900","985"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","Male","Non-disabled","7.3","1.1","77500","1067500","5093"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","All","All","16+","Male","unknown","6.3","4.7","600","10200","254"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","East Midlands","All","16+","All","All","9.1","2.9","11800","129600","941"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","East Midlands","All","16+","All","Disabled","10.1","6.7","1600","16200","191"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","East Midlands","All","16+","All","Non-disabled","8.9","3.3","10000","112400","707"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","East Midlands","All","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","East of England","All","16+","All","All","6.4","2.6","8400","131600","850"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","East of England","All","16+","All","Disabled","6.7","6.2","1000","14800","153"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","East of England","All","16+","All","Non-disabled","6.4","2.9","7400","116100","675"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","East of England","All","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","London","All","16+","All","All","7.8","1.4","57300","730800","3602"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","London","All","16+","All","Disabled","9.1","3.5","7100","78200","666"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","London","All","16+","All","Non-disabled","7.7","1.6","50000","645800","2771"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","London","All","16+","All","unknown","1.9","3.3","100","6800","165"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","North East","All","16+","All","All","8.8","4.3","2700","30300","408"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","North East","All","16+","All","Disabled","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","North East","All","16+","All","Non-disabled","7.5","4.4","2100","27600","337"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","North East","All","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","North West","All","16+","All","All","10.8","2.3","20200","187600","1777"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","North West","All","16+","All","Disabled","16.5","6.4","3300","20200","323"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","North West","All","16+","All","Non-disabled","10","2.5","16600","165700","1392"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","North West","All","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Scotland","All","16+","All","All","8.6","4.2","5200","60500","425"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Scotland","All","16+","All","Disabled","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Scotland","All","16+","All","Non-disabled","7.1","4.3","3900","55300","348"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Scotland","All","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","South East","All","16+","All","All","6.6","1.8","14500","221200","1757"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","South East","All","16+","All","Disabled","13.1","6.8","2400","18300","238"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","South East","All","16+","All","Non-disabled","6","1.9","12000","201500","1431"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","South East","All","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","South West","All","16+","All","All","12","5.2","7500","62300","380"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","South West","All","16+","All","Disabled","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","South West","All","16+","All","Non-disabled","12.4","5.6","7100","57600","330"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","South West","All","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Wales","All","16+","All","All","5","3.7","1200","23600","339"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Wales","All","16+","All","Disabled","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Wales","All","16+","All","Non-disabled","5.1","4","1100","21200","282"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Wales","All","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","West Midlands","All","16+","All","All","10.2","2.3","28700","280700","1723"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","West Midlands","All","16+","All","Disabled","21.3","6.9","6900","32200","335"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","West Midlands","All","16+","All","Non-disabled","8.8","2.4","21700","247600","1332"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","West Midlands","All","16+","All","unknown","!","!","!","!","!"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Yorkshire and The Humber","All","16+","All","All","14.4","3.5","21200","147700","944"
"Unemployed","Percentage of individuals unemployed","Asian","ONS 2011 5+1","2014","year","Yorkshire and The Humber","All","16+","All","Disabled","18.7","8.7","3300","17500","194"
