"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Greenwich","85","2,855","92","259","87","1,064","92","44","86","294","80","1,115","88","71"
"Hackney","78","2,026","81","252","75","705","100","11","78","208","79","711","83","127"
"Halton","75","1,208","86","6","100","1","N/A","N/A","73","24","75","1,164","20","1"
"Hammersmith and Fulham","83","1,102","86","69","78","289","100","3","77","142","89","451","85","127"
"Hampshire","80","11,917","88","422","87","161","91","48","85","495","80","10,663","83","80"
"Haringey","80","2,444","87","163","75","601","93","28","80","274","82","1,227","72","135"
"Harrow","86","2,528","90","1,257","79","223","100","8","77","197","86","708","83","101"
"Hartlepool","82","956","79","19","100","3","100","9","87","13","81","907","40","2"
"Havering","84","2,543","92","225","85","309","89","8","84","176","83","1,779","85","17"
"Herefordshire, County of","81","1,515","90","9","86","6","100","3","83","50","80","1,435","86","6"
"Hertfordshire","80","11,398","86","1,051","76","498","91","62","79","802","79","8,775","81","137"
"Hillingdon","83","3,234","89","963","78","345","100","6","82","381","80","1,220","84","272"
"Hounslow","83","2,766","90","972","79","312","94","17","81","236","79","875","86","321"
"Isle of Wight","74","952","70","7","67","2","100","5","78","39","74","893","100","1"
"Isles of Scilly","47","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","44","8","N/A","N/A"
"Islington","80","1,532","84","127","76","370","100","10","79","240","82","686","85","83"
"Kensington and Chelsea","87","829","88","37","85","156","100","3","89","167","88","304","88","144"
"Kent","79","14,093","91","663","85","449","96","49","80","787","78","11,895","86","136"
"Kingston upon Hull, City of","80","2,567","98","52","78","51","100","5","81","95","80","2,295","85","63"
"Kingston upon Thames","84","1,590","90","299","81","29","100","30","84","179","81","919","89","116"
"Kirklees","78","4,339","78","1,182","72","74","94","15","78","288","78","2,721","70","35"
"Knowsley","78","1,411","89","34","92","11","50","1","67","26","78","1,326","67","6"
"Lambeth","84","2,539","93","146","81","1,086","94","16","84","353","85","785","88","134"
"Lancashire","78","11,051","78","1,246","77","44","95","39","78","375","79","9,250","80","51"
"Leeds","77","7,166","77","858","72","552","90","47","74","467","78","5,062","74","136"
"Leicester","80","3,804","86","1,741","81","387","100","17","76","253","74","1,280","84","90"
"Leicestershire","81","6,173","89","510","82","75","96","27","82","310","80","5,187","83","25"
"Lewisham","81","2,818","96","196","78","1,065","94","44","80","446","83","933","83","93"
"Lincolnshire","75","6,201","91","79","79","33","84","21","80","200","74","5,784","83","30"
"Liverpool","77","3,996","84","198","78","193","95","75","78","231","76","3,132","75","158"
"Luton","76","2,482","76","1,166","75","259","100","10","80","223","75","761","83","43"
"Manchester","78","5,239","82","1,257","79","952","92","59","77","438","75","2,116","77","381"
"Medway","77","2,608","90","167","83","202","86","6","81","183","75","2,003","82","28"
"Merton","83","1,912","91","449","73","252","93","14","76","174","83","944","92","66"
"Middlesbrough","79","1,450","82","162","83","15","N/A","N/A","71","80","79","1,148","83","39"
"Milton Keynes","81","3,031","91","446","79","423","88","23","81","253","79","1,794","93","28"
"Newcastle upon Tyne","81","2,393","88","358","81","153","97","35","82","111","79","1,659","81","65"
"Newham","87","4,139","90","1,938","85","949","100","20","83","259","84","700","86","243"
"Norfolk","75","6,878","90","128","74","61","95","36","76","244","74","6,288","80","63"
"North East Lincolnshire","81","1,551","94","17","71","5","100","1","90","52","81","1,448","90","19"
"North Lincolnshire","81","1,589","87","66","83","10","100","3","71","24","81","1,464","79","11"
"North Somerset","79","1,902","94","31","83","10","100","8","80","74","79","1,769","100","4"
"North Tyneside","80","1,952","86","50","63","12","94","16","87","66","79","1,794","88","7"
"North Yorkshire","77","4,861","86","72","55","17","100","10","75","129","77","4,579","68","17"
"Northamptonshire","75","7,131","83","370","78","412","97","32","71","368","75","5,851","69","48"
"Northumberland","79","2,826","89","51","40","2","100","7","83","55","79","2,692","83","10"
"Nottingham","79","2,820","85","496","80","353","92","11","79","386","76","1,473","83","87"
"Nottinghamshire","79","7,344","86","247","75","83","92","24","80","335","79","6,551","76","45"
"Oldham","78","2,731","79","923","82","106","92","12","79","141","78","1,519","59","16"
"Oxfordshire","79","5,864","79","368","74","155","100","20","75","384","79","4,787","73","73"
"Peterborough","73","2,186","77","438","73","99","100","8","72","137","71","1,444","83","30"
"Plymouth","78","2,297","93","25","88","21","100","10","76","68","78","2,132","65","26"
"Portsmouth","75","1,657","83","99","71","54","89","8","92","110","73","1,335","74","32"
"Reading","78","1,478","87","331","74","141","100","11","75","163","76","783","96","23"
"Redbridge","85","3,453","89","1,934","75","352","100","21","82","251","81","803","83","45"
"Redcar and Cleveland","85","1,384","80","8","80","4","100","1","92","46","84","1,311","71","5"
"Richmond upon Thames","91","2,096","93","194","71","41","88","21","86","196","92","1,568","89","48"
"Rochdale","76","2,280","75","592","73","92","100","12","73","84","77","1,464","73","27"
"Rotherham","75","2,531","67","176","79","52","92","11","63","69","76","2,188","86","24"
"Rutland","80","318","100","5","67","4","N/A","N/A","92","11","81","294","50","2"
"Salford","79","2,368","87","89","84","144","100","1","80","193","79","1,847","76","75"
"Sandwell","78","3,701","85","1,189","72","352","92","22","74","326","75","1,701","83","95"
"Sefton","79","2,321","93","28","71","10","100","7","82","63","79","2,196","62","8"
"Sheffield","78","4,908","81","636","76","290","96","46","77","372","77","3,355","82","180"
"Shropshire","79","2,413","88","21","71","5","100","4","80","74","79","2,292","100","4"
"Slough","83","1,951","91","1,029","79","167","100","3","76","161","72","494","92","85"
"Solihull","83","2,174","89","306","91","52","97","29","77","171","81","1,560","91","29"
"Somerset","75","4,389","86","69","94","15","92","12","78","138","74","4,115","50","9"
"South Gloucestershire","79","2,619","88","92","78","35","91","10","85","145","79","2,306","73","19"
"South Tyneside","80","1,335","82","47","90","9","100","3","81","35","80","1,228","100","9"
"Southampton","78","2,185","80","297","77","69","100","16","80","141","77","1,613","85","44"
"Southend-on-Sea","80","1,766","92","130","83","53","100","23","77","113","79","1,414","81","13"
"Southwark","81","2,683","84","151","79","1,177","97","29","80","301","83","767","83","210"
"St. Helens","78","1,724","95","19","75","9","80","8","74","32","78","1,648","75","6"
"Staffordshire","79","7,725","81","361","66","51","95","35","73","257","79","6,943","78","36"
"Stockport","80","2,750","87","218","73","33","91","20","70","127","80","2,313","78","25"
"Stockton-on-Tees","83","2,069","85","116","85","23","100","7","87","58","82","1,850","86","6"
"Stoke-on-Trent","75","2,495","77","387","77","100","100","12","79","126","74","1,829","68","38"
"Suffolk","77","6,104","88","128","70","60","75","3","77","359","77","5,419","78","58"
"Sunderland","80","2,595","88","116","86","24","85","11","85","47","79","2,388","67","2"
"Surrey","83","10,255","87","758","80","185","97","68","82","643","82","8,392","86","114"
"Sutton","85","2,031","94","397","84","141","100","41","86","202","82","1,197","85","29"
"Swindon","77","2,238","83","285","81","74","93","14","75","135","76","1,692","67","16"
"Tameside","79","2,335","85","264","82","69","100","13","79","111","78","1,844","71","17"
"Telford and Wrekin","79","1,806","82","122","78","68","100","13","84","98","78","1,491","67","4"
"Thurrock","84","2,020","92","124","89","354","94","15","89","127","81","1,354","88","23"
"Torbay","79","1,142","96","24","100","1","75","3","76","32","79","1,068","64","7"
"Tower Hamlets","85","2,837","87","1,894","83","277","100","11","80","171","81","371","91","99"
"Trafford","87","2,621","92","410","80","109","98","61","87","201","86","1,740","91","74"
"Wakefield","78","3,137","77","127","80","45","95","21","73","90","78","2,834","65","17"
"Walsall","77","2,916","82","775","74","145","93","13","72","169","76","1,767","65","33"
"Waltham Forest","84","2,791","88","762","79","507","97","28","85","341","84","1,033","80","104"
"Wandsworth","83","1,981","87","385","75","417","100","10","77","230","86","841","85","76"
"Warrington","85","2,209","92","81","83","19","100","6","92","70","84","2,009","60","12"
"Warwickshire","78","4,992","88","337","77","61","95","21","81","256","77","4,254","87","26"
"West Berkshire","77","1,492","83","45","74","17","100","6","77","80","76","1,324","70","7"
"West Sussex","77","7,077","83","359","75","94","82","18","76","349","76","6,149","81","42"
"Westminster","84","1,197","81","155","82","210","100","12","84","125","85","317","85","366"
"Wigan","80","3,063","79","34","75","43","83","5","86","84","80","2,864","76","29"
"Wiltshire","76","4,103","94","62","67","60","94","15","84","158","76","3,741","77","37"
"Windsor and Maidenhead","79","1,257","80","203","45","10","100","6","78","107","80","898","71","15"
"Wirral","75","2,821","89","80","78","14","95","19","79","77","74","2,608","78","7"
"Wokingham","84","1,803","93","286","94","58","100","14","86","143","82","1,269","83","15"
"Wolverhampton","76","2,562","83","650","77","304","88","7","71","280","74","1,275","74","35"
"Worcestershire","77","4,733","80","202","83","24","100","10","79","190","77","4,252","79","19"
"York","82","1,624","93","38","86","6","100","4","79","48","82","1,506","100","11"
