"Measure","Time","Time_type","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Destination","Value","Value_type","Denominator"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black African","LEO","Activity Not Captured","5.6","%","1380"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black African","LEO","No Sustained Destination","10","%","1380"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black African","LEO","Sustained Employment Only","61.5","%","1380"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black African","LEO","Sustained Employment With Or Without Further Study","74.4","%","1380"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black African","LEO","Sustained Employment Further Study Or Both","84.4","%","1380"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black African","LEO","Further Study With Or Without Sustained Employment","22.9","%","1380"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Asian","LEO","Activity Not Captured","5.4","%","3580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Asian","LEO","No Sustained Destination","8.4","%","3580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Asian","LEO","Sustained Employment Only","60.4","%","3580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Asian","LEO","Sustained Employment With Or Without Further Study","74.7","%","3580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Asian","LEO","Sustained Employment Further Study Or Both","86.2","%","3580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Asian","LEO","Further Study With Or Without Sustained Employment","25.8","%","3580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Mixed/Multiple Ethnic Background","LEO","Activity Not Captured","5.3","%","3320"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Mixed/Multiple Ethnic Background","LEO","No Sustained Destination","10","%","3320"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Only","59","%","3320"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment With Or Without Further Study","73.3","%","3320"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Further Study Or Both","84.7","%","3320"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Mixed/Multiple Ethnic Background","LEO","Further Study With Or Without Sustained Employment","25.7","%","3320"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Indian","LEO","Activity Not Captured","3.2","%","11335"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Indian","LEO","No Sustained Destination","7.2","%","11335"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Indian","LEO","Sustained Employment Only","62.3","%","11335"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Indian","LEO","Sustained Employment With Or Without Further Study","76.2","%","11335"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Indian","LEO","Sustained Employment Further Study Or Both","89.5","%","11335"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Indian","LEO","Further Study With Or Without Sustained Employment","27.2","%","11335"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Pakistani","LEO","Activity Not Captured","4.4","%","9760"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Pakistani","LEO","No Sustained Destination","10","%","9760"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Pakistani","LEO","Sustained Employment Only","57.1","%","9760"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Pakistani","LEO","Sustained Employment With Or Without Further Study","69.7","%","9760"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Pakistani","LEO","Sustained Employment Further Study Or Both","85.6","%","9760"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Pakistani","LEO","Further Study With Or Without Sustained Employment","28.4","%","9760"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Bangladeshi","LEO","Activity Not Captured","3.1","%","4150"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Bangladeshi","LEO","No Sustained Destination","8.5","%","4150"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Bangladeshi","LEO","Sustained Employment Only","62.8","%","4150"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","74.9","%","4150"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Bangladeshi","LEO","Sustained Employment Further Study Or Both","88.4","%","4150"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Bangladeshi","LEO","Further Study With Or Without Sustained Employment","25.6","%","4150"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Chinese","LEO","Activity Not Captured","9.6","%","2645"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Chinese","LEO","No Sustained Destination","8.8","%","2645"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Chinese","LEO","Sustained Employment Only","53.8","%","2645"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Chinese","LEO","Sustained Employment With Or Without Further Study","66.1","%","2645"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Chinese","LEO","Sustained Employment Further Study Or Both","81.6","%","2645"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Chinese","LEO","Further Study With Or Without Sustained Employment","27.9","%","2645"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Asian Background","LEO","Activity Not Captured","5","%","6000"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Asian Background","LEO","No Sustained Destination","8.3","%","6000"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Asian Background","LEO","Sustained Employment Only","60.2","%","6000"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","73.5","%","6000"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","86.7","%","6000"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Asian Background","LEO","Further Study With Or Without Sustained Employment","26.5","%","6000"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black African","LEO","Activity Not Captured","3.8","%","15995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black African","LEO","No Sustained Destination","8.8","%","15995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black African","LEO","Sustained Employment Only","59.2","%","15995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black African","LEO","Sustained Employment With Or Without Further Study","76.6","%","15995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black African","LEO","Sustained Employment Further Study Or Both","87.4","%","15995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black African","LEO","Further Study With Or Without Sustained Employment","28.2","%","15995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black Caribbean","LEO","Activity Not Captured","2.8","%","4575"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black Caribbean","LEO","No Sustained Destination","9.6","%","4575"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black Caribbean","LEO","Sustained Employment Only","67.2","%","4575"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","80.6","%","4575"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black Caribbean","LEO","Sustained Employment Further Study Or Both","87.6","%","4575"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Black Caribbean","LEO","Further Study With Or Without Sustained Employment","20.3","%","4575"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Black Background","LEO","Activity Not Captured","3.6","%","1095"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Black Background","LEO","No Sustained Destination","10.4","%","1095"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Black Background","LEO","Sustained Employment Only","61.5","%","1095"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","75.5","%","1095"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","86.1","%","1095"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Black Background","LEO","Further Study With Or Without Sustained Employment","24.5","%","1095"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Arab","LEO","Activity Not Captured","6.7","%","1395"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Arab","LEO","No Sustained Destination","12","%","1395"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Arab","LEO","Sustained Employment Only","47.2","%","1395"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Arab","LEO","Sustained Employment With Or Without Further Study","62.8","%","1395"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Arab","LEO","Sustained Employment Further Study Or Both","81.3","%","1395"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Arab","LEO","Further Study With Or Without Sustained Employment","34.1","%","1395"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Other","LEO","Activity Not Captured","5.9","%","2740"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Other","LEO","No Sustained Destination","11.1","%","2740"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Other","LEO","Sustained Employment Only","56.6","%","2740"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Other","LEO","Sustained Employment With Or Without Further Study","69.9","%","2740"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Other","LEO","Sustained Employment Further Study Or Both","83","%","2740"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Other","LEO","Further Study With Or Without Sustained Employment","26.4","%","2740"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Unknown","LEO","Activity Not Captured","7.2","%","5895"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Unknown","LEO","No Sustained Destination","9.3","%","5895"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Unknown","LEO","Sustained Employment Only","63.4","%","5895"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Unknown","LEO","Sustained Employment With Or Without Further Study","75.4","%","5895"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Unknown","LEO","Sustained Employment Further Study Or Both","83.5","%","5895"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Unknown","LEO","Further Study With Or Without Sustained Employment","20.1","%","5895"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","All","LEO","Activity Not Captured","6.1","%","277020"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","All","LEO","No Sustained Destination","6.2","%","277020"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","All","LEO","Sustained Employment Only","72.5","%","277020"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","All","LEO","Sustained Employment With Or Without Further Study","83.2","%","277020"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","All","LEO","Sustained Employment Further Study Or Both","87.7","%","277020"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","All","LEO","Further Study With Or Without Sustained Employment","15.2","%","277020"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","White","LEO","Activity Not Captured","5.8","%","206910"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","White","LEO","No Sustained Destination","5.6","%","206910"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","White","LEO","Sustained Employment Only","73.7","%","206910"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","White","LEO","Sustained Employment With Or Without Further Study","84.5","%","206910"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","White","LEO","Sustained Employment Further Study Or Both","88.6","%","206910"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","White","LEO","Further Study With Or Without Sustained Employment","15","%","206910"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black Caribbean","LEO","Activity Not Captured","5.6","%","2705"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black Caribbean","LEO","No Sustained Destination","7.7","%","2705"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black Caribbean","LEO","Sustained Employment Only","72","%","2705"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black Caribbean","LEO","Sustained Employment With Or Without Further Study","82.6","%","2705"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black Caribbean","LEO","Sustained Employment Further Study Or Both","86.7","%","2705"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black Caribbean","LEO","Further Study With Or Without Sustained Employment","14.7","%","2705"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black African","LEO","Activity Not Captured","8.6","%","1175"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black African","LEO","No Sustained Destination","8.9","%","1175"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black African","LEO","Sustained Employment Only","67.4","%","1175"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black African","LEO","Sustained Employment With Or Without Further Study","77.1","%","1175"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black African","LEO","Sustained Employment Further Study Or Both","82.5","%","1175"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black African","LEO","Further Study With Or Without Sustained Employment","15.2","%","1175"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Asian","LEO","Activity Not Captured","7.6","%","3130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Asian","LEO","No Sustained Destination","7.7","%","3130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Asian","LEO","Sustained Employment Only","69.7","%","3130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Asian","LEO","Sustained Employment With Or Without Further Study","79.7","%","3130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Asian","LEO","Sustained Employment Further Study Or Both","84.7","%","3130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Asian","LEO","Further Study With Or Without Sustained Employment","14.9","%","3130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Activity Not Captured","9.2","%","3050"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Mixed/Multiple Ethnic Background","LEO","No Sustained Destination","8.2","%","3050"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Only","66.8","%","3050"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment With Or Without Further Study","77","%","3050"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Further Study Or Both","82.6","%","3050"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Further Study With Or Without Sustained Employment","15.8","%","3050"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Indian","LEO","Activity Not Captured","5.2","%","11115"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Indian","LEO","No Sustained Destination","6.1","%","11115"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Indian","LEO","Sustained Employment Only","73.9","%","11115"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Indian","LEO","Sustained Employment With Or Without Further Study","82.7","%","11115"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Indian","LEO","Sustained Employment Further Study Or Both","88.7","%","11115"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Indian","LEO","Further Study With Or Without Sustained Employment","14.8","%","11115"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Pakistani","LEO","Activity Not Captured","7.2","%","8300"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Pakistani","LEO","No Sustained Destination","8.4","%","8300"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Pakistani","LEO","Sustained Employment Only","69.5","%","8300"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Pakistani","LEO","Sustained Employment With Or Without Further Study","76.9","%","8300"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Pakistani","LEO","Sustained Employment Further Study Or Both","84.4","%","8300"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Pakistani","LEO","Further Study With Or Without Sustained Employment","14.8","%","8300"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Bangladeshi","LEO","Activity Not Captured","4.5","%","3230"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Bangladeshi","LEO","No Sustained Destination","8.1","%","3230"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Bangladeshi","LEO","Sustained Employment Only","74.2","%","3230"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","81","%","3230"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Bangladeshi","LEO","Sustained Employment Further Study Or Both","87.5","%","3230"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Bangladeshi","LEO","Further Study With Or Without Sustained Employment","13.2","%","3230"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Chinese","LEO","Activity Not Captured","13.5","%","2460"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Chinese","LEO","No Sustained Destination","6.2","%","2460"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Chinese","LEO","Sustained Employment Only","64.9","%","2460"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Chinese","LEO","Sustained Employment With Or Without Further Study","74.5","%","2460"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Chinese","LEO","Sustained Employment Further Study Or Both","80.3","%","2460"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Chinese","LEO","Further Study With Or Without Sustained Employment","15.4","%","2460"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Asian Background","LEO","Activity Not Captured","8.6","%","5135"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Asian Background","LEO","No Sustained Destination","7.5","%","5135"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Asian Background","LEO","Sustained Employment Only","67.9","%","5135"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","77","%","5135"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","83.9","%","5135"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Asian Background","LEO","Further Study With Or Without Sustained Employment","16.1","%","5135"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black African","LEO","Activity Not Captured","5.9","%","14180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black African","LEO","No Sustained Destination","8.8","%","14180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black African","LEO","Sustained Employment Only","66.1","%","14180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black African","LEO","Sustained Employment With Or Without Further Study","79.3","%","14180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black African","LEO","Sustained Employment Further Study Or Both","85.3","%","14180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black African","LEO","Further Study With Or Without Sustained Employment","19.2","%","14180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black Caribbean","LEO","Activity Not Captured","4.1","%","4465"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black Caribbean","LEO","No Sustained Destination","8.6","%","4465"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black Caribbean","LEO","Sustained Employment Only","71.2","%","4465"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","83.2","%","4465"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black Caribbean","LEO","Sustained Employment Further Study Or Both","87.3","%","4465"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Black Caribbean","LEO","Further Study With Or Without Sustained Employment","16.1","%","4465"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Black Background","LEO","Activity Not Captured","6.8","%","830"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Black Background","LEO","No Sustained Destination","8.7","%","830"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Black Background","LEO","Sustained Employment Only","65.6","%","830"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","77.8","%","830"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","84.6","%","830"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Black Background","LEO","Further Study With Or Without Sustained Employment","18.9","%","830"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Arab","LEO","Activity Not Captured","13.4","%","615"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Arab","LEO","No Sustained Destination","11.9","%","615"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Arab","LEO","Sustained Employment Only","56.2","%","615"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Arab","LEO","Sustained Employment With Or Without Further Study","65.3","%","615"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Arab","LEO","Sustained Employment Further Study Or Both","74.8","%","615"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Arab","LEO","Further Study With Or Without Sustained Employment","18.6","%","615"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Other","LEO","Activity Not Captured","9.1","%","2755"
