"Measure","Time","Time_tye","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Earnings Quartile","Value","Value_type","Denominator"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings Median","28100","Pounds Sterling","1905"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings UQ","38000","Pounds Sterling","1905"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings LQ","19700","Pounds Sterling","1360"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings Median","32100","Pounds Sterling","1360"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings UQ","47400","Pounds Sterling","1360"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Arab","LEO","Earnings LQ","13900","Pounds Sterling","625"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Arab","LEO","Earnings Median","20800","Pounds Sterling","625"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Arab","LEO","Earnings UQ","27700","Pounds Sterling","625"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Arab","LEO","Earnings LQ","16800","Pounds Sterling","330"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Arab","LEO","Earnings Median","24500","Pounds Sterling","330"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Arab","LEO","Earnings UQ","31800","Pounds Sterling","330"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Arab","LEO","Earnings LQ","20100","Pounds Sterling","70"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Arab","LEO","Earnings Median","30300","Pounds Sterling","70"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Arab","LEO","Earnings UQ","41600","Pounds Sterling","70"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Arab","LEO","Earnings LQ","!","Pounds Sterling","!"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Arab","LEO","Earnings Median","!","Pounds Sterling","!"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Arab","LEO","Earnings UQ","!","Pounds Sterling","!"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Bangladeshi","LEO","Earnings LQ","13100","Pounds Sterling","2530"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Bangladeshi","LEO","Earnings Median","19000","Pounds Sterling","2530"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Bangladeshi","LEO","Earnings UQ","24500","Pounds Sterling","2530"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Bangladeshi","LEO","Earnings LQ","17900","Pounds Sterling","2350"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Bangladeshi","LEO","Earnings Median","23700","Pounds Sterling","2350"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Bangladeshi","LEO","Earnings UQ","29900","Pounds Sterling","2350"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Bangladeshi","LEO","Earnings LQ","18200","Pounds Sterling","2220"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Bangladeshi","LEO","Earnings Median","25900","Pounds Sterling","2220"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Bangladeshi","LEO","Earnings UQ","33600","Pounds Sterling","2220"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Bangladeshi","LEO","Earnings LQ","16800","Pounds Sterling","1580"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Bangladeshi","LEO","Earnings Median","28800","Pounds Sterling","1580"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Bangladeshi","LEO","Earnings UQ","40500","Pounds Sterling","1580"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Black African","LEO","Earnings LQ","14200","Pounds Sterling","9165"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Black African","LEO","Earnings Median","20800","Pounds Sterling","9165"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Black African","LEO","Earnings UQ","28100","Pounds Sterling","9165"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Black African","LEO","Earnings LQ","16800","Pounds Sterling","8970"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Black African","LEO","Earnings Median","24500","Pounds Sterling","8970"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Black African","LEO","Earnings UQ","31800","Pounds Sterling","8970"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Black African","LEO","Earnings LQ","17900","Pounds Sterling","8115"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Black African","LEO","Earnings Median","26300","Pounds Sterling","8115"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Black African","LEO","Earnings UQ","35400","Pounds Sterling","8115"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Black African","LEO","Earnings LQ","17500","Pounds Sterling","4420"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Black African","LEO","Earnings Median","29200","Pounds Sterling","4420"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Black African","LEO","Earnings UQ","40900","Pounds Sterling","4420"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Black Caribbean","LEO","Earnings LQ","12800","Pounds Sterling","2970"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Black Caribbean","LEO","Earnings Median","19300","Pounds Sterling","2970"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Black Caribbean","LEO","Earnings UQ","24800","Pounds Sterling","2970"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Black Caribbean","LEO","Earnings LQ","16400","Pounds Sterling","3080"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Black Caribbean","LEO","Earnings Median","23000","Pounds Sterling","3080"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Black Caribbean","LEO","Earnings UQ","29600","Pounds Sterling","3080"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Black Caribbean","LEO","Earnings LQ","17900","Pounds Sterling","3225"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Black Caribbean","LEO","Earnings Median","25200","Pounds Sterling","3225"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Black Caribbean","LEO","Earnings UQ","32800","Pounds Sterling","3225"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Black Caribbean","LEO","Earnings LQ","17900","Pounds Sterling","2310"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Black Caribbean","LEO","Earnings Median","28100","Pounds Sterling","2310"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Black Caribbean","LEO","Earnings UQ","38300","Pounds Sterling","2310"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Chinese","LEO","Earnings LQ","16800","Pounds Sterling","1380"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Chinese","LEO","Earnings Median","23000","Pounds Sterling","1380"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Chinese","LEO","Earnings UQ","30300","Pounds Sterling","1380"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Chinese","LEO","Earnings LQ","20100","Pounds Sterling","1545"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Chinese","LEO","Earnings Median","27000","Pounds Sterling","1545"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Chinese","LEO","Earnings UQ","35800","Pounds Sterling","1545"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Chinese","LEO","Earnings LQ","22300","Pounds Sterling","1585"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Chinese","LEO","Earnings Median","29900","Pounds Sterling","1585"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Chinese","LEO","Earnings UQ","44200","Pounds Sterling","1585"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Chinese","LEO","Earnings LQ","21800","Pounds Sterling","1465"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Chinese","LEO","Earnings Median","34700","Pounds Sterling","1465"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Chinese","LEO","Earnings UQ","51100","Pounds Sterling","1465"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Indian","LEO","Earnings LQ","16800","Pounds Sterling","6775"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Indian","LEO","Earnings Median","22600","Pounds Sterling","6775"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Indian","LEO","Earnings UQ","29600","Pounds Sterling","6775"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Indian","LEO","Earnings LQ","20400","Pounds Sterling","8025"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Indian","LEO","Earnings Median","27400","Pounds Sterling","8025"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Indian","LEO","Earnings UQ","36900","Pounds Sterling","8025"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Indian","LEO","Earnings LQ","22300","Pounds Sterling","8945"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Indian","LEO","Earnings Median","31000","Pounds Sterling","8945"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Indian","LEO","Earnings UQ","43400","Pounds Sterling","8945"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Indian","LEO","Earnings LQ","21200","Pounds Sterling","8315"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Indian","LEO","Earnings Median","34700","Pounds Sterling","8315"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Indian","LEO","Earnings UQ","51100","Pounds Sterling","8315"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Asian","LEO","Earnings LQ","15700","Pounds Sterling","2075"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Asian","LEO","Earnings Median","21500","Pounds Sterling","2075"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Asian","LEO","Earnings UQ","27700","Pounds Sterling","2075"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Asian","LEO","Earnings LQ","19600","Pounds Sterling","2105"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Asian","LEO","Earnings Median","26300","Pounds Sterling","2105"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Asian","LEO","Earnings UQ","35300","Pounds Sterling","2105"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Asian","LEO","Earnings LQ","21200","Pounds Sterling","2055"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Asian","LEO","Earnings Median","29200","Pounds Sterling","2055"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Asian","LEO","Earnings UQ","39800","Pounds Sterling","2055"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Asian","LEO","Earnings LQ","21900","Pounds Sterling","1400"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Asian","LEO","Earnings Median","35800","Pounds Sterling","1400"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Asian","LEO","Earnings UQ","51100","Pounds Sterling","1400"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black African","LEO","Earnings LQ","14600","Pounds Sterling","810"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black African","LEO","Earnings Median","20100","Pounds Sterling","810"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black African","LEO","Earnings UQ","26300","Pounds Sterling","810"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black African","LEO","Earnings LQ","17500","Pounds Sterling","760"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black African","LEO","Earnings Median","24500","Pounds Sterling","760"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black African","LEO","Earnings UQ","31000","Pounds Sterling","760"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black African","LEO","Earnings LQ","18600","Pounds Sterling","685"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black African","LEO","Earnings Median","27400","Pounds Sterling","685"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black African","LEO","Earnings UQ","35800","Pounds Sterling","685"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black African","LEO","Earnings LQ","18200","Pounds Sterling","395"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black African","LEO","Earnings Median","29600","Pounds Sterling","395"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black African","LEO","Earnings UQ","43400","Pounds Sterling","395"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black Caribbean","LEO","Earnings LQ","13500","Pounds Sterling","2085"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black Caribbean","LEO","Earnings Median","19000","Pounds Sterling","2085"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black Caribbean","LEO","Earnings UQ","24500","Pounds Sterling","2085"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black Caribbean","LEO","Earnings LQ","16800","Pounds Sterling","1875"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black Caribbean","LEO","Earnings Median","23000","Pounds Sterling","1875"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Mixed White And Black Caribbean","LEO","Earnings UQ","28800","Pounds Sterling","1875"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black Caribbean","LEO","Earnings LQ","18200","Pounds Sterling","1900"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black Caribbean","LEO","Earnings Median","25600","Pounds Sterling","1900"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black Caribbean","LEO","Earnings UQ","33900","Pounds Sterling","1900"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black Caribbean","LEO","Earnings LQ","17900","Pounds Sterling","940"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black Caribbean","LEO","Earnings Median","29200","Pounds Sterling","940"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black Caribbean","LEO","Earnings UQ","42000","Pounds Sterling","940"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Other","LEO","Earnings LQ","14200","Pounds Sterling","1485"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Other","LEO","Earnings Median","20400","Pounds Sterling","1485"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Other","LEO","Earnings UQ","27000","Pounds Sterling","1485"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Other","LEO","Earnings LQ","17500","Pounds Sterling","1690"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Other","LEO","Earnings Median","24800","Pounds Sterling","1690"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Other","LEO","Earnings UQ","33500","Pounds Sterling","1690"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Other","LEO","Earnings LQ","19000","Pounds Sterling","1870"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Other","LEO","Earnings Median","27700","Pounds Sterling","1870"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Other","LEO","Earnings UQ","38000","Pounds Sterling","1870"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Other","LEO","Earnings LQ","18200","Pounds Sterling","1350"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Other","LEO","Earnings Median","31000","Pounds Sterling","1350"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Other","LEO","Earnings UQ","45300","Pounds Sterling","1350"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Pakistani","LEO","Earnings LQ","13900","Pounds Sterling","5355"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Pakistani","LEO","Earnings Median","19300","Pounds Sterling","5355"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Pakistani","LEO","Earnings UQ","25600","Pounds Sterling","5355"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Pakistani","LEO","Earnings LQ","16400","Pounds Sterling","5590"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Pakistani","LEO","Earnings Median","22600","Pounds Sterling","5590"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Pakistani","LEO","Earnings UQ","29900","Pounds Sterling","5590"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Pakistani","LEO","Earnings LQ","16400","Pounds Sterling","5510"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Pakistani","LEO","Earnings Median","23700","Pounds Sterling","5510"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Pakistani","LEO","Earnings UQ","32800","Pounds Sterling","5510"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Pakistani","LEO","Earnings LQ","13600","Pounds Sterling","4205"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Pakistani","LEO","Earnings Median","25200","Pounds Sterling","4205"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Pakistani","LEO","Earnings UQ","39100","Pounds Sterling","4205"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Unknown","LEO","Earnings LQ","15000","Pounds Sterling","3570"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Unknown","LEO","Earnings Median","21900","Pounds Sterling","3570"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Unknown","LEO","Earnings UQ","29200","Pounds Sterling","3570"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Unknown","LEO","Earnings LQ","16800","Pounds Sterling","4610"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Unknown","LEO","Earnings Median","24100","Pounds Sterling","4610"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Unknown","LEO","Earnings UQ","31800","Pounds Sterling","4610"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Unknown","LEO","Earnings LQ","18200","Pounds Sterling","4760"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Unknown","LEO","Earnings Median","27000","Pounds Sterling","4760"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Unknown","LEO","Earnings UQ","36500","Pounds Sterling","4760"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Unknown","LEO","Earnings LQ","18200","Pounds Sterling","5860"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Unknown","LEO","Earnings Median","29200","Pounds Sterling","5860"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Unknown","LEO","Earnings UQ","40900","Pounds Sterling","5860"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","White","LEO","Earnings LQ","15300","Pounds Sterling","139605"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","White","LEO","Earnings Median","20800","Pounds Sterling","139605"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","White","LEO","Earnings UQ","26600","Pounds Sterling","139605"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","White","LEO","Earnings LQ","18600","Pounds Sterling","147735"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","White","LEO","Earnings Median","24500","Pounds Sterling","147735"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","White","LEO","Earnings UQ","31700","Pounds Sterling","147735"
