"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bromley","Local authority","E09000006","All","80","%","4065","3270"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bromley","Local authority","E09000006","Boys","81","%","2078","1676"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bromley","Local authority","E09000006","Girls","80","%","1987","1594"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Buckinghamshire","Local authority","E10000002","All","78","%","6585","5167"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Buckinghamshire","Local authority","E10000002","Boys","78","%","3368","2621"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Buckinghamshire","Local authority","E10000002","Girls","79","%","3217","2546"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bury","Local authority","E08000002","All","74","%","2446","1802"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bury","Local authority","E08000002","Boys","74","%","1244","920"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bury","Local authority","E08000002","Girls","73","%","1202","882"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Calderdale","Local authority","E08000033","All","73","%","2724","1995"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Calderdale","Local authority","E08000033","Boys","71","%","1372","974"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Calderdale","Local authority","E08000033","Girls","76","%","1352","1021"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cambridgeshire","Local authority","E10000003","All","75","%","7485","5615"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cambridgeshire","Local authority","E10000003","Boys","75","%","3917","2939"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cambridgeshire","Local authority","E10000003","Girls","75","%","3568","2676"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Camden","Local authority","E09000007","All","76","%","1678","1283"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Camden","Local authority","E09000007","Boys","76","%","829","628"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Camden","Local authority","E09000007","Girls","77","%","849","655"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Central Bedfordshire","Local authority","E06000056","All","79","%","3699","2908"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Central Bedfordshire","Local authority","E06000056","Boys","78","%","1914","1491"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Central Bedfordshire","Local authority","E06000056","Girls","79","%","1785","1417"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cheshire East","Local authority","E06000049","All","77","%","4267","3275"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cheshire East","Local authority","E06000049","Boys","76","%","2180","1655"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cheshire East","Local authority","E06000049","Girls","78","%","2087","1620"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cheshire West and Chester","Local authority","E06000050","All","74","%","4029","3000"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cheshire West and Chester","Local authority","E06000050","Boys","73","%","2029","1489"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cheshire West and Chester","Local authority","E06000050","Girls","76","%","2000","1511"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","City of London","Local authority","E09000001","All","!","%","!","!"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","City of London","Local authority","E09000001","Boys","!","%","!","!"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","City of London","Local authority","E09000001","Girls","!","%","!","!"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cornwall","Local authority","E06000052","All","72","%","6157","4424"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cornwall","Local authority","E06000052","Boys","71","%","3203","2270"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cornwall","Local authority","E06000052","Girls","73","%","2954","2154"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","County Durham","Local authority","E06000047","All","78","%","5834","4543"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","County Durham","Local authority","E06000047","Boys","77","%","2991","2295"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","County Durham","Local authority","E06000047","Girls","79","%","2843","2248"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Coventry","Local authority","E08000026","All","73","%","4631","3386"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Coventry","Local authority","E08000026","Boys","72","%","2429","1743"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Coventry","Local authority","E08000026","Girls","75","%","2202","1643"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Croydon","Local authority","E09000008","All","78","%","4822","3773"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Croydon","Local authority","E09000008","Boys","77","%","2461","1904"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Croydon","Local authority","E09000008","Girls","79","%","2361","1869"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cumbria","Local authority","E10000006","All","75","%","5184","3899"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cumbria","Local authority","E10000006","Boys","74","%","2640","1943"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Cumbria","Local authority","E10000006","Girls","77","%","2544","1956"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Darlington","Local authority","E06000005","All","78","%","1316","1024"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Darlington","Local authority","E06000005","Boys","76","%","672","508"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Darlington","Local authority","E06000005","Girls","80","%","644","516"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Derby","Local authority","E06000015","All","74","%","3381","2492"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Derby","Local authority","E06000015","Boys","72","%","1713","1229"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Derby","Local authority","E06000015","Girls","76","%","1668","1263"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Derbyshire","Local authority","E10000007","All","77","%","8768","6710"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Derbyshire","Local authority","E10000007","Boys","76","%","4468","3379"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Derbyshire","Local authority","E10000007","Girls","77","%","4300","3331"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Devon","Local authority","E10000008","All","75","%","8194","6121"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Devon","Local authority","E10000008","Boys","74","%","4220","3134"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Devon","Local authority","E10000008","Girls","75","%","3974","2987"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Doncaster","Local authority","E08000017","All","75","%","3885","2915"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Doncaster","Local authority","E08000017","Boys","72","%","1988","1435"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Doncaster","Local authority","E08000017","Girls","78","%","1897","1480"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Dorset","Local authority","E10000009","All","77","%","4202","3216"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Dorset","Local authority","E10000009","Boys","76","%","2107","1609"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Dorset","Local authority","E10000009","Girls","77","%","2095","1607"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Dudley","Local authority","E08000027","All","74","%","3893","2866"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Dudley","Local authority","E08000027","Boys","71","%","1998","1417"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Dudley","Local authority","E08000027","Girls","76","%","1895","1449"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Ealing","Local authority","E09000009","All","77","%","4505","3447"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Ealing","Local authority","E09000009","Boys","75","%","2327","1754"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Ealing","Local authority","E09000009","Girls","78","%","2178","1693"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","East Riding of Yorkshire","Local authority","E06000011","All","77","%","3533","2728"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","East Riding of Yorkshire","Local authority","E06000011","Boys","77","%","1812","1392"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","East Riding of Yorkshire","Local authority","E06000011","Girls","78","%","1721","1336"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","East Sussex","Local authority","E10000011","All","77","%","5731","4435"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","East Sussex","Local authority","E10000011","Boys","75","%","2943","2198"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","East Sussex","Local authority","E10000011","Girls","80","%","2788","2237"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Enfield","Local authority","E09000010","All","74","%","4642","3440"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Enfield","Local authority","E09000010","Boys","73","%","2371","1735"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Enfield","Local authority","E09000010","Girls","75","%","2271","1705"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Essex","Local authority","E10000012","All","77","%","17002","13059"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Essex","Local authority","E10000012","Boys","76","%","8797","6726"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Essex","Local authority","E10000012","Girls","77","%","8205","6333"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Gateshead","Local authority","E08000037","All","77","%","2260","1739"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Gateshead","Local authority","E08000037","Boys","74","%","1160","863"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Gateshead","Local authority","E08000037","Girls","80","%","1100","876"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Gloucestershire","Local authority","E10000013","All","75","%","6949","5235"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Gloucestershire","Local authority","E10000013","Boys","75","%","3516","2622"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Gloucestershire","Local authority","E10000013","Girls","76","%","3433","2613"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Greenwich","Local authority","E09000011","All","80","%","3644","2917"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Greenwich","Local authority","E09000011","Boys","78","%","1846","1445"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Greenwich","Local authority","E09000011","Girls","82","%","1798","1472"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hackney","Local authority","E09000012","All","81","%","2728","2223"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hackney","Local authority","E09000012","Boys","80","%","1401","1114"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hackney","Local authority","E09000012","Girls","84","%","1327","1109"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Halton","Local authority","E06000006","All","74","%","1510","1113"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Halton","Local authority","E06000006","Boys","73","%","761","555"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Halton","Local authority","E06000006","Girls","74","%","749","558"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hammersmith and Fulham","Local authority","E09000013","All","81","%","1465","1182"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hammersmith and Fulham","Local authority","E09000013","Boys","80","%","709","566"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hammersmith and Fulham","Local authority","E09000013","Girls","81","%","756","616"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hampshire","Local authority","E10000014","All","79","%","15802","12511"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hampshire","Local authority","E10000014","Boys","78","%","8110","6349"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hampshire","Local authority","E10000014","Girls","80","%","7692","6162"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Haringey","Local authority","E09000014","All","78","%","3143","2448"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Haringey","Local authority","E09000014","Boys","78","%","1588","1235"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Haringey","Local authority","E09000014","Girls","78","%","1555","1213"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Harrow","Local authority","E09000015","All","80","%","3186","2544"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Harrow","Local authority","E09000015","Boys","79","%","1611","1270"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Harrow","Local authority","E09000015","Girls","81","%","1575","1274"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hartlepool","Local authority","E06000001","All","77","%","1208","929"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hartlepool","Local authority","E06000001","Boys","75","%","618","462"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hartlepool","Local authority","E06000001","Girls","79","%","590","467"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Havering","Local authority","E09000016","All","78","%","3208","2516"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Havering","Local authority","E09000016","Boys","77","%","1669","1283"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Havering","Local authority","E09000016","Girls","80","%","1539","1233"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Herefordshire, County of","Local authority","E06000019","All","77","%","2006","1549"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Herefordshire, County of","Local authority","E06000019","Boys","75","%","1005","752"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Herefordshire, County of","Local authority","E06000019","Girls","80","%","1001","797"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hertfordshire","Local authority","E10000015","All","78","%","14921","11632"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hertfordshire","Local authority","E10000015","Boys","78","%","7623","5917"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hertfordshire","Local authority","E10000015","Girls","78","%","7298","5715"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hillingdon","Local authority","E09000017","All","78","%","4148","3256"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hillingdon","Local authority","E09000017","Boys","77","%","2136","1641"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hillingdon","Local authority","E09000017","Girls","80","%","2012","1615"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hounslow","Local authority","E09000018","All","81","%","3419","2774"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hounslow","Local authority","E09000018","Boys","80","%","1782","1417"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Hounslow","Local authority","E09000018","Girls","83","%","1637","1357"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Isle of Wight","Local authority","E06000046","All","68","%","1341","917"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Isle of Wight","Local authority","E06000046","Boys","68","%","669","454"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Isle of Wight","Local authority","E06000046","Girls","69","%","672","463"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Isles of Scilly","Local authority","E06000053","All","!","%","!","!"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Isles of Scilly","Local authority","E06000053","Boys","!","%","!","!"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Isles of Scilly","Local authority","E06000053","Girls","!","%","!","!"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Islington","Local authority","E09000019","All","77","%","2048","1583"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Islington","Local authority","E09000019","Boys","76","%","1063","803"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Islington","Local authority","E09000019","Girls","79","%","985","780"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Kensington and Chelsea","Local authority","E09000020","All","82","%","998","816"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Kensington and Chelsea","Local authority","E09000020","Boys","81","%","524","425"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Kensington and Chelsea","Local authority","E09000020","Girls","82","%","474","391"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Kent","Local authority","E10000016","All","79","%","18351","14443"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Kent","Local authority","E10000016","Boys","77","%","9482","7314"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Kent","Local authority","E10000016","Girls","80","%","8869","7129"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Kingston upon Hull, City of","Local authority","E06000010","All","73","%","3429","2513"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Kingston upon Hull, City of","Local authority","E06000010","Boys","72","%","1784","1289"
