"First year entrants to HE institutions by tariff","Ethnic group","Ethnicity_type","Academic year","Tariff marker","count","Value","Value_note"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Other","320","2.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","All tarifffs","12070","100.0","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","High","6420","40.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Medium","4440","28.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Low","3960","25.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Other","910","5.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","All tarifffs","15735","100.0","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","High","210370","36.0","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Medium","183870","31.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Low","152525","26.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Other","37200","6.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","All tarifffs","583965","100.0","Ethnicity denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","High","261435","34.3","Ethnicity denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","Medium","242285","31.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","Low","216690","28.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","Other","41970","5.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","All","762380","100.0","Ethnicity denom"
