"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Type of Role","Type of Duty","Ethnic group as percentage of total workforce*","Ethnic group workforce size ","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Asian","ONS 2001 5 + 1","2018","Year","England","All Staff","All","1","409","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Black","ONS 2001 5 + 1","2011","Year","England","All Staff","All","1.5","742","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Black","ONS 2001 5 + 1","2018","Year","England","All Staff","All","1.6","637","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Mixed","ONS 2001 5 + 1","2011","Year","England","All Staff","All","1.2","572","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Mixed","ONS 2001 5 + 1","2018","Year","England","All Staff","All","1.6","640","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","White","ONS 2001 5 + 1","2011","Year","England","All Staff","All","96","47,611","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","White","ONS 2001 5 + 1","2018","Year","England","All Staff","All","95.3","37,921","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","All Staff","All","0.5","237","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","All Staff","All","0.5","195","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Unknown","ONS 2001 5 + 1","2011","Year","England","All Staff","All","N/A ","4,661","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Unknown","ONS 2001 5 + 1","2018","Year","England","All Staff","All","N/A ","4,223","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Asian","ONS 2001 5 + 1","2018","Year","England","All Staff","On-call ('retained') firefighters","0.2","21","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Asian","ONS 2001 5 + 1","2018","Year","England","All Staff","Full-time ('Wholetime') firefighters","0.9","182","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Black","ONS 2001 5 + 1","2018","Year","England","All Staff","On-call ('retained') firefighters","0.3","30","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Black","ONS 2001 5 + 1","2018","Year","England","All Staff","Full-time ('Wholetime') firefighters","1.8","390","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Mixed","ONS 2001 5 + 1","2018","Year","England","All Staff","On-call ('retained') firefighters","0.6","64","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Mixed","ONS 2001 5 + 1","2018","Year","England","All Staff","Full-time ('Wholetime') firefighters","2.2","467","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","White","ONS 2001 5 + 1","2018","Year","England","All Staff","On-call ('retained') firefighters","98.7","10368","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","White","ONS 2001 5 + 1","2018","Year","England","All Staff","Full-time ('Wholetime') firefighters","94.5","19,978","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","All Staff","On-call ('retained') firefighters","0.2","17","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","All Staff","Full-time ('Wholetime') firefighters","0.6","122","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Unknown","ONS 2001 5 + 1","2018","Year","England","All Staff","On-call ('retained') firefighters","N/A","1,713","","","","",""
"Fire and rescue services workforce by ethnicity and duty type","Unknown","ONS 2001 5 + 1","2018","Year","England","All Staff","Full-time ('Wholetime') firefighters","N/A","1,610","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 1","2018","Year","England","All Staff","All","0.6","203","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 2","2018","Year","Avon","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 3","2018","Year","Bedfordshire","All Staff","All","0.3","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 4","2018","Year","Berkshire","All Staff","All","0.4","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 5","2018","Year","Buckinghamshire","All Staff","All","0.3","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 6","2018","Year","Cambridgeshire","All Staff","All","0.4","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 7","2018","Year","Cheshire","All Staff","All","0.5","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 8","2018","Year","Cleveland","All Staff","All","0.7","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 9","2018","Year","Cornwall","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 10","2018","Year","Cumbria","All Staff","All","0.4","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 11","2018","Year","Derbyshire","All Staff","All","0.8","5","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 12","2018","Year","Devon and Somerset","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 13","2018","Year","Dorset and Wiltshire","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 14","2018","Year","Durham","All Staff","All","0.4","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 15","2018","Year","East Sussex","All Staff","All","0.2","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 16","2018","Year","Essex","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 17","2018","Year","Gloucestershire","All Staff","All","0.6","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 18","2018","Year","Greater London","All Staff","All","1.8","81","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 19","2018","Year","Greater Manchester","All Staff","All","0.9","11","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 20","2018","Year","Hampshire","All Staff","All","0.2","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 21","2018","Year","Hereford and Worcester","All Staff","All","0.5","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 22","2018","Year","Hertfordshire","All Staff","All","0.2","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 23","2018","Year","Humberside","All Staff","All","0.3","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 24","2018","Year","Isle Of Wight","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 25","2018","Year","Isles of Scilly","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 26","2018","Year","Kent","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 27","2018","Year","Lancashire","All Staff","All","0.9","9","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 28","2018","Year","Leicestershire","All Staff","All","0.9","5","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 29","2018","Year","Lincolnshire","All Staff","All","0.2","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 30","2018","Year","Merseyside","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 31","2018","Year","Norfolk","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 32","2018","Year","North Yorkshire","All Staff","All","0.3","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 33","2018","Year","Northamptonshire","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 34","2018","Year","Northumberland","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 35","2018","Year","Nottinghamshire","All Staff","All","0.7","5","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 36","2018","Year","Oxfordshire","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 37","2018","Year","Shropshire","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 38","2018","Year","South Yorkshire","All Staff","All","0.2","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 39","2018","Year","Staffordshire","All Staff","All","0.7","5","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 40","2018","Year","Suffolk","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 41","2018","Year","Surrey","All Staff","All","0.9","5","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 42","2018","Year","Tyne and Wear","All Staff","All","1.1","7","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 43","2018","Year","Warwickshire","All Staff","All","1","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 44","2018","Year","West Midlands","All Staff","All","1.4","19","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 45","2018","Year","West Sussex","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Asian","ONS 2001 5 + 46","2018","Year","West Yorkshire","All Staff","All","1.6","17","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 47","2018","Year","England","All Staff","All","1.3","420","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 48","2018","Year","Avon","All Staff","All","0.8","5","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 49","2018","Year","Bedfordshire","All Staff","All","1","4","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 50","2018","Year","Berkshire","All Staff","All","0.7","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 51","2018","Year","Buckinghamshire","All Staff","All","0.6","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 52","2018","Year","Cambridgeshire","All Staff","All","0.2","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 53","2018","Year","Cheshire","All Staff","All","0.5","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 54","2018","Year","Cleveland","All Staff","All","0.4","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 55","2018","Year","Cornwall","All Staff","All","0.4","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 56","2018","Year","Cumbria","All Staff","All","0.2","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 57","2018","Year","Derbyshire","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 58","2018","Year","Devon and Somerset","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 59","2018","Year","Dorset and Wiltshire","All Staff","All","0.4","4","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 60","2018","Year","Durham","All Staff","All","0.9","4","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 61","2018","Year","East Sussex","All Staff","All","0.4","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 62","2018","Year","Essex","All Staff","All","0.2","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 63","2018","Year","Gloucestershire","All Staff","All","0.6","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 64","2018","Year","Greater London","All Staff","All","5.5","247","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 65","2018","Year","Greater Manchester","All Staff","All","1.1","13","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 66","2018","Year","Hampshire","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 67","2018","Year","Hereford and Worcester","All Staff","All","0.9","5","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 68","2018","Year","Hertfordshire","All Staff","All","0.8","5","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 69","2018","Year","Humberside","All Staff","All","0.6","5","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 70","2018","Year","Isle Of Wight","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 71","2018","Year","Isles of Scilly","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 72","2018","Year","Kent","All Staff","All","0.2","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 73","2018","Year","Lancashire","All Staff","All","0.4","4","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 74","2018","Year","Leicestershire","All Staff","All","0.6","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 75","2018","Year","Lincolnshire","All Staff","All","0.5","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 76","2018","Year","Merseyside","All Staff","All","1.2","9","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 77","2018","Year","Norfolk","All Staff","All","0.2","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 78","2018","Year","North Yorkshire","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 79","2018","Year","Northamptonshire","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 80","2018","Year","Northumberland","All Staff","All","0","0","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 81","2018","Year","Nottinghamshire","All Staff","All","0.9","6","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 82","2018","Year","Oxfordshire","All Staff","All","0.6","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 83","2018","Year","Shropshire","All Staff","All","0.5","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 84","2018","Year","South Yorkshire","All Staff","All","1","6","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 85","2018","Year","Staffordshire","All Staff","All","0.6","4","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 86","2018","Year","Suffolk","All Staff","All","0.2","1","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 87","2018","Year","Surrey","All Staff","All","0.4","2","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 88","2018","Year","Tyne and Wear","All Staff","All","0.5","3","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 89","2018","Year","Warwickshire","All Staff","All","1.3","4","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 90","2018","Year","West Midlands","All Staff","All","3.8","53","","","","",""
"Fire and rescue services workforce by ethnicity and area","Black","ONS 2001 5 + 91","2018","Year","West Sussex","All Staff","All","0","0","","","","",""
