"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1358","110118","95349","15800","13873","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","214","17384","12723","2269","1628","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","174","14146","10446","3982","2903","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","59","4754","3832","508","393","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","44","3583","3338","468","330","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","388","31451","24229","1333","1004","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","31","2507","2010","644","513","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","190","15408","12502","27977","22368","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4704","186077","157099","39416","32715","2063","1854","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","621","24585","19966","6667","5437","2063","1854","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1596","63130","53146","8805","7477","2063","1854","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","922","36488","32557","4939","4468","2063","1854","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","219","8675","7112","1186","956","2063","1854","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","271","10728","8504","2399","1951","2063","1854","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","618","24442","20164","1377","1090","2063","1854","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","47","1877","1701","432","394","2063","1854","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","179","7066","5878","12893","10331","2063","1854","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","4964","111021","95733","23454","20116","1166","1069","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","244","5453","4609","1791","1566","1166","1069","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1375","30745","25692","4337","3618","1166","1069","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1894","42366","38101","5975","5450","1166","1069","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","178","3987","3095","593","452","1166","1069","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","296","6631","5202","1588","1300","1166","1069","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","482","10775","9367","431","345","1166","1069","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","218","4878","4164","7872","6642","1166","1069","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Modes","4473","81281","67580","17996","14376","948","829","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","375","6809","5428","2038","1605","948","829","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1514","27514","22982","3906","3332","948","829","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1229","22342","19647","2885","2508","948","829","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","296","5375","3721","844","570","948","829","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","246","4475","3816","840","712","948","829","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","200","3631","2903","6447","4860","948","829","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","All Modes","7434","10623129","9959079","1680856","1542259","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Bicycle","42","60520","54568","26536","24167","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Bus in London","44","63500","49692","21370","16814","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3892","5561774","5216292","651621","607380","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","2133","3048249","2922054","346051","330165","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","London Underground","67","95972","72242","16079","12154","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","43","60811","54360","5732","5022","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Non-local bus","72","102369","102427","1197","1184","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Other local bus","200","286459","268591","68324","63640","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Other private transport","150","214300","209366","12596","12270","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Other public transport","64","91728","80739","5505","4822","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Surface Rail","456","651249","579010","23188","19986","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","57","81242","74030","18192","16406","74508","73649","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","White","ONS 2011 5+1","Walk","213","304955","275708","484465","428249","74508","73649","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","7139","11650252","10874222","1866981","1705895","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","41","66360","59508","27358","24863","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","73","119917","98280","37527","30984","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3663","5976684","5579829","699002","648760","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","2029","3310465","3176439","378893","361899","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","81","131461","101796","21315","16496","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","39","63472","55942","5952","5131","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","72","117193","115192","1433","1394","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","204","332483","305137","78257","71439","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","134","218048","212732","13645","13252","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","69","113198","100860","6842","5886","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","471","769236","678298","28748","24614","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","54","88921","80947","19941","17900","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","210","342816","309262","548068","483277","85083","83634","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4489","379450","318749","82245","68395","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","11","951","760","402","328","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","177","14968","11962","4459","3593","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1864","157543","133210","22447","19129","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1308","110525","97373","16267","14490","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","197","16620","12445","2271","1667","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","167","14091","10776","3772","2919","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","64","5375","4276","504","397","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","41","3455","3197","500","366","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","379","32035","24789","1410","1118","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","31","2646","2227","673","564","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","194","16427","13594","29389","23714","4407","3973","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4876","200773","172832","39983","34430","2147","1990","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","578","23797","20539","6601","5749","2147","1990","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1660","68356","59191","9242","8010","2147","1990","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","976","40200","36195","5275","4820","2147","1990","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","215","8841","7614","1156","988","2147","1990","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","292","12009","9539","2600","2122","2147","1990","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","678","27902","22594","1489","1208","2147","1990","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","43","1779","1608","424","393","2147","1990","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","174","7172","6166","12297","10376","2147","1990","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","5002","123005","107827","25901","22551","1282","1200","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","251","6179","5312","2020","1798","1282","1200","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1380","33927","28653","4481","3776","1282","1200","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1900","46732","43020","6479","6001","1282","1200","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","161","3950","3199","589","467","1282","1200","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","298","7325","5907","1704","1421","1282","1200","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","519","12761","10999","511","407","1282","1200","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","230","5661","4901","9203","7882","1282","1200","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Modes","4584","82586","67977","18576","14932","939","830","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","405","7288","5967","2139","1731","939","830","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1636","29475","24393","4026","3452","939","830","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1107","19935","17078","2647","2329","939","830","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","316","5697","4112","868","611","939","830","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","192","3460","3007","727","618","939","830","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","405","7287","5662","491","372","939","830","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","207","3723","2984","6942","5255","939","830","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","All Modes","7424","10856560","10198800","1699068","1564414","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Bicycle","43","62943","56931","26027","23828","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Bus in London","46","67561","54421","22278","18093","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3887","5683518","5330402","658401","613981","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","2114","3090755","2980413","348007","334031","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","London Underground","66","96195","74318","16405","12747","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","43","62203","54961","5750","4984","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Non-local bus","72","104943","104735","1282","1264","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Other local bus","202","295506","275832","69409","64326","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Other private transport","141","206379","202499","12661","12400","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Other public transport","72","105772","93774","5872","5130","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Surface Rail","471","688928","613958","24823","21486","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","56","82202","75105","18315","16475","76245","75578","            "
"Average distance per year by mode of transport","2003-2007","5-year rolling average","White","ONS 2011 5+1","Walk","212","309654","281451","489837","435669","76245","75578","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","7076","11511450","10725546","1850658","1685907","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","42","67816","60807","27477","24873","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","76","122913","100741","38938","32145","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3622","5892776","5489460","691785","640444","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","2001","3255606","3117743","375921","357284","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","82","133467","103123","21998","17029","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","38","61327","54114","5919","5085","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","65","105229","103871","1311","1284","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","205","334063","307096","77219","70487","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","125","204024","199642","13816","13345","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","67","108694","99216","6395","5564","84824","83309","            "
